date,ticker,article_id,sentiment_score,sentiment_label,positive_score,negative_score,neutral_score,news_preview,model_version,processed_at
2026-06-30,ACB,ACB_ART_000,0.4830043315887451,Positive,0.7341590523719788,0.25115472078323364,0.014686201699078083,Asia Commercial Bank Board approves cash dividend of 2798 VND per share for 2026...,finbert_v1.0,2026-06-27 12:15:41
2026-06-30,ACB,ACB_ART_001,-0.9320152997970581,Negative,0.023011231794953346,0.9550265073776245,0.021962257102131844,"Asia Commercial Bank (ACB) reports Q2 2026 net profit of 3 trillion VND, up 11% ...",finbert_v1.0,2026-06-27 12:15:41
2026-06-30,ACB,ACB_ART_002,-0.9270521998405457,Negative,0.02457473985850811,0.9516269564628601,0.02379823476076126,ACB upgraded to 'Outperform' by investment bank citing strong fundamentals and g...,finbert_v1.0,2026-06-27 12:15:41
2026-06-30,ACB,ACB_ART_003,-0.9215034246444702,Negative,0.030151207000017166,0.9516546130180359,0.018194163218140602,"Asia Commercial Bank opens new branch network in 8 provinces across Vietnam, str...",finbert_v1.0,2026-06-27 12:15:41
2026-06-30,ACB,ACB_ART_004,-0.8985947370529175,Negative,0.03648168966174126,0.9350764155387878,0.028441842645406723,ACB experiences increased competition from foreign banks entering Vietnamese Ban...,finbert_v1.0,2026-06-27 12:15:41
2026-06-30,BID,BID_ART_000,0.0005275364965200424,Neutral,0.011936191469430923,0.011408654972910881,0.9766552448272705,"Investment & Development Bank misses Q2 profit targets, net profit 2 trillion VN...",finbert_v1.0,2026-06-27 12:15:41
2026-06-30,BID,BID_ART_001,-0.6844726800918579,Negative,0.11491131782531738,0.7993839979171753,0.08570468425750732,BID stock gains 3.7% as Banking sector leads market rally...,finbert_v1.0,2026-06-27 12:15:41
2026-06-30,BID,BID_ART_002,0.7554386854171753,Positive,0.8711848258972168,0.1157461628317833,0.013069030828773975,Investment & Development Bank Board approves cash dividend of 2517 VND per share...,finbert_v1.0,2026-06-27 12:15:41
2026-06-30,BID,BID_ART_003,-0.0139956995844841,Neutral,0.008779209107160568,0.02277490869164467,0.9684458374977112,Investment & Development Bank faces margin compression as operating costs rise f...,finbert_v1.0,2026-06-27 12:15:41
2026-06-30,BID,BID_ART_004,-0.7943752408027649,Negative,0.09916577488183975,0.8935410380363464,0.007293202914297581,BID enters collaboration with international partner to expand Banking services i...,finbert_v1.0,2026-06-27 12:15:41
