date,open,high,low,close,volume
2026-06-10,33.25,34.1,33.25,33.95,1361500
2026-06-11,33.5,35.4,33.5,35.4,5014200
2026-06-12,35.5,35.6,34.75,35.0,1481200
2026-06-15,35.4,35.9,34.95,35.3,1964200
2026-06-16,35.7,35.8,35.05,35.3,1740800
2026-06-17,35.4,35.85,35.2,35.55,1940400
2026-06-18,35.6,36.2,35.45,35.55,2554000
2026-06-19,35.55,35.55,34.6,35.1,2075600
2026-06-22,35.0,35.1,34.3,34.5,2204200
2026-06-23,34.7,34.95,33.5,33.55,3035700
2026-06-24,33.6,33.75,32.6,33.65,2912800
2026-06-25,33.65,33.65,32.9,33.1,1238200
2026-06-26,32.8,33.2,32.05,32.1,2752100
2026-06-29,32.1,32.65,32.05,32.6,1216700
2026-06-30,32.85,33.1,32.7,32.8,1406600
2026-07-01,32.85,33.1,32.7,32.8,1406600
2026-07-02,33.15,33.6,33.0,33.0,1562700
2026-07-03,33.0,33.15,32.5,32.5,1487500
2026-07-06,32.6,32.65,30.5,31.0,2561300
2026-07-07,31.0,31.6,30.6,31.45,1970000
2026-07-08,31.55,31.85,31.1,31.5,1083200
2026-07-09,31.7,32.0,31.5,31.5,1088100
2026-07-10,31.5,31.6,30.6,30.6,1002000
2026-07-13,30.7,30.9,29.3,29.5,1978500
2026-07-14,29.7,30.6,29.7,30.5,1379100
2026-07-15,30.6,30.7,30.0,30.1,1005100
2026-07-16,30.1,30.45,29.25,30.25,1225400
2026-07-17,30.4,30.4,29.6,29.7,805000
2026-07-20,29.7,29.7,27.9,27.9,1635100
2026-07-21,27.9,28.4,27.2,27.35,993500
2026-07-22,27.1,28.15,27.1,27.15,1768300
2026-07-23,27.55,27.85,26.1,27.1,2528200
2026-07-24,27.05,27.1,26.2,26.2,1312600
2026-07-27,26.3,26.95,26.0,26.0,1547600
2026-07-28,25.85,26.85,25.55,26.35,1180100
2026-07-29,26.5,26.75,26.3,26.75,1239700
2026-07-30,26.75,27.9,26.75,27.55,1627200
2026-07-31,27.9,28.4,27.5,27.5,2216700
2026-08-03,27.7,28.5,27.65,28.2,1804000
2026-08-04,28.3,28.6,28.05,28.5,1402200
2026-08-05,28.65,28.75,28.05,28.15,1300700
2026-08-06,28.15,28.3,27.75,27.85,1138800
2026-08-07,28.25,29.75,28.2,29.75,2129200
2026-08-10,31.8,31.8,31.1,31.8,6118100
2026-08-11,31.8,32.2,31.25,31.4,2514400
2026-08-12,31.4,32.65,31.3,32.25,3730100
2026-08-13,32.0,32.9,31.85,32.65,4974900
2026-08-14,32.25,32.6,31.2,31.2,3662700
