date,open,high,low,close,volume
2026-06-10,26.5,26.75,26.35,26.55,9106800
2026-06-11,26.4,26.55,26.3,26.3,7448000
2026-06-12,26.7,26.8,26.15,26.15,14197600
2026-06-15,26.7,27.2,26.6,27.05,24099500
2026-06-16,27.2,27.8,27.05,27.6,23188300
2026-06-17,27.65,27.9,27.45,27.7,15137200
2026-06-18,27.7,28.0,27.5,27.5,12751400
2026-06-19,27.5,27.65,27.15,27.15,13627200
2026-06-22,27.2,27.45,26.9,27.2,9667000
2026-06-23,27.25,27.45,26.85,26.85,16483200
2026-06-24,26.9,26.95,26.55,26.7,10242700
2026-06-25,26.8,26.85,26.5,26.5,10261700
2026-06-26,26.5,26.6,26.25,26.4,9388400
2026-06-29,26.5,26.75,26.5,26.6,7299300
2026-06-30,26.65,27.15,26.6,26.75,14723800
2026-07-01,26.65,27.15,26.6,26.75,14723800
2026-07-02,27.25,27.5,27.1,27.1,13087400
2026-07-03,27.25,27.5,26.95,27.35,20102700
2026-07-06,27.5,27.7,26.3,26.75,18215100
2026-07-07,26.75,27.15,26.45,27.15,15256800
2026-07-08,27.15,27.8,27.1,27.2,21899300
2026-07-09,27.1,27.25,26.8,26.95,10590400
2026-07-10,27.0,27.05,26.5,26.55,15212300
2026-07-13,26.5,26.5,25.1,25.65,35125700
2026-07-14,25.25,25.85,25.0,25.55,17962100
2026-07-15,25.45,25.75,24.7,24.7,19919600
2026-07-16,24.5,25.0,23.7,25.0,34764700
2026-07-17,25.0,25.0,24.25,24.25,11592700
2026-07-20,23.9,24.05,22.7,22.7,36253800
2026-07-21,22.6,23.7,22.6,23.2,22996700
2026-07-22,23.25,23.65,22.4,22.65,34754400
2026-07-23,22.55,24.0,22.2,23.55,29879100
2026-07-24,23.15,23.3,22.8,22.8,17654300
2026-07-27,23.05,23.15,22.0,22.0,16500400
2026-07-28,21.8,23.3,21.7,23.0,30411300
2026-07-29,23.3,23.55,23.0,23.25,18807400
2026-07-30,23.35,24.3,23.2,24.0,29015800
2026-07-31,24.1,24.1,23.5,23.55,17843900
2026-08-03,23.8,24.8,23.75,24.55,24344900
2026-08-04,24.6,24.7,24.3,24.55,14130200
2026-08-05,20.7083,20.7083,20.2917,20.3333,19787520
2026-08-06,20.3333,20.5417,20.0,20.25,17679360
2026-08-07,20.2083,20.5417,20.1667,20.375,15942480
2026-08-10,20.5417,21.0417,20.5,20.9167,24421560
2026-08-11,20.9583,21.1667,20.8333,20.9583,27202800
2026-08-12,20.9583,21.125,20.8333,21.0833,18874680
2026-08-13,21.0833,21.25,20.8333,20.8333,33644880
2026-08-14,20.7917,20.7917,20.25,20.4167,40819440
