date,open,high,low,close,volume
2026-06-10,72.1,72.3,70.6,70.6,3159300
2026-06-11,70.7,72.5,70.0,71.3,4074600
2026-06-12,71.5,73.0,70.9,70.9,5420000
2026-06-15,71.1,73.0,71.1,71.8,4486600
2026-06-16,72.1,73.0,71.3,71.3,2756600
2026-06-17,71.3,73.5,71.2,72.1,6158700
2026-06-18,72.5,72.5,70.9,70.9,3321200
2026-06-19,71.2,72.3,70.7,72.3,7599400
2026-06-22,72.2,72.8,71.2,71.2,1971200
2026-06-23,71.4,75.5,70.9,71.7,8901600
2026-06-24,71.8,73.6,71.2,71.2,3739700
2026-06-25,71.2,73.3,71.2,72.2,6085200
2026-06-26,72.0,75.0,72.0,73.7,6865100
2026-06-29,73.9,76.2,73.7,74.9,8809100
2026-06-30,74.9,75.6,73.7,73.8,2833300
2026-07-01,74.9,75.6,73.7,73.8,2833300
2026-07-02,73.0,74.1,72.6,72.6,2656100
2026-07-03,72.9,72.9,72.0,72.0,2644200
2026-07-06,72.3,72.6,70.8,70.8,3503000
2026-07-07,70.7,72.0,70.6,70.8,2796900
2026-07-08,71.4,72.0,70.9,70.9,2344200
2026-07-09,71.1,71.6,71.0,71.0,1550100
2026-07-10,71.2,71.8,70.1,70.1,2145300
2026-07-13,70.3,70.3,68.5,68.5,4346600
2026-07-14,68.3,71.1,68.3,70.4,4375100
2026-07-15,70.6,71.6,69.8,69.8,3008400
2026-07-16,69.5,72.5,69.5,71.8,7250100
2026-07-17,72.0,74.2,71.6,73.5,7097200
2026-07-20,72.7,73.8,69.0,73.0,5188900
2026-07-21,73.0,73.9,72.2,72.7,4771800
2026-07-22,72.9,73.7,71.0,71.0,8575100
2026-07-23,71.2,73.9,70.6,72.0,6397700
2026-07-24,73.0,74.0,71.7,73.5,6106500
2026-07-27,73.5,75.0,72.5,72.5,2395500
2026-07-28,72.4,73.6,71.8,72.5,1780100
2026-07-29,72.9,72.9,71.5,71.5,2832200
2026-07-30,71.7,73.0,71.0,71.6,2420000
2026-07-31,71.5,72.3,71.1,71.3,2789200
2026-08-03,71.8,72.5,71.3,71.5,3070900
2026-08-04,72.1,74.1,71.9,74.1,4940100
2026-08-05,74.5,74.9,73.2,73.2,2746300
2026-08-06,73.2,73.6,72.2,72.2,1486200
2026-08-07,72.5,76.1,72.4,74.6,6083800
2026-08-10,75.0,76.1,74.3,74.6,2084300
2026-08-11,74.9,75.3,74.2,74.3,1542200
2026-08-12,74.3,75.4,74.1,74.1,1566500
2026-08-13,74.7,74.8,73.1,73.1,2354000
2026-08-14,73.1,73.5,72.3,72.3,2386900
