date,open,high,low,close,volume
2026-06-10,15.95,16.15,15.9,15.95,6641500
2026-06-11,15.85,16.05,15.8,15.85,5464100
2026-06-12,16.05,16.6,16.0,16.35,44500500
2026-06-15,16.45,16.6,16.3,16.45,19583400
2026-06-16,16.6,16.6,16.3,16.45,15322100
2026-06-17,16.45,16.6,16.3,16.45,16106600
2026-06-18,16.45,16.55,16.15,16.2,18062000
2026-06-19,16.2,16.2,16.05,16.2,7920400
2026-06-22,16.25,16.25,16.0,16.25,10984200
2026-06-23,16.25,16.6,16.1,16.15,14302200
2026-06-24,16.15,16.2,15.95,16.0,8873700
2026-06-25,16.05,16.25,16.0,16.0,5236700
2026-06-26,16.0,16.2,16.0,16.1,5985600
2026-06-29,16.15,16.4,16.15,16.35,10092000
2026-06-30,16.35,16.65,16.25,16.6,32654500
2026-07-01,16.35,16.65,16.25,16.6,32654500
2026-07-02,16.8,16.8,16.4,16.5,9887100
2026-07-03,16.5,16.6,16.35,16.55,7418900
2026-07-06,16.65,16.65,16.1,16.2,9645700
2026-07-07,16.25,16.3,16.1,16.2,5916800
2026-07-08,16.2,16.5,16.2,16.3,11505800
2026-07-09,16.25,16.45,16.15,16.2,6449600
2026-07-10,16.2,16.25,15.95,15.95,7734900
2026-07-13,15.9,15.95,15.35,15.55,14668100
2026-07-14,15.55,15.65,15.3,15.5,7153700
2026-07-15,15.55,15.55,15.25,15.3,7412400
2026-07-16,15.25,15.5,15.05,15.4,14125400
2026-07-17,15.5,15.5,15.2,15.2,3539600
2026-07-20,15.15,15.2,14.45,14.55,11497600
2026-07-21,14.4,14.75,14.4,14.55,6349100
2026-07-22,14.55,14.75,13.9,14.1,17492600
2026-07-23,13.9,14.2,13.75,14.0,15575200
2026-07-24,13.95,14.35,13.75,14.2,12197200
2026-07-27,14.4,14.45,13.9,13.9,6261500
2026-07-28,13.9,14.2,13.8,14.05,8165700
2026-07-29,14.05,14.15,14.0,14.1,4506100
2026-07-30,14.05,14.45,14.05,14.4,7989100
2026-07-31,14.5,14.7,14.1,14.1,10522700
2026-08-03,14.25,14.6,14.2,14.4,11241900
2026-08-04,14.4,14.55,14.35,14.55,7492500
2026-08-05,14.55,15.05,14.55,14.75,20657300
2026-08-06,14.75,14.75,14.45,14.5,6257200
2026-08-07,14.45,14.65,14.35,14.6,4801500
2026-08-10,14.6,14.85,14.55,14.75,12963800
2026-08-11,14.75,14.9,14.7,14.7,5878100
2026-08-12,14.7,14.8,14.6,14.7,3025400
2026-08-13,14.7,14.8,14.45,14.45,6506500
2026-08-14,14.5,14.5,14.35,14.4,4193700
