date,open,high,low,close,volume
2026-05-01,70.5,70.5,70.5,70.5,0
2026-05-04,70.1,72.0,70.1,70.2,485500
2026-05-05,70.2,70.8,68.3,69.2,665000
2026-05-06,69.5,69.8,68.3,68.5,610700
2026-05-07,68.2,69.4,67.2,67.2,945800
2026-05-08,68.5,68.5,65.1,66.0,1406600
2026-05-11,66.0,66.4,62.9,63.7,1412000
2026-05-12,63.4,66.9,63.4,66.6,1034000
2026-05-13,66.8,69.2,66.4,68.7,1434000
2026-05-14,68.7,68.7,67.8,67.9,532700
2026-05-15,68.0,68.0,66.4,67.1,488900
2026-05-18,67.6,71.7,67.5,71.7,1824600
2026-05-19,72.5,72.5,69.7,71.0,846100
2026-05-20,70.2,71.7,68.0,70.5,1116600
2026-05-21,71.0,72.3,69.6,72.2,714400
2026-05-22,71.2,72.0,70.1,72.0,525900
2026-05-25,71.1,71.3,70.1,70.1,379300
2026-05-26,70.4,70.5,69.2,69.2,477900
2026-05-27,69.2,69.2,66.8,68.1,611900
2026-05-28,68.1,68.4,67.0,67.0,184400
2026-05-29,66.8,68.2,66.0,67.7,477100
2026-06-01,68.1,68.1,67.0,67.1,99800
2026-06-02,67.4,69.7,66.8,69.7,1032500
2026-06-03,69.7,69.7,68.6,69.7,242500
2026-06-04,69.6,70.4,69.3,70.0,421300
2026-06-05,70.1,70.1,69.0,69.7,249700
2026-06-08,68.9,68.9,66.6,66.6,299600
2026-06-09,67.3,67.5,64.2,67.5,456900
2026-06-10,66.9,67.9,65.5,66.2,392100
2026-06-11,65.5,67.5,65.5,67.5,252700
2026-06-12,67.1,67.5,65.6,65.6,261300
2026-06-15,66.2,66.4,65.2,65.2,305400
2026-06-16,65.2,67.0,65.1,65.5,310200
2026-06-17,65.8,66.9,65.6,66.9,251200
2026-06-18,67.0,67.3,66.2,67.0,304500
2026-06-19,66.5,67.0,65.9,66.8,291700
2026-06-22,66.3,66.5,66.0,66.0,270500
2026-06-23,66.6,66.6,64.9,64.9,424700
2026-06-24,64.8,65.0,63.0,64.3,448000
2026-06-25,64.0,64.6,63.2,63.6,334500
2026-06-26,63.2,64.1,63.1,63.4,326900
2026-06-29,63.4,65.4,61.7,64.9,678200
2026-06-30,64.4,64.6,63.6,64.6,175900
2026-07-01,64.4,64.6,63.6,64.6,175900
2026-07-02,63.7,64.1,62.8,63.3,405800
2026-07-03,63.0,63.1,62.2,62.3,296900
2026-07-06,62.3,62.4,59.7,60.0,861300
2026-07-07,60.2,61.5,59.0,59.5,528700
2026-07-08,60.2,60.6,59.5,60.4,316200
2026-07-09,60.8,60.8,59.5,60.1,368500
2026-07-10,60.0,60.6,59.0,59.0,239000
2026-07-13,59.4,59.4,57.5,57.5,390600
2026-07-14,57.5,59.0,57.5,58.6,327600
2026-07-15,58.6,60.2,58.6,59.0,417500
2026-07-16,59.0,60.6,57.2,60.5,671100
2026-07-17,60.7,61.3,59.7,60.0,312000
2026-07-20,59.8,60.2,58.0,58.1,278300
2026-07-21,58.0,59.2,56.0,58.3,382200
2026-07-22,58.0,58.8,57.1,57.1,281600
2026-07-23,57.1,57.5,55.2,57.2,238600
2026-07-24,56.9,58.0,56.1,57.0,167300
2026-07-27,57.1,58.8,57.0,57.5,240100
2026-07-28,57.5,57.8,56.0,56.6,156400
2026-07-29,56.6,59.0,56.6,59.0,325800
2026-07-30,59.0,61.4,58.4,61.1,539500
2026-07-31,61.1,63.3,60.1,60.1,720500
2026-08-03,61.2,64.3,60.9,64.3,937000
2026-08-04,64.3,64.9,62.9,63.0,255900
2026-08-05,63.0,63.9,61.7,63.9,612400
2026-08-06,63.9,63.9,62.5,62.8,103700
2026-08-07,62.6,67.1,62.4,66.9,1276400
2026-08-10,66.9,67.9,65.2,67.5,478000
2026-08-11,67.2,68.0,65.7,66.0,366300
2026-08-12,65.7,67.0,65.3,66.8,368600
2026-08-13,66.9,67.1,65.5,65.5,401100
2026-08-14,65.5,66.4,64.9,65.0,396200
