date,open,high,low,close,volume
2026-05-01,74.4741875,74.4741875,74.4741875,74.4741875,0
2026-05-04,73.88233626611262,74.07961887296473,72.59999932157395,72.698640625,8285900
2026-05-05,72.6986443367261,73.48777480442463,71.81087256056527,73.2904921875,6841400
2026-05-06,73.19184988915416,73.19184988915416,72.00815420361528,72.304078125,9455600
2026-05-07,72.89592803938356,73.2904932791096,72.00815625,72.00815625,10186100
2026-05-08,72.2054385865786,72.30407989612308,70.9231015625,70.9231015625,13444300
2026-05-11,70.72581626116072,70.72581626116072,69.0489140625,69.0489140625,16909100
2026-05-12,69.14755906958216,70.52853742475213,69.04891775849859,69.640765625,8533300
2026-05-13,69.64076493988684,70.52853673090523,69.04891707920792,69.73940625,11517600
2026-05-14,70.13396543048037,74.2769000972598,70.0353241288904,72.895921875,21565500
2026-05-15,73.19185266632373,73.19185266632373,71.7122330032579,71.909515625,6386100
2026-05-18,71.90950987775368,74.27690114944927,71.02173815086782,73.8823359375,18323700
2026-05-19,73.98097997063758,74.77011042365773,73.29049082424496,73.4877734375,11279900
2026-05-20,73.78369892213642,77.43342734475547,71.81087274774775,76.644296875,25976600
2026-05-21,76.64429727328432,76.84157989174837,74.67147108864378,75.4606015625,11809100
2026-05-22,75.75651930758988,76.54564971704394,74.0796171875,74.0796171875,11668800
2026-05-25,73.5864137329932,74.5728267857143,72.501359375,72.501359375,10441000
2026-05-26,72.60000167785235,73.58641474412751,72.60000167785235,73.4877734375,5104800
2026-05-27,73.48777173913044,74.27690217391304,72.10679347826087,72.6,9176300
2026-05-28,72.8,73.1,71.2,71.2,10646900
2026-05-29,71.2,72.5,70.8,71.6,5446700
2026-06-01,72.2,73.4,72.1,72.9,5972700
2026-06-02,73.0,75.6,73.0,74.8,17368000
2026-06-03,75.1,77.7,75.0,76.5,25278600
2026-06-04,76.7,77.2,75.8,76.1,11304700
2026-06-05,76.0,76.0,74.3,75.0,11218100
2026-06-08,73.7,74.5,72.8,72.9,10914200
2026-06-09,73.4,74.2,72.6,73.7,7772300
2026-06-10,73.5,74.5,73.5,74.2,4736000
2026-06-11,73.9,73.9,73.1,73.1,3507300
2026-06-12,73.6,74.3,73.5,73.5,5688200
2026-06-15,74.4,75.2,73.5,73.6,6422700
2026-06-16,73.7,74.2,73.1,73.2,5819800
2026-06-17,73.3,73.4,72.2,72.3,10652200
2026-06-18,72.3,72.3,71.5,71.6,13665800
2026-06-19,71.6,71.8,70.8,71.5,14295100
2026-06-22,71.5,71.7,70.3,70.6,9260100
2026-06-23,70.9,71.8,70.7,70.8,5737500
2026-06-24,71.0,71.2,70.1,70.8,5968500
2026-06-25,71.0,71.7,70.8,71.0,6592100
2026-06-26,71.3,71.3,70.3,70.8,4333200
2026-06-29,70.7,70.8,70.2,70.4,4618200
2026-06-30,70.5,70.8,70.2,70.2,6075800
2026-07-01,70.5,70.8,70.2,70.2,6075800
2026-07-02,72.9,73.3,72.5,72.5,5690500
2026-07-03,72.5,73.1,71.7,72.3,7490500
2026-07-06,72.4,74.0,71.9,73.0,11200200
2026-07-07,73.0,73.7,72.5,73.2,4557200
2026-07-08,72.4,72.8,71.5,72.1,6741600
2026-07-09,71.8,73.0,71.7,72.1,4441900
2026-07-10,72.0,72.3,70.6,70.6,7937300
2026-07-13,70.3,71.3,70.2,70.5,7738400
2026-07-14,70.3,70.9,70.0,70.3,6626800
2026-07-15,70.4,70.4,66.8,66.8,21271900
2026-07-16,66.7,68.0,64.7,68.0,13030600
2026-07-17,68.3,68.4,67.0,67.0,3987800
2026-07-20,66.9,67.7,66.1,67.1,7346800
2026-07-21,66.5,67.9,64.8,64.8,7540400
2026-07-22,65.0,67.5,64.6,64.6,10060700
2026-07-23,65.0,65.7,64.2,64.7,6287300
2026-07-24,64.3,64.5,62.8,62.9,5804800
2026-07-27,63.1,63.7,62.2,62.2,4449500
2026-07-28,61.9,63.7,61.5,63.0,5399400
2026-07-29,63.0,65.3,62.5,65.1,6114000
2026-07-30,65.2,67.2,64.8,67.0,7571500
2026-07-31,67.2,67.9,66.5,67.1,6253600
2026-08-03,67.4,71.7,67.3,71.7,16279100
2026-08-04,72.4,73.3,71.3,71.5,6584300
2026-08-05,72.2,72.2,70.2,70.3,6877600
2026-08-06,70.4,71.4,70.4,70.7,4629700
2026-08-07,71.1,71.7,70.3,70.8,4301800
2026-08-10,70.9,72.0,70.7,71.8,5252100
2026-08-11,71.6,73.1,71.0,71.2,6936800
2026-08-12,71.2,71.9,70.6,70.8,3685600
2026-08-13,71.0,71.3,69.2,69.2,7458000
2026-08-14,69.3,69.6,68.0,68.3,7123800
