date,open,high,low,close,volume
2026-05-01,44.69633203125,44.69633203125,44.69633203125,44.69633203125,0
2026-05-04,44.696329986702125,45.074311635638296,43.845871276595744,44.41284375,813100
2026-05-05,44.6018380977131,45.83027855379418,44.31835183861746,45.452296875,1469600
2026-05-06,46.3027527201417,46.96422061614372,45.641284824139674,46.680734375,1457400
2026-05-07,46.77523029327393,49.32660649108887,46.53899175643921,48.38165234375,2480800
2026-05-08,48.476147924710425,50.08256998069498,48.09816626447876,48.948625,1675800
2026-05-11,48.9486239938447,50.55504601680871,47.53119279711174,49.893578125,1723700
2026-05-12,49.893577981651376,51.68899082568807,49.32660550458716,51.5,2493500
2026-05-13,55.090825688073394,55.090825688073394,51.31100917431193,51.5,2136300
2026-05-14,51.8,52.7,51.0,52.1,856800
2026-05-15,52.0,53.1,51.3,51.5,996300
2026-05-18,51.5,52.7,51.0,52.3,962300
2026-05-19,52.4,53.0,51.4,51.6,903000
2026-05-20,51.6,52.8,51.6,52.3,1000700
2026-05-21,52.8,54.0,52.5,53.2,2992700
2026-05-22,54.5,54.5,53.0,53.2,565600
2026-05-25,53.2,54.8,53.2,54.0,1171200
2026-05-26,54.7,54.7,53.9,54.1,478200
2026-05-27,54.5,55.0,54.0,54.0,1250500
2026-05-28,54.0,54.6,53.0,53.0,1104900
2026-05-29,53.0,54.1,52.0,52.0,923600
2026-06-01,52.0,52.4,51.8,51.8,620700
2026-06-02,51.8,52.0,50.9,50.9,1465100
2026-06-03,50.9,51.8,48.0,48.0,1573000
2026-06-04,48.0,48.25,45.7,46.45,1626700
2026-06-05,46.55,47.2,45.1,45.65,1405300
2026-06-08,46.9,48.3,46.0,46.3,900400
2026-06-09,46.3,47.0,46.0,46.4,616800
2026-06-10,46.4,46.95,46.05,46.6,555200
2026-06-11,46.6,46.6,46.05,46.05,306900
2026-06-12,46.15,47.5,45.1,45.5,736700
2026-06-15,45.6,46.55,45.5,46.2,443600
2026-06-16,46.2,46.5,46.0,46.45,443800
2026-06-17,46.45,47.0,46.15,46.9,604500
2026-06-18,46.7,47.5,45.45,47.05,1301700
2026-06-19,47.05,49.6,46.5,48.0,1555700
2026-06-22,49.3,50.0,48.1,49.2,4247700
2026-06-23,50.5,52.6,50.2,52.6,7347600
2026-06-24,56.2,56.2,54.8,55.5,11865500
2026-06-25,56.1,58.5,55.5,56.0,3744100
2026-06-26,56.1,56.2,52.3,53.0,5428200
2026-06-29,53.0,55.2,52.2,54.7,2194700
2026-06-30,54.7,55.4,53.5,53.5,2026200
2026-07-01,54.7,55.4,53.5,53.5,2026200
2026-07-02,53.9,53.9,52.0,52.1,1704500
2026-07-03,52.1,52.3,50.8,51.0,2053500
2026-07-06,51.0,52.8,51.0,51.3,1773300
2026-07-07,52.0,53.8,51.7,53.8,1716400
2026-07-08,53.8,53.8,52.5,53.1,1679600
2026-07-09,52.8,53.4,52.4,52.4,940400
2026-07-10,52.4,54.2,52.4,53.4,2495600
2026-07-13,53.3,54.0,51.5,51.6,2166000
2026-07-14,51.7,52.5,50.1,51.5,2294600
2026-07-15,51.6,52.5,50.7,51.5,2313000
2026-07-16,51.5,52.4,51.3,52.0,1650400
2026-07-17,52.3,53.7,51.3,52.9,7957300
2026-07-20,52.9,53.5,52.5,53.5,2439700
2026-07-21,53.8,56.0,53.3,54.6,6305000
2026-07-22,54.8,55.3,53.5,54.4,4198900
2026-07-23,54.9,55.0,53.3,53.3,2895000
2026-07-24,53.0,53.8,51.9,52.4,2238700
2026-07-27,53.5,56.0,53.2,54.0,5562100
2026-07-28,54.1,54.8,53.5,53.5,2567200
2026-07-29,52.8,53.4,52.2,52.6,3255600
2026-07-30,52.1,53.8,51.7,52.6,3833400
2026-07-31,52.1,53.5,51.8,51.8,3615100
2026-08-03,52.1,54.0,52.1,53.0,2566500
2026-08-04,53.2,53.8,52.5,53.8,2652500
2026-08-05,54.3,54.3,52.8,53.0,2718100
2026-08-06,53.2,53.3,51.3,52.0,3547400
2026-08-07,52.0,53.4,51.9,52.9,1652400
2026-08-10,52.9,53.1,52.0,52.3,1775300
2026-08-11,52.8,53.8,52.3,53.7,2583500
2026-08-12,53.7,54.5,53.3,53.8,2826100
2026-08-13,53.8,54.4,52.5,53.8,4127800
2026-08-14,53.7,54.0,52.0,52.4,4371400
