date,open,high,low,close,volume
2026-05-01,214.0,214.0,214.0,214.0,0
2026-05-04,217.0,220.0,204.0,212.0,3884000
2026-05-05,211.9,224.8,210.3,219.5,2877500
2026-05-06,220.5,223.0,214.5,219.5,3130600
2026-05-07,219.5,231.0,218.0,224.0,4299400
2026-05-08,223.6,227.3,218.0,226.0,3703600
2026-05-11,225.9,230.0,219.5,223.0,4626200
2026-05-12,222.0,225.6,215.1,222.0,4023400
2026-05-13,223.0,224.0,206.5,221.0,6456000
2026-05-14,218.0,232.0,211.5,229.8,3746700
2026-05-15,229.8,231.8,224.0,228.0,3910800
2026-05-18,226.8,228.8,221.7,225.0,2674600
2026-05-19,225.0,227.0,221.0,225.1,3376900
2026-05-20,225.1,230.2,222.2,226.7,3788300
2026-05-21,227.2,228.5,216.4,218.7,5372600
2026-05-22,218.5,218.5,209.3,216.5,4167600
2026-05-25,216.6,221.2,216.5,218.8,2333800
2026-05-26,218.8,218.8,212.5,213.0,2400500
2026-05-27,213.0,214.0,204.9,210.8,4515900
2026-05-28,209.1,217.5,206.1,210.8,3051200
2026-05-29,211.0,214.3,209.5,211.3,2017000
2026-06-01,211.4,212.5,204.5,204.9,2098200
2026-06-02,204.9,210.9,202.0,204.9,1679300
2026-06-03,204.7,204.9,191.0,197.6,5110300
2026-06-04,197.6,200.6,193.3,200.2,2507200
2026-06-05,200.3,210.3,200.3,207.0,3581100
2026-06-08,204.9,204.9,195.0,195.0,3271900
2026-06-09,198.0,198.0,192.7,193.2,1810400
2026-06-10,193.0,196.5,190.8,196.0,1395000
2026-06-11,193.0,196.1,191.9,196.0,1716200
2026-06-12,198.5,198.7,192.9,195.5,3276100
2026-06-15,196.1,197.5,184.7,192.6,4609900
2026-06-16,192.8,195.7,190.8,194.0,2893300
2026-06-17,190.0,192.9,186.7,192.0,3936100
2026-06-18,196.0,205.4,195.1,205.4,6434200
2026-06-19,206.7,207.5,203.0,205.5,4093100
2026-06-22,205.5,219.8,203.1,219.8,3513400
2026-06-23,224.2,230.0,223.6,229.0,5016500
2026-06-24,229.0,242.0,227.1,230.5,3746800
2026-06-25,230.5,232.0,221.1,225.0,3049700
2026-06-26,221.5,228.9,221.5,228.0,2571200
2026-06-29,227.0,227.7,217.0,217.2,3602500
2026-06-30,216.0,221.0,212.0,220.0,3900200
2026-07-01,216.0,221.0,212.0,220.0,3900200
2026-07-02,217.1,221.2,216.1,220.3,2543800
2026-07-03,219.9,222.9,219.3,220.3,2086300
2026-07-06,222.5,222.7,217.1,220.3,3093000
2026-07-07,218.5,220.3,215.2,220.3,2948800
2026-07-08,218.0,221.2,218.0,220.7,1934000
2026-07-09,218.5,221.3,218.5,221.0,2366400
2026-07-10,221.0,224.7,220.8,223.0,3999100
2026-07-13,223.6,223.6,218.1,221.5,3795000
2026-07-14,219.0,219.7,212.5,219.0,3450700
2026-07-15,218.4,218.4,211.5,217.0,3687900
2026-07-16,212.0,223.0,212.0,223.0,4074700
2026-07-17,223.0,224.0,220.0,220.0,2845200
2026-07-20,219.9,220.2,218.9,220.0,2732800
2026-07-21,216.3,220.0,214.4,217.3,2839700
2026-07-22,216.0,217.0,202.1,202.1,5736200
2026-07-23,201.0,214.7,200.0,214.0,4235400
2026-07-24,209.5,213.6,208.9,213.1,2599400
2026-07-27,215.0,215.0,210.9,213.5,2911700
2026-07-28,210.0,213.8,209.7,213.8,2751800
2026-07-29,214.1,222.5,210.4,219.4,4951600
2026-07-30,216.5,220.7,216.5,220.0,4809100
2026-07-31,223.8,223.8,214.1,214.1,4372800
2026-08-03,216.0,216.3,212.0,213.0,4179900
2026-08-04,214.0,221.5,212.4,218.0,5187600
2026-08-05,218.6,221.6,218.6,220.0,6228400
2026-08-06,219.0,222.0,218.6,218.8,4794300
2026-08-07,218.4,218.4,212.3,215.0,5350500
2026-08-10,213.6,215.1,208.1,208.5,4429400
2026-08-11,209.2,211.5,205.5,208.5,4985100
2026-08-12,208.7,215.8,207.5,215.5,5299800
2026-08-13,215.0,215.6,207.5,207.9,5537700
2026-08-14,208.0,208.1,195.0,200.4,7976400
