date,parkinson_volatility
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0016363046340359436
2017-03-06,0.0006882249954856478
2017-03-07,0.0011041531784075308
2017-03-08,0.0007780301540118069
2017-03-09,0.00011444391285229895
2017-03-10,0.00010319316694029492
2017-03-13,5.501257639857352e-05
2017-03-14,3.57226723598058e-05
2017-03-15,0.00166704654927374
2017-03-16,0.0007687708494984307
2017-03-17,0.0016890712769392757
2017-03-20,0.0012605885073692113
2017-03-21,0.0004278599553033831
2017-03-22,0.00014486876705585225
2017-03-23,0.00017770060914306822
2017-03-24,7.924900414872486e-05
2017-03-27,0.00013367899230115466
2017-03-28,0.0002842247146105087
2017-03-29,7.752169616464316e-05
2017-03-30,0.00034176330679653433
2017-03-31,7.80311789466415e-05
2017-04-03,0.0003031758229941165
2017-04-04,0.000316801703885477
2017-04-05,0.00028530190152643663
2017-04-07,5.616571514177618e-06
2017-04-10,0.00014279623348974148
2017-04-11,2.573041992431083e-05
2017-04-12,0.00024932465428756964
2017-04-13,7.252809608567328e-06
2017-04-14,0.0002367834464190479
2017-04-17,0.00030200383183721257
2017-04-18,0.0003076166065466338
2017-04-19,0.0002756098204752969
2017-04-20,0.00011080029237249123
2017-04-21,3.0261435071289214e-05
2017-04-24,0.0001200202198813973
2017-04-25,8.056628686084255e-05
2017-04-26,3.656250730088917e-05
2017-04-27,0.00018254129408892272
2017-04-28,8.056628686084255e-05
2017-05-03,2.5954792060390365e-05
2017-05-04,9.400018046196466e-05
2017-05-05,6.145548005802914e-05
2017-05-08,1.7515166114442294e-05
2017-05-09,4.842868482667813e-05
2017-05-10,9.597348265978158e-05
2017-05-11,2.580301583738476e-05
2017-05-12,3.64442370852806e-05
2017-05-15,7.871287192653884e-05
2017-05-16,5.071380451146589e-05
2017-05-17,0.00011680385986843106
2017-05-18,5.754255383228378e-05
2017-05-19,4.376788117953019e-05
2017-05-22,0.00013580098107408554
2017-05-23,3.7886804693502895e-05
2017-05-24,1.781952638824714e-05
2017-05-25,5.18439611377702e-05
2017-05-26,1.8046485027742e-05
2017-05-29,3.685347698360847e-05
2017-05-30,1.434132574799496e-05
2017-05-31,7.901229975539847e-06
2017-06-01,0.000126287554950793
2017-06-02,0.00010947444005047517
2017-06-05,4.8784344880193827e-05
2017-06-06,3.13867655731775e-05
2017-06-07,0.0002683508385023205
2017-06-08,6.967587175948066e-05
2017-06-09,0.00010532013935128511
2017-06-12,8.874273870873815e-05
2017-06-13,3.811949454590354e-05
2017-06-14,1.8714702991885906e-05
2017-06-15,7.121567421614276e-05
2017-06-16,0.00022339058515519783
2017-06-19,4.957085770795135e-05
