date,open,high,low,close,volume,parkinson_variance,garman_klass_variance,rogers_satchell_variance,yang_zhang_n20,log_range,daily_return,har_daily,har_weekly,har_monthly,market_pk,volume_zscore_22,volume_zscore_20,dirty_flag,cleaning_applied,zero_range_flag,zero_volume_flag
2008-03-11,11.63,11.79,11.63,11.79,8900.0,6.733707326338796e-05,2.1228616495451173e-05,0.0,,0.013663748018706411,,6.733707326338796e-05,,,0.0005339176659569269,,,False,none,False,False
2008-03-12,11.71,12.19,11.71,11.71,10180.0,0.0005820737514329663,0.0008069255593674221,0.0016138511187348441,,0.04017276588355405,-0.006808536939653422,0.0005820737514329663,,,0.001188776886918308,,,False,none,False,False
2008-03-13,11.71,11.79,11.63,11.63,5000.0,6.733707326338796e-05,7.519551906653391e-05,9.303013311948028e-05,,0.013663748018706411,-0.006855211079052968,6.733707326338796e-05,,,0.0006215951764832389,,,False,none,False,False
2008-03-14,11.63,11.71,11.23,11.23,4270.0,0.0006318252422033026,0.00040270687036756325,0.0002869208073193055,,0.04185440885927425,-0.03499919778022124,0.0006318252422033026,,,0.0003396901082740149,,,False,none,False,False
2008-03-17,11.07,11.07,10.67,10.67,8670.0,0.000488510015161002,0.00015400716519823384,0.0,,0.036802681406883635,-0.05115270343668982,0.000488510015161002,0.00036741663106480937,,0.0002376217756711424,,,False,none,False,False
2008-03-18,10.19,10.19,10.19,10.19,5540.0,0.0,0.0,0.0,,0.0,-0.04602921807902857,0.0,0.00035394921641213175,,0.003934882527414068,,,True,none,True,False
2008-03-19,9.95,10.35,9.95,9.95,3830.0,0.0005602925899829384,0.0007767304580706063,0.0015534609161412126,,0.03941396854087663,-0.023834296064132066,0.0005602925899829384,0.0003495929841221262,,0.0013496929677121509,,,False,none,False,False
2008-03-20,9.95,10.19,9.95,10.19,17930.0,0.0002048892662355605,6.459317945013796e-05,0.0,,0.023834296064132017,0.023834296064132017,0.0002048892662355605,0.0003771034227165607,,0.000661569016103728,,,False,none,False,False
2008-03-21,10.27,10.27,10.19,10.19,2600.0,2.2057062852458016e-05,6.9536869605151546e-06,0.0,,0.007820176705833386,0.0,2.2057062852458016e-05,0.0002551497868463918,,0.0008241156103096392,,,False,none,False,False
2008-03-24,9.71,9.71,9.71,9.71,3290.0,0.0,0.0,0.0,,0.0,-0.04825056493139971,0.0,0.00015744778381419138,,0.00021328104542315282,,,True,none,True,False
2008-03-25,9.23,9.23,9.23,9.23,5950.0,0.0,0.0,0.0,,0.0,-0.0506972337884728,0.0,0.00015744778381419138,,0.00010256761977056405,,,True,none,True,False
2008-03-26,8.82,9.63,8.82,9.39,25600.0,0.002784263594369411,0.002344880977243422,0.0022174389747156415,,0.08786135579133425,0.01718624470541086,0.002784263594369411,0.0006022419846914859,,0.0016382042103504698,,,False,none,False,False
2008-03-27,9.47,9.47,9.47,9.47,110.0,0.0,0.0,0.0,,0.0,0.008483613977815298,0.0,0.0005612641314443738,,1.0420387478543492e-05,,,True,none,True,False
2008-03-28,9.55,9.55,9.55,9.55,1690.0,0.0,0.0,0.0,,0.0,0.008412247294651924,0.0,0.0005568527188738821,,4.528326440681908e-06,,,True,none,True,False
2008-03-31,9.63,9.63,9.63,9.63,1350.0,0.0,0.0,0.0,,0.0,0.008342071317395273,0.0,0.0005568527188738821,,1.3085867126684614e-06,,,True,none,True,False
2008-04-01,9.71,9.71,9.71,9.71,110.0,0.0,0.0,0.0,,0.0,0.008273056493199283,0.0,0.0005568527188738821,,0.0,,,True,none,True,False
2008-04-02,9.79,9.79,9.79,9.79,10.0,0.0,0.0,0.0,,0.0,0.008205174239185296,0.0,0.0,,7.630850956645284e-07,,,True,none,True,False
2008-04-03,9.87,9.87,9.87,9.87,4230.0,0.0,0.0,0.0,,0.0,0.00813839690297124,0.0,0.0,,0.0,,,True,none,True,False
2008-04-04,9.95,9.95,9.95,9.95,10.0,0.0,0.0,0.0,,0.0,0.008072697725111261,0.0,0.0,,0.0,,,True,none,True,False
2008-04-07,10.11,10.11,10.11,10.11,2100.0,0.0,0.0,0.0,,0.0,0.01595248186187863,0.0,0.0,,0.0,,0.054112592143001646,True,none,True,False
2008-04-08,10.27,10.27,10.27,10.27,18630.0,0.0,0.0,0.0,0.0008265410384687945,0.0,0.015701990908086768,0.0,0.0,,0.00028264384010829647,,1.0025754885062315,True,none,True,False
2008-04-09,10.43,10.43,10.35,10.43,11360.0,2.138295479144273e-05,2.9643069651458602e-05,5.928613930291609e-05,0.0007846281583573085,0.007699749301303076,0.015459245072214247,2.138295479144273e-05,4.276590958288546e-06,0.00024681675561617533,9.92244474122843e-05,0.735577359139295,0.7797897439211204,False,none,False,False
2008-04-10,10.59,10.59,10.43,10.43,12160.0,8.359221948823505e-05,2.6353197184234717e-05,0.0,0.0008028117464513677,0.015223890600634022,0.0,8.359221948823505e-05,2.0995034855935556e-05,0.00024755562589912295,9.43969048859566e-05,0.7564897302600029,0.7805452776470146,False,none,False,False
2008-04-11,10.27,10.27,10.27,10.27,4700.0,0.0,0.0,0.0,0.0007850339736870803,0.0,-0.015459245072214226,0.0,2.0995034855935556e-05,0.0002210977281067154,6.119189344843045e-05,0.3461028467585073,0.3636019609485655,True,none,True,False
2008-04-16,10.11,10.11,10.11,10.11,10710.0,0.0,0.0,0.0,0.0007752180935414532,0.0,-0.015701990908086848,0.0,2.0995034855935556e-05,0.00021803695204928865,4.9294350087578555e-05,0.6991789288669528,0.7155877156827368,True,none,True,False
2008-04-17,9.95,10.27,9.95,10.27,27740.0,0.0003613971442309813,0.00011393369217907635,0.0,0.0006987908798569872,0.03165447276996542,0.015701990908086768,0.0003613971442309813,9.327446370213182e-05,0.0002057447657778195,0.00039187850023727404,1.0614375415738306,1.0645729783139164,False,none,False,False
2008-04-18,10.43,10.43,10.35,10.35,7320.0,2.138295479144273e-05,6.7411683461737985e-06,0.0,0.0006295258756816981,0.007699749301303076,0.007759495770911124,2.138295479144273e-05,9.327446370213182e-05,0.00018451171757920317,0.00023101503153073375,0.4802815771585222,0.48522901737896573,False,none,False,False
2008-04-21,10.19,10.19,10.19,10.19,660.0,0.0,0.0,0.0,0.0006348888114171597,0.0,-0.015579672476744681,0.0,7.655601980448481e-05,0.00018451171757920317,0.00010943826181826637,-0.533741997628684,-0.4636662145295283,True,none,True,False
2008-04-22,10.03,10.03,10.03,10.03,15640.0,0.0,0.0,0.0,0.0006346406544210405,0.0,-0.015826245260789334,0.0,7.655601980448481e-05,0.0001590438725799787,9.573323279129107e-05,0.8130299948466887,0.832725701977448,True,none,True,False
2008-04-23,10.03,10.03,9.87,9.87,3220.0,9.326679833945018e-05,2.9403194967537316e-05,0.0,0.0005307585546273435,0.016080748528453877,-0.01608074852845391,9.326679833945018e-05,9.520937947237484e-05,0.00015397012403924642,3.43747229484753e-05,0.16745106186531175,0.17134447261919805,False,none,False,False
2008-04-24,9.71,10.03,9.71,10.03,22980.0,0.0003791894909146961,0.00011954288910430205,0.0,0.00041947362564300026,0.032424319670610366,0.016080748528453877,0.0003791894909146961,9.876784880911783e-05,0.00017020341622389358,0.00017206803291378513,0.9652532483565981,0.946656135459761,False,none,False,False
2008-04-25,10.19,10.19,10.19,10.19,13920.0,0.0,0.0,0.0,0.0001940239471181243,0.0,0.015826245260789358,0.0,9.449125785082927e-05,0.00017020341622389358,0.00014260252307566706,0.7128083782512191,0.7622212631909949,True,none,True,False
2008-04-28,10.19,10.35,10.19,10.35,11820.0,8.754496926848598e-05,2.759933701658542e-05,0.0,0.00019397928056524003,0.015579672476744575,0.015579672476744575,8.754496926848598e-05,0.00011200025170452646,0.00017418273300882477,0.00014647356765317326,0.6259291463205867,0.6181421039307405,False,none,False,False
2008-04-29,10.35,10.35,10.35,10.35,9700.0,0.0,0.0,0.0,0.0001922027440799468,0.0,0.0,0.0,0.00011200025170452646,4.762529690112428e-05,9.29314351794018e-05,0.5696685276582434,0.492994474038697,True,none,True,False
2008-05-05,10.51,10.51,10.51,10.51,30290.0,0.0,0.0,0.0,0.0001993316141600431,0.0,0.015340665177481614,0.0,9.334689203663644e-05,4.762529690112428e-05,0.00010552790755202438,0.9698996760478753,0.8955931724662444,True,none,True,False
2008-05-06,10.67,10.67,10.67,10.67,24620.0,0.0,0.0,0.0,0.00020593759519121432,0.0,0.015108880424802216,0.0,1.7508993853697205e-05,4.762529690112428e-05,2.6519629867035277e-05,0.8138433848805996,0.7293267721584938,True,none,True,False
2008-05-07,10.83,10.83,10.59,10.83,56340.0,0.00018113168992961437,0.0002511018403695409,0.0005022036807390842,0.00023367016390855538,0.02240990139958411,0.014883995699237252,0.00018113168992961437,5.3735331839620086e-05,5.585855553428857e-05,9.027500051885843e-05,1.0711392960946717,1.1202710981334842,False,none,False,False
2008-05-08,10.67,10.67,10.67,10.67,5480.0,0.0,0.0,0.0,0.00024775615062755147,0.0,-0.014883995699237216,0.0,3.622633798592289e-05,5.585855553428857e-05,1.1552736030890974e-05,0.016611457574695822,-0.15401367116475792,True,none,True,False
2008-05-09,10.51,10.51,10.51,10.51,3280.0,0.0,0.0,0.0,0.00025947543559322263,0.0,-0.015108880424802249,0.0,3.622633798592289e-05,5.585855553428857e-05,1.027408117921326e-06,-0.4181684514149136,-1.030706710264718,True,none,True,False
2008-05-12,10.35,10.35,10.35,10.35,5030.0,0.0,0.0,0.0,0.00025821313870010064,0.0,-0.015340665177481652,0.0,3.622633798592289e-05,5.585855553428857e-05,1.070324506899023e-06,-0.17967498174357444,-0.6979139730897987,True,none,True,False
