date,parkinson_volatility
2011-01-03,5.748576116406578e-05
2011-01-04,5.235629065210548e-05
2011-01-05,6.196354947528757e-05
2011-01-06,4.1870679456472975e-05
2011-01-07,5.8965225548728046e-05
2011-01-10,6.021487318536441e-05
2011-01-11,4.293376694259804e-05
2011-01-12,6.370717084320294e-05
2011-01-13,2.828491105935724e-05
2011-01-14,0.0001800601349807404
2011-01-18,0.00016404969468712606
2011-01-19,4.5685680645125576e-05
2011-01-20,3.30502890805606e-05
2011-01-21,4.2740132042981645e-05
2011-01-24,9.367754306795765e-05
2011-01-25,5.879972608587158e-05
2011-01-26,5.743779942380971e-05
2011-01-27,5.655596814398724e-05
2011-01-28,0.00032392312154315114
2011-01-31,8.390788191244317e-05
2011-02-01,0.00029690055874599826
2011-02-02,6.21179437413358e-05
2011-02-03,5.088126352552239e-05
2011-02-04,0.00015629520541680206
2011-02-07,6.541290424391918e-05
2011-02-08,3.9702951513744485e-05
2011-02-09,3.9912055477520655e-05
2011-02-10,3.272541435931538e-05
2011-02-11,0.00012827953688378404
2011-02-14,9.276885703820258e-05
2011-02-15,2.3222494324727746e-05
2011-02-16,6.779665288350273e-05
2011-02-17,5.782354509839016e-06
2011-02-18,1.1647607128336243e-05
2011-02-22,0.00021371061227437368
2011-02-23,0.0002311887789154557
2011-02-24,7.927233083205829e-05
2011-02-25,2.6411196964684717e-05
2011-02-28,6.974193503006906e-05
2011-03-01,0.00024153624500949136
2011-03-02,0.00010677873342049689
2011-03-03,4.7331916240591533e-05
2011-03-04,7.217839461640441e-05
2011-03-07,8.640720182363997e-05
2011-03-08,0.000137372718547765
2011-03-09,3.8887640072671815e-05
2011-03-10,8.623301612286135e-05
2011-03-11,6.238216227406929e-05
2011-03-14,2.5841980873018234e-05
2011-03-15,9.367098782742884e-05
2011-03-16,0.000258835186413837
2011-03-17,0.0001645268839315461
2011-03-18,5.7575682343499225e-05
2011-03-21,5.313588512486165e-05
2011-03-22,0.00020588120581560833
2011-03-23,6.847849408685627e-05
2011-03-24,8.106249327150465e-05
2011-03-25,5.5621459258520273e-05
2011-03-28,5.790824866508516e-05
2011-03-29,8.118169869201792e-05
2011-03-30,7.792238697948732e-06
2011-03-31,3.8320781178298954e-05
2011-04-01,3.814301455490508e-05
2011-04-04,2.289980012137288e-05
2011-04-05,2.5072144968622152e-05
2011-04-06,3.3313684734748046e-05
2011-04-07,3.5733679047122044e-05
2011-04-08,0.0001446646637515649
2011-04-11,5.798556481179182e-05
2011-04-12,8.123585796082755e-05
2011-04-13,3.3580241712176174e-05
2011-04-14,1.9578717123261846e-05
2011-04-15,4.1174573940978046e-05
2011-04-18,4.820499106742819e-05
2011-04-19,5.106498149419475e-05
2011-04-20,3.920215278328067e-05
2011-04-21,5.864905012045405e-05
2011-04-22,5.864905012045405e-05
2011-04-25,9.840966457365327e-05
2011-04-26,0.0001530367193363383
2011-04-27,9.744413219870215e-05
2011-04-28,0.00016195882608448418
2011-04-29,0.00042730889110675116
2011-05-02,8.88901259915182e-05
2011-05-03,8.555788153295492e-05
2011-05-04,7.234074455941163e-05
2011-05-05,7.234074455941163e-05
2011-05-06,5.098922750078927e-05
2011-05-09,2.7945306697269992e-05
2011-05-10,1.2719208105409676e-05
2011-05-11,2.19522185941285e-05
2011-05-12,0.00012098362105954498
2011-05-13,2.68869852421072e-05
2011-05-16,5.507572012537126e-05
2011-05-17,8.014960082266622e-05
2011-05-18,0.00022371487922617626
2011-05-19,2.4195843764356664e-05
2011-05-20,0.00018700309440757313
2011-05-23,4.376110705212405e-05
2011-05-24,9.584271391242906e-05
2011-05-25,6.481945078294281e-05
2011-05-26,7.11853590023324e-05
2011-05-27,2.8300056204957968e-05
2011-05-31,9.767123308644208e-05
2011-06-01,6.46542482062315e-05
2011-06-02,7.880737281131136e-05
2011-06-03,1.852195716177685e-05
2011-06-06,3.255410285682087e-05
2011-06-07,5.953813625764046e-05
2011-06-08,3.3468788881428734e-05
2011-06-09,4.305200550685411e-05
2011-06-10,4.103743713445571e-05
2011-06-13,7.427416880868933e-05
2011-06-14,1.414935329298512e-05
2011-06-15,0.00010511390403360661
2011-06-16,6.980731139362282e-05
2011-06-17,2.8311333719882417e-05
2011-06-20,0.00017859179946819314
2011-06-21,2.752897901697131e-05
2011-06-22,6.906261904184685e-05
2011-06-23,0.0002446251978758741
2011-06-24,0.00015594396046780674
2011-06-27,4.209888727698338e-05
2011-06-28,1.8485810579955103e-05
2011-06-29,3.65023577051163e-05
2011-06-30,2.35863531479282e-05
2011-07-01,3.823491747857678e-05
2011-07-05,1.2012439656815618e-05
2011-07-06,5.090395672269287e-05
2011-07-07,3.254912647634257e-05
2011-07-08,3.564130450298171e-05
2011-07-11,3.20065342983949e-05
2011-07-12,8.285704645326364e-05
2011-07-13,5.993237312270365e-05
2011-07-14,0.0002498861475242797
2011-07-15,5.331549356279816e-05
2011-07-18,9.568766427204482e-05
2011-07-19,0.00021127494580534275
2011-07-20,7.712425870176777e-05
2011-07-21,0.00017906027553489973
2011-07-22,5.0480747270024286e-05
2011-07-25,3.1356403088510205e-05
2011-07-26,5.524996001830906e-05
2011-07-27,8.770084527239833e-05
2011-07-28,0.00040512795034644376
2011-07-29,0.000719550416212808
2011-08-01,0.00027375132717797826
2011-08-02,0.00027171282169663696
2011-08-03,0.0003258178542154793
2011-08-04,0.0005419015081583027
2011-08-05,0.00040350892449809127
2011-08-08,0.0017967520076533812
2011-08-09,0.0013506859706095319
2011-08-10,0.0005313987247741469
2011-08-11,0.0009746900858711015
2011-08-12,0.0006725735561108364
2011-08-15,0.0004269306518421417
2011-08-16,0.0001746088084502787
2011-08-17,8.371443640045301e-05
2011-08-18,0.00033100317930600956
2011-08-19,0.00023491251498139928
2011-08-22,5.306850292352611e-05
2011-08-23,0.0004743452950912064
2011-08-24,0.0003733230007913765
2011-08-25,0.0001691973200483737
2011-08-26,0.0006681093647971181
2011-08-29,0.0001512225414571179
2011-08-30,0.00011024864657530772
2011-08-31,0.00015003095298697332
2011-09-01,0.00015691680495782688
2011-09-02,0.00021826188233360787
2011-09-06,0.00029127348138627165
2011-09-07,7.792322024628676e-05
2011-09-08,8.604522968617323e-05
2011-09-09,0.0001998397513267169
2011-09-12,0.0002066068285282685
2011-09-13,0.00015518074646753767
2011-09-14,0.0005144382173682514
2011-09-15,0.00012933710051272736
2011-09-16,0.00013599639042359378
2011-09-19,0.00022304813201033804
2011-09-20,0.0003562255164917201
