date,parkinson_volatility
2011-01-03,4.0322948238067505e-05
2011-01-04,7.260856411094782e-05
2011-01-05,3.3028480573393725e-05
2011-01-06,3.3301070797334695e-05
2011-01-07,6.327517321708508e-05
2011-01-10,3.7815466878583506e-05
2011-01-11,6.352033098597177e-05
2011-01-12,3.7607027842951815e-05
2011-01-13,6.768343795236561e-05
2011-01-14,6.139737000002128e-05
2011-01-18,4.864868297404308e-05
2011-01-19,2.197254799204209e-05
2011-01-20,3.570997865400185e-05
2011-01-21,3.361565118615106e-05
2011-01-24,8.869177625233449e-05
2011-01-25,3.858811956424942e-05
2011-01-26,6.447518553340259e-05
2011-01-27,2.527033385829144e-05
2011-01-28,0.0001583632675481963
2011-01-31,4.004886015569452e-05
2011-02-01,2.3921646468504027e-05
2011-02-02,7.295171621091162e-05
2011-02-03,3.1144469882219924e-05
2011-02-04,6.056066729144739e-05
2011-02-07,2.732283692358811e-05
2011-02-08,1.2070066997389491e-05
2011-02-09,1.9449162411370695e-05
2011-02-10,1.808947661475379e-05
2011-02-11,7.534103704261788e-05
2011-02-14,2.2397306759942625e-05
2011-02-15,3.0686522841975495e-05
2011-02-16,1.6822822631681788e-05
2011-02-17,0.00010231229692245954
2011-02-18,1.9551581076513698e-05
2011-02-22,4.467024160537636e-05
2011-02-23,5.915748876959738e-05
2011-02-24,0.00014090043611767616
2011-02-25,3.835433468370557e-05
2011-02-28,1.5167077457175005e-05
2011-03-01,8.567028379022271e-05
2011-03-02,4.049843538171938e-05
2011-03-03,3.580620757700964e-05
2011-03-04,0.00027773959502784665
2011-03-07,5.947444033006627e-05
2011-03-08,6.189560481582359e-05
2011-03-09,2.8406161800668362e-05
2011-03-10,3.420011067534188e-05
2011-03-11,4.665131341732532e-05
2011-03-14,3.442321845914993e-05
2011-03-15,0.00011016913124311479
2011-03-16,0.0001670018358345861
2011-03-17,0.0001080177814342015
2011-03-18,0.0001392825027647329
2011-03-21,2.7331847189816848e-05
2011-03-22,2.7139549873408717e-05
2011-03-23,6.146418078273041e-05
2011-03-24,3.8085141224153024e-05
2011-03-25,5.027026835239449e-05
2011-03-28,5.2398370263326396e-05
2011-03-29,3.0357614665039005e-05
2011-03-30,2.4919637091628662e-05
2011-03-31,4.8127322879505e-05
2011-04-01,3.136058024339914e-05
2011-04-04,1.7181989581046383e-05
2011-04-05,1.8465329980790587e-05
2011-04-06,6.224858456872419e-05
2011-04-07,2.3921646468504027e-05
2011-04-08,8.9922402394582e-05
2011-04-11,3.4493514116635606e-05
2011-04-12,1.9863738365203908e-05
2011-04-13,4.075437830018076e-05
2011-04-14,9.189477923154225e-05
2011-04-15,2.7424007047176072e-05
2011-04-18,3.727439706393449e-05
2011-04-19,1.6163405974410804e-05
2011-04-20,7.577850269952878e-05
2011-04-21,1.3017138604142938e-05
2011-04-22,1.3017138604142938e-05
2011-04-25,2.8187689491584866e-05
2011-04-26,0.00013746765112865517
2011-04-27,4.31243587853052e-05
2011-04-28,0.0001045406748069092
2011-04-29,6.060214029102058e-05
2011-05-02,2.3635544889604204e-05
2011-05-03,3.742141779260478e-05
2011-05-04,6.346902665175022e-05
2011-05-05,6.346902665175022e-05
2011-05-06,0.00011643836496784949
2011-05-09,3.843251713159743e-05
2011-05-10,7.706713426788146e-06
2011-05-11,5.274769727819661e-05
2011-05-12,5.046199911768098e-05
2011-05-13,6.7006283019333e-05
2011-05-16,2.3137073967710573e-05
2011-05-17,2.482676931684639e-05
