date,open,high,low,close,volume
2015-10-07,7.75,9.37,7.75,8.3,150100
2015-10-08,8.4,8.4,8.07,8.2,30370
2015-10-09,8.2,8.2,8.01,8.17,40730
2015-10-12,8.01,8.01,7.62,7.62,119300
2015-10-13,7.1,7.43,7.1,7.23,215830
2015-10-14,7.36,7.65,7.36,7.65,8450
2015-10-15,7.59,7.75,7.49,7.72,43830
2015-10-16,7.75,7.78,7.75,7.75,54700
2015-10-19,7.75,7.78,7.75,7.75,24740
2015-10-20,7.75,7.91,7.75,7.91,25700
2015-10-21,7.85,7.88,7.78,7.78,11660
2015-10-22,7.78,7.85,7.78,7.81,19700
2015-10-23,7.81,8.11,7.81,8.11,116390
2015-10-26,8.07,8.17,8.04,8.04,21810
2015-10-27,8.07,8.33,8.07,8.33,84070
2015-10-28,8.33,8.72,8.33,8.65,126370
2015-10-29,8.78,9.24,8.78,9.24,289240
2015-10-30,9.69,9.69,9.24,9.24,105240
2015-11-02,9.43,9.43,8.62,8.72,33880
2015-11-03,8.75,8.91,8.4,8.91,16800
2015-11-04,8.91,8.91,8.46,8.53,40300
2015-11-05,8.46,8.65,8.46,8.53,46210
2015-11-06,8.59,8.88,8.59,8.72,91190
2015-11-09,8.82,8.82,8.56,8.56,33090
2015-11-10,8.53,8.62,8.49,8.49,57090
2015-11-11,8.56,8.56,8.46,8.46,15240
2015-11-12,8.43,8.56,8.4,8.46,65860
2015-11-13,8.46,8.75,8.46,8.75,58580
2015-11-16,8.72,8.75,8.56,8.75,25360
2015-11-17,8.78,8.78,8.72,8.72,49190
2015-11-18,8.75,8.75,8.53,8.56,8730
2015-11-19,8.56,8.56,8.4,8.56,21590
2015-11-20,8.56,8.85,8.56,8.59,49640
2015-11-23,8.69,8.69,8.65,8.65,39390
2015-11-24,8.56,8.69,8.56,8.56,42570
2015-11-25,8.56,9.14,8.56,9.11,164360
2015-11-26,9.17,9.17,8.98,8.98,45620
2015-11-27,9.14,9.14,8.65,8.65,18040
2015-11-30,8.91,8.91,8.56,8.59,36360
2015-12-01,8.56,8.72,8.56,8.69,11880
2015-12-02,8.72,8.72,8.69,8.69,3210
2015-12-03,8.72,8.75,8.62,8.62,28660
2015-12-04,8.59,8.69,8.56,8.65,27530
2015-12-07,8.59,8.69,8.49,8.65,52450
2015-12-08,8.56,8.65,8.56,8.65,56770
2015-12-09,8.65,8.72,8.56,8.72,26740
2015-12-10,8.56,8.59,8.53,8.59,7040
2015-12-11,8.59,8.59,8.56,8.56,28820
2015-12-14,8.53,8.56,8.53,8.53,5700
