date,open,high,low,close,volume
2018-04-26,31.54,31.54,29.43,31.54,948210
2018-04-27,33.74,33.74,32.27,33.74,2520730
2018-05-02,35.32,35.32,35.01,35.32,657340
2018-05-03,32.86,35.22,32.86,33.01,261780
2018-05-04,30.91,32.38,30.91,31.33,57020
2018-05-07,32.55,32.55,29.48,31.96,67180
2018-05-08,32.59,32.59,31.33,31.54,59090
2018-05-09,31.54,32.27,31.33,32.04,96890
2018-05-10,32.38,32.55,32.06,32.55,89910
2018-05-11,32.8,32.9,32.19,32.19,23700
2018-05-14,32.19,33.53,31.64,31.64,40720
2018-05-15,32.59,33.62,31.75,33.01,82190
2018-05-16,33.64,33.64,33.01,33.01,113000
2018-05-17,33.64,33.64,33.22,33.53,40650
2018-05-18,33.53,33.64,33.26,33.53,35230
2018-05-21,33.62,33.62,32.8,32.82,58530
2018-05-22,33.64,34.27,32.82,32.82,188830
2018-05-23,32.48,33.64,32.48,33.01,148490
2018-05-24,35.31,35.31,33.24,33.46,186210
2018-05-25,33.46,33.63,33.46,33.46,185010
2018-05-28,33.46,33.46,32.35,32.63,31840
2018-05-29,32.88,32.88,31.1,32.53,48230
2018-05-30,32.53,32.53,31.1,31.1,89010
2018-05-31,31.1,32.35,31.1,32.31,30530
2018-06-01,32.31,32.31,31.99,32.28,37140
2018-06-04,32.28,32.28,31.63,31.81,36140
2018-06-05,31.81,32.17,31.81,31.85,41780
2018-06-06,31.85,31.92,31.81,31.92,14560
2018-06-07,32.17,32.53,31.92,32.17,120650
2018-06-08,32.17,32.17,31.81,32.13,31310
2018-06-11,32.17,32.17,32.1,32.17,43460
2018-06-12,32.2,32.2,31.45,31.81,31120
2018-06-13,31.63,32.42,31.63,32.17,92830
2018-06-14,32.53,32.53,31.1,31.1,18400
2018-06-15,31.81,31.81,31.13,31.13,1690
2018-06-18,31.03,31.13,29.35,31.13,10520
2018-06-19,30.74,30.74,28.99,28.99,59070
2018-06-20,26.99,29.49,26.99,29.49,44480
2018-06-21,29.85,29.85,28.56,28.59,65370
2018-06-22,26.63,28.95,26.63,28.24,20150
2018-06-25,27.88,28.88,27.7,28.31,51350
2018-06-26,28.56,28.56,26.81,28.24,27380
2018-06-27,27.88,28.95,27.88,28.77,88550
2018-06-28,28.77,29.67,28.59,28.77,109760
2018-06-29,28.77,29.67,28.42,28.95,54370
2018-07-02,29.13,29.13,27.17,27.88,10350
2018-07-03,28.59,28.59,27.7,27.88,16480
2018-07-04,25.95,27.88,25.95,27.88,23410
2018-07-05,26.81,27.52,26.45,26.45,680
2018-07-06,25.74,25.74,25.02,25.74,7600
2018-07-09,23.98,26.09,23.98,24.66,1500
2018-07-10,25.38,25.38,25.31,25.38,62420
2018-07-11,25.56,26.09,25.38,26.09,44430
2018-07-12,25.74,26.38,25.74,26.09,21480
2018-07-13,26.45,27.88,26.09,27.88,13610
2018-07-16,27.92,27.92,26.81,27.88,940
2018-07-17,26.81,26.81,26.81,26.81,750
2018-07-18,25.06,27.52,25.06,27.52,7960
2018-07-19,27.52,28.17,25.74,25.74,23540
2018-07-20,25.91,26.45,25.91,26.45,10370
2018-07-23,26.45,26.81,26.45,26.45,14610
2018-07-24,26.02,26.27,26.02,26.27,4080
2018-07-25,26.27,26.45,26.27,26.27,5600
2018-07-26,26.45,26.45,26.09,26.45,9830
2018-07-27,25.02,27.88,25.02,26.41,25420
2018-07-30,26.41,27.88,26.41,26.81,25240
2018-07-31,25.06,26.81,25.06,26.74,15950
2018-08-01,26.09,26.74,25.74,26.09,2430
2018-08-02,26.45,26.45,25.74,25.74,1420
2018-08-03,26.06,26.06,25.31,25.31,5000
2018-08-06,25.13,25.38,23.63,25.38,37050
2018-08-07,24.66,26.38,24.31,25.38,23730
2018-08-08,24.31,25.74,24.31,25.74,7530
2018-08-09,25.59,25.74,25.59,25.74,15530
2018-08-10,25.38,25.74,25.38,25.74,860
2018-08-13,25.74,25.88,25.74,25.77,8960
2018-08-14,25.74,25.81,25.74,25.77,4290
2018-08-15,27.49,27.49,26.09,26.45,18660
2018-08-16,26.81,27.17,26.13,26.45,6470
2018-08-17,25.09,26.45,25.09,26.45,9180
2018-08-20,25.45,26.31,25.45,26.31,260
2018-08-21,26.31,27.17,25.38,27.17,28170
2018-08-22,26.45,27.52,25.74,27.52,17480
2018-08-23,27.52,27.52,26.09,27.52,27060
2018-08-24,26.45,27.34,26.45,26.45,4430
2018-08-27,26.81,26.81,26.66,26.7,21140
2018-08-28,26.7,26.81,26.45,26.81,24020
2018-08-29,28.59,28.59,26.7,27.13,23490
2018-08-30,27.13,27.17,26.45,27.17,47390
2018-08-31,27.17,27.31,26.63,27.31,8680
2018-09-04,27.17,27.31,26.81,27.31,5360
2018-09-05,27.31,27.31,26.84,27.31,9090
2018-09-06,27.17,27.17,26.81,27.17,21550
2018-09-07,27.17,27.17,26.63,27.13,15540
2018-09-10,26.81,26.81,26.09,26.45,4200
2018-09-11,26.45,26.81,26.45,26.81,27520
