date,open,high,low,close,volume
2008-03-11,14.13,14.32,13.55,13.55,91240
2008-03-12,13.06,13.93,12.97,13.74,33640
2008-03-13,13.74,14.13,13.74,13.84,37600
2008-03-14,13.84,14.13,13.84,14.13,39530
2008-03-17,14.13,14.13,13.45,13.45,24980
2008-03-18,12.87,12.87,12.87,12.87,23060
2008-03-19,12.48,12.77,12.29,12.29,69620
2008-03-20,12.19,12.58,12.19,12.39,22210
2008-03-21,12.48,12.48,11.8,11.8,39570
2008-03-24,11.22,11.22,11.22,11.22,29780
2008-03-25,10.74,10.74,10.74,10.74,32650
2008-03-26,10.26,10.45,10.26,10.26,98690
2008-03-27,10.35,10.35,10.35,10.35,31430
2008-03-28,10.45,10.45,10.45,10.45,30970
2008-03-31,10.45,10.55,10.45,10.55,23260
2008-04-01,10.64,10.64,10.64,10.64,2010
2008-04-02,10.74,10.74,10.74,10.74,200
2008-04-03,10.84,10.84,10.84,10.84,600
2008-04-04,10.93,10.93,10.93,10.93,30
2008-04-07,11.13,11.13,11.13,11.13,1320
2008-04-08,11.32,11.32,11.13,11.32,145840
2008-04-09,11.51,11.51,11.32,11.51,78970
2008-04-10,11.51,11.51,11.32,11.32,71510
2008-04-11,11.13,11.13,11.13,11.13,34490
2008-04-16,10.93,10.93,10.93,10.93,25220
2008-04-17,10.74,11.13,10.74,11.13,29580
2008-04-18,11.32,11.32,11.03,11.32,27060
2008-04-21,11.32,11.51,11.22,11.51,20400
2008-04-22,11.51,11.51,11.32,11.32,6570
2008-04-23,11.13,11.13,11.13,11.13,18780
2008-04-24,10.93,11.03,10.93,11.03,29810
2008-04-25,11.13,11.22,11.03,11.22,32360
2008-04-28,11.42,11.42,11.32,11.42,48170
2008-04-29,11.61,11.61,11.61,11.61,45230
2008-05-05,11.8,11.8,11.8,11.8,6210
2008-05-06,11.8,11.8,11.61,11.61,87110
2008-05-07,11.42,11.42,11.42,11.42,40290
2008-05-08,11.22,11.22,11.22,11.22,37910
2008-05-09,11.03,11.03,11.03,11.03,34950
2008-05-12,10.84,10.84,10.84,10.84,4120
2008-05-13,10.64,10.64,10.64,10.64,2130
2008-05-14,10.45,10.45,10.45,10.45,2250
2008-05-15,10.26,10.26,10.26,10.26,360
2008-05-16,10.06,10.06,10.06,10.06,14400
2008-05-19,9.87,9.87,9.87,9.87,57360
2008-05-20,9.68,9.68,9.68,9.68,720
2008-05-21,9.48,9.48,9.48,9.48,8730
2008-05-22,9.34,9.34,9.34,9.34,66740
2008-05-23,9.19,9.19,9.19,9.19,15070
2008-05-26,9.05,9.05,9.05,9.05,100
2008-05-30,8.9,8.9,8.9,8.9,4580
2008-06-02,8.9,8.9,8.76,8.76,340
2008-06-03,8.61,8.61,8.61,8.61,520
2008-06-04,8.47,8.47,8.47,8.47,10410
2008-06-05,8.32,8.32,8.32,8.32,1720
2008-06-06,8.18,8.18,8.18,8.18,470
2008-06-09,8.18,8.18,8.03,8.03,1010
2008-06-10,7.89,7.89,7.89,7.89,120
2008-06-11,7.74,7.74,7.74,7.74,5420
2008-06-12,7.6,7.6,7.6,7.6,40090
2008-06-13,7.45,7.74,7.45,7.45,55560
2008-06-16,7.31,7.45,7.31,7.31,34870
2008-06-17,7.45,7.45,7.45,7.45,13330
2008-06-18,7.6,7.6,7.31,7.6,104480
2008-06-19,7.4,7.4,7.4,7.4,78180
2008-06-20,7.21,7.6,7.21,7.6,53830
2008-06-23,7.79,7.79,7.4,7.4,17500
2008-06-24,7.55,7.55,7.4,7.55,104330
2008-06-25,7.69,7.74,7.64,7.74,27400
2008-06-26,7.93,7.93,7.84,7.93,126880
2008-06-27,7.74,7.84,7.74,7.74,15150
2008-06-30,7.55,7.93,7.55,7.55,50510
2008-07-01,7.55,7.74,7.55,7.74,60130
2008-07-02,7.93,7.93,7.74,7.84,38040
2008-07-03,8.03,8.03,7.98,8.03,20710
2008-07-04,8.22,8.22,8.22,8.22,10940
2008-07-07,8.47,8.47,7.98,7.98,120410
2008-07-08,7.79,7.93,7.79,7.84,32570
2008-07-09,7.64,7.84,7.64,7.64,163440
2008-07-10,7.74,7.84,7.69,7.74,95980
2008-07-11,7.93,7.93,7.93,7.93,31340
2008-07-14,8.13,8.13,8.13,8.13,30600
2008-07-15,8.37,8.37,8.37,8.37,98170
2008-07-16,8.61,8.61,8.13,8.61,210500
2008-07-17,8.81,8.81,8.37,8.37,95540
2008-07-18,8.13,8.37,8.13,8.13,89420
2008-07-21,7.89,7.89,7.89,7.89,93450
2008-07-22,7.7,7.7,7.7,7.7,1120
