date,open,high,low,close,volume
2017-07-07,7.16,7.16,7.16,7.16,114260
2017-07-10,7.65,7.65,7.21,7.47,2677240
2017-07-11,7.48,7.48,7.21,7.33,838360
2017-07-12,7.33,7.44,7.28,7.36,376520
2017-07-13,7.34,7.34,7.24,7.24,780690
2017-07-14,7.22,7.28,7.12,7.13,605590
2017-07-17,7.19,7.33,7.11,7.23,469140
2017-07-18,7.21,7.23,7.16,7.16,319370
2017-07-19,7.21,7.24,7.14,7.17,279130
2017-07-20,7.18,7.21,7.14,7.18,342050
2017-07-21,7.18,7.21,7.16,7.17,140450
2017-07-24,7.17,7.18,7.17,7.17,282460
2017-07-25,7.14,7.21,7.12,7.14,198020
2017-07-26,7.17,7.39,7.16,7.32,307260
2017-07-27,7.38,7.63,7.32,7.45,438580
2017-07-28,7.58,7.63,7.45,7.58,600310
2017-07-31,7.52,7.6,7.52,7.58,145430
2017-08-01,7.58,7.58,7.45,7.45,198280
2017-08-02,7.45,7.58,7.43,7.45,530950
2017-08-03,7.47,7.59,7.47,7.58,476970
2017-08-04,7.58,7.58,7.52,7.53,267610
2017-08-07,7.53,7.6,7.53,7.58,447390
2017-08-08,7.58,7.58,7.49,7.52,236400
2017-08-09,7.47,7.57,7.39,7.45,384710
2017-08-10,7.36,7.52,7.34,7.47,172920
2017-08-11,7.44,7.49,7.44,7.47,125740
2017-08-14,7.52,7.52,7.39,7.45,168300
2017-08-15,7.58,7.58,7.21,7.45,145160
2017-08-16,7.33,7.48,7.33,7.45,73300
2017-08-17,7.45,7.47,7.39,7.45,190470
2017-08-18,7.44,7.45,7.44,7.45,159680
2017-08-21,7.45,7.5,7.43,7.45,176960
2017-08-22,7.45,7.45,7.42,7.44,71320
2017-08-23,7.45,7.45,7.42,7.43,61150
2017-08-24,7.44,7.44,7.42,7.44,199860
2017-08-25,7.42,7.44,7.39,7.42,60460
2017-08-28,7.39,7.42,7.37,7.37,58920
2017-08-29,7.36,7.39,7.33,7.37,49710
2017-08-30,7.37,7.37,7.33,7.37,72360
2017-08-31,7.37,7.37,7.33,7.36,63060
2017-09-01,7.39,7.39,7.36,7.36,19610
2017-09-05,7.33,7.34,7.31,7.33,41150
2017-09-06,7.31,7.31,7.21,7.21,63080
2017-09-07,7.21,7.21,7.14,7.16,174740
2017-09-08,7.24,7.24,7.13,7.13,81480
2017-09-11,7.14,7.14,6.86,6.86,95710
2017-09-12,6.85,6.98,6.85,6.96,110930
2017-09-13,6.96,7.19,6.93,7.19,109080
2017-09-14,7.08,7.09,6.99,6.99,57710
2017-09-15,6.99,7.01,6.9,6.9,170940
2017-09-18,6.9,6.96,6.83,6.96,97640
2017-09-19,6.96,6.96,6.9,6.95,131570
2017-09-20,6.96,7.09,6.95,7.02,122020
2017-09-21,7.02,7.02,6.92,6.96,19560
2017-09-22,6.96,7.06,6.96,7.02,75900
2017-09-25,7.01,7.02,6.91,7.01,23790
2017-09-26,7.02,7.26,6.98,7.23,115860
2017-09-27,7.23,7.31,7.18,7.26,162700
2017-09-28,7.31,7.39,7.26,7.32,135840
2017-09-29,7.33,7.43,7.33,7.42,146220
2017-10-02,7.45,7.45,7.23,7.23,32020
2017-10-03,7.33,7.33,7.21,7.22,40260
2017-10-04,7.21,7.33,7.21,7.33,15340
2017-10-05,7.27,7.34,7.27,7.33,34120
2017-10-06,7.36,7.36,7.27,7.32,23010
2017-10-09,7.33,7.39,7.33,7.34,105800
2017-10-10,7.38,7.38,7.34,7.36,70890
2017-10-11,7.37,7.38,7.36,7.38,40670
2017-10-12,7.39,7.58,7.39,7.58,489320
2017-10-13,7.64,7.88,7.64,7.83,289190
2017-10-16,7.98,8.2,7.84,8.2,255590
2017-10-17,8.31,8.32,7.95,8.05,164700
2017-10-18,8.08,8.08,7.89,7.89,164000
2017-10-19,8.0,8.0,7.83,7.98,82610
2017-10-20,7.94,7.96,7.83,7.93,85110
2017-10-23,7.89,7.94,7.83,7.83,97230
2017-10-24,7.7,7.85,7.7,7.85,45500
2017-10-25,8.0,8.0,7.85,7.85,71080
2017-10-26,7.74,8.06,7.74,7.77,10540
2017-10-27,7.77,7.83,7.7,7.83,33230
2017-10-30,7.85,7.95,7.72,7.78,85240
2017-10-31,7.78,7.89,7.77,7.78,107550
2017-11-01,7.78,7.81,7.77,7.78,45500
2017-11-02,7.88,7.88,7.78,7.78,85810
2017-11-03,7.78,7.94,7.78,7.78,47140
2017-11-06,7.83,8.06,7.79,8.06,76070
2017-11-07,8.14,8.14,8.06,8.06,12070
2017-11-08,7.84,8.06,7.84,8.05,7040
2017-11-09,8.05,8.08,8.01,8.06,109910
2017-11-10,7.84,8.1,7.84,8.08,48250
2017-11-13,8.06,8.18,8.06,8.08,72610
2017-11-14,8.08,8.63,7.96,8.63,385270
2017-11-15,8.76,8.95,8.47,8.82,140430
