date,open,high,low,close,volume
2011-07-19,4.46,5.32,4.46,4.72,22240
2011-07-20,4.5,4.5,4.5,4.5,4510
2011-07-21,4.28,4.28,4.28,4.28,350
2011-07-22,4.11,4.11,4.11,4.11,2330
2011-07-25,3.94,3.94,3.94,3.94,12130
2011-07-26,3.77,3.81,3.77,3.81,65950
2011-07-27,3.98,3.98,3.64,3.68,51700
2011-07-28,3.81,3.81,3.51,3.55,4920
2011-07-29,3.72,3.72,3.68,3.72,9940
2011-08-01,3.55,3.72,3.55,3.55,5110
2011-08-02,3.46,3.55,3.42,3.55,2740
2011-08-03,3.64,3.64,3.55,3.55,5500
2011-08-04,3.55,3.64,3.38,3.38,16800
2011-08-05,3.38,3.51,3.38,3.51,19560
2011-08-08,3.64,3.64,3.51,3.55,25550
2011-08-09,3.46,3.46,3.38,3.38,20670
2011-08-10,3.46,3.46,3.25,3.29,25100
2011-08-11,3.2,3.33,3.16,3.33,39380
2011-08-12,3.29,3.46,3.25,3.46,68050
2011-08-15,3.55,3.59,3.55,3.59,28650
2011-08-16,3.59,3.72,3.59,3.72,16160
2011-08-17,3.68,3.77,3.68,3.77,44570
2011-08-18,3.72,3.81,3.72,3.81,61130
2011-08-19,3.81,3.81,3.64,3.68,59790
2011-08-22,3.68,3.85,3.68,3.85,38830
2011-08-23,3.9,3.9,3.81,3.85,35020
2011-08-24,3.98,3.98,3.68,3.68,41120
2011-08-25,3.55,3.68,3.55,3.68,36280
2011-08-26,3.77,3.81,3.72,3.72,55100
2011-08-29,3.81,3.9,3.59,3.9,53310
2011-08-30,4.03,4.03,3.9,3.94,129630
2011-08-31,3.9,3.9,3.77,3.9,41410
2011-09-01,3.72,4.03,3.72,3.9,62070
2011-09-05,3.9,3.9,3.72,3.77,48960
2011-09-06,3.72,3.72,3.59,3.59,59180
2011-09-07,3.46,3.55,3.46,3.51,86390
2011-09-08,3.55,3.68,3.51,3.68,117260
2011-09-09,3.68,3.68,3.68,3.68,99710
2011-09-12,3.64,3.81,3.64,3.81,19520
2011-09-13,3.85,3.85,3.64,3.68,140280
2011-09-14,3.72,3.72,3.51,3.51,21300
2011-09-15,3.51,3.55,3.42,3.46,101580
2011-09-16,3.42,3.59,3.29,3.59,46310
2011-09-19,3.59,3.59,3.46,3.46,114610
2011-09-20,3.38,3.59,3.33,3.38,95800
2011-09-21,3.46,3.46,3.33,3.38,100750
2011-09-22,3.38,3.42,3.33,3.42,99390
2011-09-23,3.46,3.46,3.29,3.29,93810
2011-09-26,3.29,3.42,3.29,3.42,134470
2011-09-27,3.46,3.46,3.38,3.46,90200
2011-09-28,3.55,3.64,3.42,3.59,95270
2011-09-29,3.59,3.68,3.42,3.51,122540
2011-09-30,3.55,3.59,3.51,3.55,111890
2011-10-03,3.59,3.59,3.55,3.55,76020
2011-10-04,3.51,3.51,3.38,3.42,91220
2011-10-05,3.46,3.51,3.42,3.51,85500
2011-10-06,3.55,3.55,3.38,3.51,76750
2011-10-07,3.46,3.51,3.38,3.51,80320
2011-10-10,3.42,3.46,3.33,3.33,72110
2011-10-11,3.33,3.38,3.29,3.38,86980
2011-10-12,3.33,3.33,3.25,3.25,72920
2011-10-13,3.25,3.33,3.12,3.33,113070
2011-10-14,3.33,3.38,3.33,3.38,78250
2011-10-17,3.33,3.46,3.33,3.46,64110
2011-10-18,3.46,3.46,3.42,3.42,62380
2011-10-19,3.29,3.42,3.29,3.38,68670
2011-10-20,3.38,3.38,3.29,3.29,38230
2011-10-21,3.25,3.25,3.16,3.16,83200
2011-10-24,3.16,3.25,3.16,3.25,57260
2011-10-25,3.25,3.25,3.16,3.25,64000
2011-10-26,3.29,3.29,3.2,3.25,56900
2011-10-27,3.25,3.29,3.2,3.25,49860
2011-10-28,3.25,3.25,3.16,3.25,59930
2011-10-31,3.33,3.33,3.16,3.16,72120
2011-11-01,3.2,3.25,3.07,3.25,64350
2011-11-02,3.25,3.25,3.16,3.25,68210
2011-11-03,3.25,3.25,3.2,3.2,68690
2011-11-04,3.16,3.2,3.16,3.2,77570
2011-11-07,3.16,3.2,3.16,3.2,73060
2011-11-08,3.16,3.2,3.16,3.2,77670
2011-11-09,3.16,3.16,3.12,3.12,80440
2011-11-10,3.12,3.12,3.03,3.12,115210
2011-11-11,3.2,3.2,3.12,3.12,52900
2011-11-14,3.12,3.12,3.03,3.12,117830
2011-11-15,3.07,3.12,3.03,3.12,51390
2011-11-16,3.12,3.16,3.12,3.12,108110
2011-11-17,3.12,3.12,3.07,3.07,48780
2011-11-18,3.07,3.07,3.07,3.07,119340
2011-11-21,3.03,3.07,2.99,3.07,63650
2011-11-22,3.03,3.07,3.03,3.07,89300
2011-11-23,3.03,3.07,3.03,3.07,72880
2011-11-24,3.07,3.12,3.07,3.12,83380
2011-11-25,3.07,3.12,3.07,3.07,54430
2011-11-28,3.07,3.07,3.07,3.07,86200
2011-11-29,3.03,3.03,3.03,3.03,54120
2011-11-30,3.03,3.03,2.99,3.03,72280
2011-12-01,2.94,2.94,2.9,2.9,44620
2011-12-02,2.94,2.94,2.81,2.81,81800
2011-12-05,2.86,2.94,2.81,2.94,60760
2011-12-06,2.99,3.03,2.99,3.03,66830
2011-12-07,2.99,2.99,2.94,2.99,69200
2011-12-08,2.94,2.94,2.9,2.94,62250
2011-12-09,2.94,2.94,2.9,2.9,69930
2011-12-12,2.9,2.94,2.9,2.94,60130
2011-12-13,2.9,2.94,2.9,2.94,89890
2011-12-14,2.86,2.9,2.81,2.81,61110
2011-12-15,2.81,2.86,2.73,2.81,73390
2011-12-16,2.81,2.86,2.81,2.86,49090
2011-12-19,2.81,2.86,2.81,2.86,71200
2011-12-20,2.81,2.81,2.73,2.73,56800
2011-12-21,2.73,2.81,2.73,2.77,78910
2011-12-22,2.77,2.77,2.73,2.73,77940
2011-12-23,2.68,2.73,2.6,2.73,83420
2011-12-26,2.64,2.64,2.64,2.64,83400
2011-12-27,2.6,2.6,2.51,2.51,59530
2011-12-28,2.6,2.6,2.6,2.6,20
2011-12-29,2.73,2.73,2.73,2.73,110
2011-12-30,2.73,2.73,2.73,2.73,0
2012-01-03,2.77,2.86,2.77,2.86,20
2012-01-04,2.86,2.86,2.77,2.86,57590
2012-01-05,2.81,2.81,2.81,2.81,50100
2012-01-06,2.68,2.68,2.68,2.68,70
2012-01-09,2.55,2.55,2.55,2.55,160
2012-01-10,2.47,2.6,2.47,2.6,40
2012-01-11,2.68,2.68,2.47,2.47,40
2012-01-12,2.51,2.51,2.38,2.38,87420
2012-01-13,2.34,2.34,2.34,2.34,40
2012-01-16,2.38,2.38,2.34,2.38,82480
2012-01-17,2.42,2.42,2.34,2.42,80430
2012-01-18,2.47,2.47,2.34,2.42,80230
2012-01-19,2.47,2.47,2.38,2.42,80390
2012-01-20,2.42,2.42,2.34,2.34,81910
2012-01-30,2.38,2.38,2.34,2.38,90090
2012-01-31,2.38,2.42,2.38,2.42,83840
2012-02-01,2.42,2.47,2.34,2.47,115060
2012-02-02,2.47,2.55,2.38,2.55,108620
2012-02-03,2.6,2.6,2.47,2.47,85080
2012-02-06,2.51,2.51,2.51,2.51,100290
2012-02-07,2.47,2.51,2.42,2.42,101980
2012-02-08,2.47,2.47,2.42,2.42,97540
2012-02-09,2.42,2.42,2.34,2.34,117130
2012-02-10,2.38,2.38,2.25,2.38,135250
2012-02-13,2.38,2.42,2.38,2.42,100030
2012-02-14,2.42,2.42,2.38,2.42,101480
2012-02-15,2.42,2.42,2.38,2.42,101210
2012-02-16,2.34,2.34,2.34,2.34,100370
2012-02-17,2.25,2.34,2.25,2.25,103140
