date,open,high,low,close,volume
2014-08-26,4.71,5.24,4.71,5.24,22700
2014-08-27,5.77,5.77,5.77,5.77,22100
2014-08-28,6.33,6.33,6.33,6.33,34603
2014-08-29,6.96,6.96,5.7,6.35,27929
2014-09-03,6.08,6.72,5.93,6.0,7700
2014-09-04,6.0,6.0,5.4,5.4,4251
2014-09-05,4.92,5.4,4.87,4.91,16729
2014-09-08,4.93,5.24,4.93,5.24,400
2014-09-09,4.97,5.2,4.93,5.2,7900
2014-09-10,4.77,4.77,4.71,4.75,4500
2014-09-11,4.71,4.71,4.64,4.71,2500
2014-09-12,4.64,4.64,4.5,4.5,900
2014-09-15,4.61,4.95,4.46,4.92,6000
2014-09-16,4.57,4.57,4.57,4.57,1200
2014-09-17,4.58,4.84,4.58,4.71,1000
2014-09-18,4.84,4.91,4.71,4.91,2200
2014-09-19,4.91,5.04,4.91,5.04,12400
2014-09-22,4.97,5.31,4.97,5.18,13200
2014-09-23,5.09,5.14,4.99,5.11,7600
2014-09-24,5.11,5.18,5.11,5.18,2500
2014-09-25,5.22,5.22,5.07,5.08,3500
2014-09-26,5.11,5.14,4.99,5.07,6300
2014-09-29,5.09,5.11,5.07,5.11,6400
2014-09-30,5.09,5.09,5.04,5.04,900
2014-10-01,5.09,5.09,5.09,5.09,6800
2014-10-02,5.09,5.09,4.97,5.04,7000
2014-10-03,5.04,5.09,5.03,5.04,8100
2014-10-06,5.01,5.01,4.99,4.99,3800
2014-10-07,4.95,4.95,4.92,4.92,600
2014-10-08,4.91,4.91,4.91,4.91,300
2014-10-09,4.91,4.91,4.91,4.91,2400
2014-10-10,4.84,4.85,4.84,4.84,2700
2014-10-13,4.84,4.84,4.84,4.84,600
2014-10-14,5.32,5.32,4.77,4.84,2700
2014-10-15,4.84,4.84,4.71,4.72,5100
2014-10-16,4.84,4.88,4.84,4.88,6800
2014-10-17,4.84,4.87,4.84,4.87,1000
2014-10-20,4.84,4.85,4.6,4.85,18000
2014-10-21,4.71,4.84,4.71,4.77,1380
2014-10-22,4.72,4.72,4.65,4.71,11600
2014-10-23,4.84,4.84,4.71,4.83,1600
2014-10-24,4.75,4.84,4.73,4.83,6400
2014-10-27,4.45,4.83,4.45,4.81,4100
2014-10-28,4.81,4.81,4.81,4.81,1400
2014-10-29,4.5,4.83,4.5,4.83,3100
2014-10-30,4.71,4.79,4.71,4.77,2600
2014-10-31,4.5,4.81,4.5,4.81,1100
2014-11-03,4.71,4.91,4.71,4.81,12400
2014-11-04,4.84,4.84,4.84,4.84,4500
2014-11-05,4.81,4.81,4.79,4.79,2100
2014-11-06,4.77,4.77,4.77,4.77,500
2014-11-07,4.81,4.88,4.76,4.76,4700
2014-11-10,4.71,4.71,4.71,4.71,100
2014-11-11,4.72,4.72,4.72,4.72,500
