date,open,high,low,close,volume
2008-03-11,6.3,6.42,6.24,6.36,2036820
2008-03-12,6.42,6.64,6.42,6.53,1467140
2008-03-13,6.64,6.64,6.47,6.59,1035140
2008-03-14,6.53,6.64,6.47,6.59,957150
2008-03-17,6.42,6.47,6.3,6.3,1642900
2008-03-18,6.01,6.01,6.01,6.01,1194890
2008-03-19,5.96,6.13,5.79,5.84,2308980
2008-03-20,5.84,6.01,5.84,5.84,1277620
2008-03-21,5.84,5.9,5.73,5.73,1526440
2008-03-24,5.61,5.67,5.44,5.44,1436350
2008-03-25,5.18,5.21,5.18,5.18,1325860
2008-03-26,5.35,5.43,5.33,5.43,1483350
2008-03-27,5.48,5.48,5.48,5.48,38890
2008-03-28,5.52,5.52,5.52,5.52,26910
2008-03-31,5.57,5.57,5.57,5.57,25470
2008-04-01,5.61,5.61,5.61,5.61,26040
2008-04-02,5.66,5.66,5.66,5.66,720
2008-04-03,5.7,5.7,5.7,5.7,10830
2008-04-04,5.73,5.73,5.73,5.73,18410
2008-04-07,5.84,5.84,5.84,5.84,24750
2008-04-08,5.96,5.96,5.79,5.96,2428410
2008-04-09,6.07,6.07,6.01,6.07,911220
2008-04-10,6.07,6.07,5.96,5.96,1612540
2008-04-11,5.84,5.9,5.84,5.84,1438140
2008-04-16,5.73,5.84,5.73,5.84,1166460
2008-04-17,5.84,5.96,5.84,5.96,715050
2008-04-18,6.07,6.07,5.96,6.07,1785770
2008-04-21,6.13,6.13,6.01,6.07,789080
2008-04-22,6.01,6.07,5.95,6.01,954070
2008-04-23,5.9,5.95,5.9,5.9,1064470
2008-04-24,5.95,6.01,5.9,6.01,765670
2008-04-25,6.07,6.07,5.95,6.01,613620
2008-04-28,6.07,6.13,6.01,6.13,1022100
2008-04-29,6.25,6.25,6.13,6.25,1279060
2008-05-05,6.19,6.25,6.13,6.13,536630
2008-05-06,6.07,6.13,6.01,6.07,586880
2008-05-07,6.01,6.07,6.01,6.07,887940
2008-05-08,6.01,6.07,5.95,6.01,835170
2008-05-09,5.9,5.95,5.9,5.9,1195210
2008-05-12,5.78,5.83,5.78,5.78,1206960
2008-05-13,5.67,5.67,5.67,5.67,230630
2008-05-14,5.57,5.57,5.57,5.57,163910
2008-05-15,5.46,5.46,5.46,5.46,111400
2008-05-16,5.37,5.57,5.36,5.36,2270960
2008-05-19,5.31,5.43,5.28,5.37,779980
2008-05-20,5.27,5.35,5.27,5.27,551250
2008-05-21,5.16,5.16,5.16,5.16,429010
2008-05-22,5.07,5.07,5.07,5.07,483300
2008-05-23,4.97,4.97,4.97,4.97,159700
2008-05-26,4.88,4.88,4.88,4.88,104980
2008-05-30,4.79,4.79,4.79,4.79,65020
2008-06-02,4.69,4.69,4.69,4.69,20860
2008-06-03,4.6,4.6,4.6,4.6,12780
2008-06-04,4.52,4.52,4.52,4.52,12210
2008-06-05,4.44,4.44,4.44,4.44,17660
2008-06-06,4.36,4.36,4.36,4.36,25330
2008-06-09,4.27,4.27,4.27,4.27,9110
2008-06-10,4.19,4.19,4.19,4.19,65750
2008-06-11,4.11,4.27,4.11,4.14,1899000
2008-06-12,4.14,4.23,4.14,4.23,520940
2008-06-13,4.31,4.31,4.31,4.31,309190
2008-06-16,4.39,4.39,4.39,4.39,51750
2008-06-17,4.47,4.47,4.47,4.47,30130
2008-06-18,4.55,4.55,4.39,4.47,2813320
2008-06-19,4.34,4.38,4.34,4.34,935160
2008-06-20,4.22,4.34,4.22,4.22,688760
2008-06-23,4.33,4.33,4.33,4.33,107670
2008-06-24,4.46,4.46,4.46,4.46,39740
2008-06-25,4.59,4.59,4.59,4.59,86480
2008-06-26,4.72,4.72,4.59,4.72,2300550
2008-06-27,4.72,4.86,4.69,4.86,855020
2008-06-30,5.0,5.0,5.0,5.0,113990
2008-07-01,5.14,5.14,5.14,5.14,50980
2008-07-02,5.29,5.29,5.29,5.29,164770
2008-07-03,5.44,5.44,5.44,5.44,57220
2008-07-04,5.59,5.59,5.59,5.59,203170
2008-07-07,5.76,5.76,5.59,5.72,2684390
2008-07-08,5.64,5.84,5.62,5.84,1849480
2008-07-09,6.01,6.01,5.9,6.01,1831960
2008-07-10,6.19,6.19,6.19,6.19,335630
2008-07-11,6.36,6.36,6.36,6.36,192780
2008-07-14,6.54,6.54,6.54,6.54,206790
2008-07-15,6.71,6.71,6.71,6.71,65550
2008-07-16,6.89,6.89,6.71,6.89,3128060
2008-07-17,7.06,7.06,7.06,7.06,739010
2008-07-18,6.89,7.24,6.89,6.89,4523280
2008-07-21,6.71,6.71,6.71,6.71,488970
2008-07-22,6.54,6.54,6.54,6.54,169680
2008-07-23,6.36,6.36,6.36,6.36,317640
2008-07-24,6.19,6.54,6.19,6.19,4694090
2008-07-25,6.13,6.25,6.01,6.07,1249960
2008-07-28,6.25,6.25,6.25,6.25,412220
2008-07-29,6.42,6.42,6.42,6.42,35360
2008-07-30,6.6,6.6,6.31,6.54,2898600
2008-07-31,6.6,6.71,6.48,6.71,2077390
2008-08-01,6.83,6.89,6.71,6.77,1563470
2008-08-04,6.66,6.71,6.6,6.6,589540
2008-08-05,6.42,6.54,6.42,6.42,838520
2008-08-06,6.6,6.6,6.6,6.6,856490
2008-08-07,6.77,6.77,6.6,6.6,1980150
2008-08-08,6.71,6.77,6.6,6.77,1334250
2008-08-11,6.95,6.95,6.89,6.95,1642950
2008-08-12,7.12,7.12,7.01,7.12,3180140
2008-08-13,7.12,7.24,6.95,7.12,1669870
2008-08-14,7.12,7.3,7.12,7.3,1640590
2008-08-15,7.47,7.47,7.47,7.47,231400
2008-08-18,7.59,7.82,7.53,7.82,2392530
2008-08-19,7.76,7.82,7.47,7.53,2845520
2008-08-20,7.3,7.65,7.3,7.41,2213810
2008-08-21,7.59,7.76,7.47,7.76,2073370
2008-08-22,7.76,7.82,7.53,7.53,1224240
2008-08-25,7.76,7.88,7.59,7.88,1863690
2008-08-26,8.17,8.17,7.82,7.88,2056940
2008-08-27,7.88,8.06,7.71,7.71,2118480
2008-08-28,7.36,7.47,7.36,7.36,923100
2008-08-29,7.01,7.59,7.01,7.59,2830010
2008-09-03,7.71,7.88,7.71,7.71,1118450
2008-09-04,7.47,7.59,7.36,7.59,845920
2008-09-05,7.36,7.41,7.24,7.24,645630
2008-09-08,6.89,7.18,6.89,7.01,910240
2008-09-09,7.12,7.3,7.01,7.12,520710
2008-09-10,7.24,7.3,7.01,7.12,712850
2008-09-11,7.01,7.12,7.01,7.01,791640
2008-09-12,6.66,6.77,6.66,6.66,1231110
2008-09-15,6.95,6.95,6.71,6.95,730080
2008-09-16,6.66,6.77,6.66,6.66,457930
2008-09-17,6.36,6.54,6.36,6.42,1407240
2008-09-18,6.13,6.19,6.13,6.13,1300800
2008-09-19,6.42,6.42,6.42,6.42,506680
2008-09-22,6.71,6.71,6.71,6.71,40530
2008-09-23,6.6,7.01,6.48,6.83,2065620
2008-09-24,6.77,6.83,6.66,6.66,482270
2008-09-25,6.83,6.95,6.77,6.95,910350
2008-09-26,7.24,7.24,6.95,7.06,1068290
2008-09-29,7.06,7.36,6.89,7.36,1531940
2008-09-30,7.01,7.01,7.01,7.01,22050
2008-10-01,7.01,7.06,6.71,6.77,776070
2008-10-02,7.01,7.01,6.66,6.89,570100
2008-10-03,6.66,6.83,6.66,6.71,258770
2008-10-06,6.54,6.6,6.42,6.42,841230
2008-10-07,6.13,6.19,6.13,6.13,1540590
2008-10-08,5.84,6.07,5.84,6.07,1009540
2008-10-09,6.07,6.36,6.07,6.25,450870
2008-10-10,5.95,6.07,5.94,5.94,966710
2008-10-13,5.95,6.07,5.85,5.85,522160
2008-10-14,6.13,6.13,6.13,6.13,63950
