date,open,high,low,close,volume
2015-03-11,5.69,5.69,5.59,5.63,123290
2015-03-12,5.24,5.69,5.24,5.24,179720
2015-03-13,5.24,5.24,4.89,4.89,19490
2015-03-16,4.58,4.66,4.56,4.56,39280
2015-03-17,4.25,4.29,4.25,4.25,50240
2015-03-18,4.16,4.39,4.16,4.39,40090
2015-03-19,4.39,4.42,4.39,4.39,340
2015-03-20,4.27,4.39,4.1,4.39,14970
2015-03-23,4.39,4.39,4.13,4.13,11730
2015-03-24,4.13,4.16,4.13,4.16,5670
2015-03-25,4.13,4.13,4.03,4.03,8350
2015-03-26,4.03,4.04,3.97,3.97,18890
2015-03-27,3.97,4.25,3.97,4.25,57030
2015-03-30,4.25,4.26,4.15,4.15,6550
2015-03-31,4.15,4.25,4.15,4.25,6190
2015-04-01,4.19,4.19,4.03,4.03,16090
2015-04-02,4.03,4.03,3.91,4.03,43080
2015-04-03,3.93,4.15,3.93,4.12,7360
2015-04-06,4.15,4.15,4.03,4.03,1050
2015-04-07,4.02,4.03,4.0,4.02,5270
2015-04-08,4.03,4.03,4.0,4.03,4040
2015-04-09,4.02,4.08,4.02,4.07,13610
2015-04-10,4.03,4.07,4.03,4.07,29320
2015-04-13,3.99,4.27,3.97,4.27,1690
2015-04-14,4.23,4.25,4.2,4.2,5510
2015-04-15,4.18,4.18,4.18,4.18,200
2015-04-16,4.45,4.45,4.03,4.09,8390
2015-04-17,4.25,4.25,4.09,4.09,14830
2015-04-20,4.03,4.37,3.97,3.97,27600
2015-04-21,4.15,4.21,3.97,4.21,9300
2015-04-22,4.15,4.21,4.09,4.21,4020
2015-04-23,4.21,4.39,4.15,4.33,30720
2015-04-24,4.32,4.33,4.21,4.32,17710
2015-04-27,4.27,4.27,4.27,4.27,1510
2015-05-04,4.26,4.27,4.09,4.15,8840
2015-05-05,4.12,4.15,4.1,4.15,7100
2015-05-06,4.15,4.15,4.03,4.03,16940
2015-05-07,4.2,4.2,4.2,4.2,10
2015-05-08,4.21,4.21,4.21,4.21,500
