date,open,high,low,close,volume
2008-03-11,5.43,5.53,5.39,5.39,167590
2008-03-12,5.33,5.56,5.33,5.39,177860
2008-03-13,5.53,5.53,5.33,5.39,98890
2008-03-14,5.26,5.5,5.26,5.33,127940
2008-03-17,5.09,5.15,5.09,5.09,131000
2008-03-18,4.85,4.85,4.85,4.85,64160
2008-03-19,4.64,4.81,4.61,4.61,621320
2008-03-20,4.57,4.61,4.4,4.4,248790
2008-03-21,4.2,4.2,4.2,4.2,119760
2008-03-24,3.99,3.99,3.99,3.99,14270
2008-03-25,3.82,3.82,3.82,3.82,29730
2008-03-26,3.69,3.82,3.65,3.65,481020
2008-03-27,3.69,3.69,3.69,3.69,37190
2008-03-28,3.72,3.72,3.72,3.72,28180
2008-03-31,3.76,3.76,3.76,3.76,14670
2008-04-01,3.79,3.79,3.79,3.79,5930
2008-04-02,3.82,3.82,3.82,3.82,1060
2008-04-03,3.86,3.86,3.86,3.86,3830
2008-04-04,3.89,3.89,3.89,3.89,2400
2008-04-07,3.96,3.96,3.96,3.96,3020
2008-04-08,4.03,4.03,3.89,4.03,645540
2008-04-09,4.03,4.03,3.96,3.96,304710
2008-04-10,3.89,3.89,3.89,3.89,28630
2008-04-11,3.82,3.82,3.82,3.82,60920
2008-04-16,3.76,3.76,3.76,3.76,7800
2008-04-17,3.69,3.82,3.69,3.82,200540
2008-04-18,3.76,3.76,3.76,3.76,62520
2008-04-21,3.69,3.69,3.69,3.69,13730
2008-04-22,3.62,3.62,3.62,3.62,10730
2008-04-23,3.55,3.55,3.55,3.55,7240
2008-04-24,3.48,3.48,3.48,3.48,8400
2008-04-25,3.41,3.41,3.41,3.41,13610
2008-04-28,3.35,3.35,3.35,3.35,10840
2008-04-29,3.28,3.28,3.28,3.28,11410
2008-05-05,3.22,3.22,3.22,3.22,7850
2008-05-06,3.22,3.22,3.16,3.16,1330
2008-05-07,3.1,3.1,3.1,3.1,2880
2008-05-08,3.04,3.04,3.04,3.04,3150
2008-05-09,2.98,2.98,2.98,2.98,1940
2008-05-12,2.93,2.93,2.93,2.93,1670
2008-05-13,2.87,2.87,2.87,2.87,20
2008-05-14,2.82,2.82,2.82,2.82,80
2008-05-15,2.77,2.77,2.77,2.77,320
2008-05-16,2.71,2.71,2.71,2.71,3400
2008-05-19,2.66,2.66,2.66,2.66,6160
2008-05-20,2.62,2.62,2.62,2.62,4080
2008-05-21,2.57,2.57,2.57,2.57,510
2008-05-22,2.52,2.52,2.52,2.52,310
2008-05-23,2.47,2.47,2.47,2.47,1670
2008-05-26,2.42,2.42,2.42,2.42,1820
2008-05-30,2.38,2.38,2.38,2.38,3750
2008-06-02,2.34,2.34,2.34,2.34,4440
2008-06-03,2.34,2.34,2.29,2.29,17050
2008-06-04,2.25,2.25,2.25,2.25,2420
2008-06-05,2.21,2.21,2.21,2.21,1370
2008-06-06,2.17,2.17,2.17,2.17,1610
2008-06-09,2.13,2.13,2.13,2.13,540
2008-06-10,2.09,2.09,2.09,2.09,1540
2008-06-11,2.05,2.05,2.05,2.05,242580
2008-06-12,2.01,2.01,2.01,2.01,51700
2008-06-13,1.97,1.97,1.97,1.97,96070
2008-06-16,1.94,2.01,1.94,2.01,657300
2008-06-17,2.01,2.04,2.01,2.04,563300
2008-06-18,2.01,2.01,2.01,2.01,130020
2008-06-19,1.95,1.95,1.95,1.95,9350
2008-06-20,1.9,1.9,1.9,1.9,234510
2008-06-23,1.84,1.84,1.84,1.84,53030
2008-06-24,1.79,1.79,1.79,1.79,23550
2008-06-25,1.74,1.84,1.74,1.8,581260
2008-06-26,1.85,1.85,1.75,1.78,366710
2008-06-27,1.73,1.82,1.73,1.82,195290
2008-06-30,1.82,1.88,1.82,1.88,208590
2008-07-01,1.93,1.93,1.93,1.93,37820
2008-07-02,1.99,1.99,1.88,1.99,441720
2008-07-03,2.04,2.04,2.04,2.04,134810
2008-07-04,2.1,2.1,2.1,2.1,113050
2008-07-07,2.16,2.16,2.03,2.03,775100
2008-07-08,1.98,2.09,1.98,2.09,341090
2008-07-09,2.03,2.15,2.03,2.14,294950
2008-07-10,2.21,2.21,2.18,2.21,410880
2008-07-11,2.27,2.27,2.27,2.27,38430
2008-07-14,2.33,2.33,2.33,2.33,24010
2008-07-15,2.4,2.4,2.4,2.4,106950
2008-07-16,2.46,2.46,2.33,2.46,729250
2008-07-17,2.53,2.53,2.53,2.53,204250
2008-07-18,2.46,2.61,2.46,2.46,846050
2008-07-21,2.4,2.4,2.4,2.4,53190
2008-07-22,2.33,2.33,2.33,2.33,1280
2008-07-23,2.26,2.26,2.26,2.26,67050
2008-07-24,2.2,2.27,2.2,2.2,581410
2008-07-25,2.14,2.14,2.14,2.14,46010
2008-07-28,2.08,2.18,2.08,2.08,347190
2008-07-29,2.14,2.14,2.14,2.14,109100
2008-07-30,2.2,2.2,2.08,2.2,622970
2008-07-31,2.26,2.26,2.2,2.26,359500
2008-08-01,2.32,2.32,2.32,2.32,25670
2008-08-04,2.39,2.39,2.32,2.36,815370
2008-08-05,2.29,2.29,2.29,2.29,70430
2008-08-06,2.36,2.36,2.31,2.36,439440
2008-08-07,2.42,2.42,2.3,2.32,227150
2008-08-08,2.33,2.39,2.27,2.39,397410
2008-08-11,2.46,2.46,2.46,2.46,54420
2008-08-12,2.53,2.53,2.49,2.53,689190
2008-08-13,2.6,2.6,2.6,2.6,12200
2008-08-14,2.68,2.68,2.68,2.68,2900
2008-08-15,2.75,2.75,2.75,2.75,14870
2008-08-18,2.89,2.89,2.89,2.89,6760
2008-08-19,3.03,3.03,3.03,3.03,20170
2008-08-20,3.17,3.17,3.17,3.17,85640
2008-08-21,3.33,3.33,3.33,3.33,18080
2008-08-22,3.49,3.49,3.49,3.49,6520
2008-08-25,3.66,3.66,3.66,3.66,16840
2008-08-26,3.84,3.84,3.84,3.84,18860
2008-08-27,4.03,4.03,4.03,4.03,28520
2008-08-28,4.23,4.23,4.21,4.23,1175340
2008-08-29,4.44,4.44,4.24,4.44,767200
2008-09-03,4.66,4.66,4.66,4.66,59900
2008-09-04,4.87,4.87,4.87,4.87,64650
2008-09-05,5.11,5.11,5.11,5.11,43360
2008-09-08,4.87,5.35,4.87,5.02,1894930
2008-09-09,5.07,5.21,4.77,4.77,1116060
2008-09-10,4.78,4.78,4.54,4.59,745790
2008-09-11,4.36,4.54,4.36,4.36,548470
2008-09-12,4.15,4.15,4.15,4.15,129470
2008-09-15,4.3,4.35,3.95,4.16,1131560
2008-09-16,3.96,4.01,3.96,3.96,426800
2008-09-17,3.77,3.82,3.77,3.77,343050
2008-09-18,3.58,3.58,3.58,3.58,84780
2008-09-19,3.76,3.76,3.76,3.76,244950
2008-09-22,3.94,3.94,3.94,3.94,144340
2008-09-23,3.75,4.13,3.75,3.94,1405150
2008-09-24,3.94,3.97,3.79,3.92,345860
2008-09-25,3.83,4.11,3.83,4.11,331690
2008-09-26,4.31,4.31,3.92,4.21,589790
2008-09-29,4.11,4.21,4.01,4.01,305590
2008-09-30,3.81,3.81,3.81,3.81,6930
2008-10-01,3.87,3.9,3.68,3.75,239280
2008-10-02,3.87,3.87,3.73,3.82,199940
2008-10-03,3.68,3.81,3.68,3.7,112620
2008-10-06,3.54,3.63,3.52,3.52,177190
2008-10-07,3.35,3.35,3.35,3.35,27620
2008-10-08,3.18,3.18,3.18,3.18,60310
2008-10-09,3.03,3.17,3.03,3.03,659490
2008-10-10,2.89,2.89,2.89,2.89,78180
2008-10-13,2.89,2.97,2.74,2.74,282950
2008-10-14,2.88,2.88,2.88,2.88,7240
2008-10-15,2.82,2.95,2.73,2.92,520070
2008-10-16,2.77,2.84,2.77,2.77,300510
2008-10-17,2.77,2.78,2.69,2.69,189680
2008-10-20,2.63,2.63,2.55,2.55,136970
2008-10-21,2.68,2.68,2.58,2.68,287930
2008-10-22,2.63,2.76,2.63,2.76,253650
2008-10-23,2.68,2.71,2.63,2.64,244700
2008-10-24,2.57,2.63,2.55,2.55,172520
2008-10-27,2.43,2.45,2.43,2.43,297410
2008-10-28,2.31,2.41,2.31,2.31,503580
2008-10-29,2.43,2.43,2.29,2.39,455080
2008-10-30,2.39,2.45,2.31,2.44,504580
2008-10-31,2.45,2.55,2.45,2.55,498360
2008-11-03,2.43,2.53,2.43,2.44,432050
2008-11-04,2.37,2.55,2.37,2.55,549740
2008-11-05,2.68,2.68,2.67,2.68,351510
2008-11-06,2.59,2.81,2.59,2.71,704060
2008-11-07,2.58,2.64,2.58,2.58,422140
2008-11-10,2.58,2.63,2.53,2.57,254060
2008-11-11,2.45,2.46,2.45,2.45,230210
