date,open,high,low,close,volume
2010-03-26,3.62,3.62,3.33,3.33,112440
2010-03-29,3.24,3.33,3.19,3.24,44380
2010-03-30,3.08,3.4,3.08,3.39,88950
2010-03-31,3.39,3.54,3.33,3.54,18750
2010-04-01,3.62,3.62,3.47,3.52,43270
2010-04-02,3.53,3.54,3.38,3.54,57030
2010-04-05,3.44,3.55,3.44,3.54,35660
2010-04-06,3.47,3.52,3.47,3.47,56670
2010-04-07,3.33,3.46,3.33,3.46,18530
2010-04-08,3.33,3.48,3.33,3.33,4820
2010-04-09,3.43,3.43,3.24,3.33,4160
2010-04-12,3.43,3.43,3.24,3.33,47370
2010-04-13,3.33,3.38,3.33,3.38,5610
2010-04-14,3.33,3.38,3.33,3.33,22350
2010-04-15,3.24,3.43,3.24,3.33,45190
2010-04-16,3.43,3.45,3.24,3.43,46840
2010-04-19,3.43,3.43,3.26,3.43,5110
2010-04-20,3.28,3.43,3.28,3.28,6000
2010-04-21,3.43,3.44,3.33,3.43,24890
2010-04-22,3.43,3.51,3.43,3.43,2700
2010-04-26,3.43,3.43,3.25,3.43,3140
2010-04-27,3.28,3.33,3.28,3.28,2800
2010-04-28,3.4,3.4,3.33,3.38,4640
2010-04-29,3.42,3.42,3.33,3.33,15500
2010-05-04,3.33,3.33,3.24,3.33,6090
2010-05-05,3.21,3.25,3.21,3.21,9500
2010-05-06,3.33,3.33,3.24,3.24,2950
2010-05-07,3.31,3.31,3.31,3.31,3010
2010-05-10,3.15,3.18,3.15,3.15,6460
2010-05-11,3.18,3.18,3.18,3.18,40
2010-05-12,3.23,3.23,3.23,3.23,10
2010-05-13,3.14,3.14,3.07,3.14,18630
2010-05-14,2.99,3.01,2.99,2.99,9780
2010-05-17,2.86,2.86,2.85,2.85,10390
2010-05-18,2.77,2.85,2.76,2.77,17430
2010-05-19,2.64,2.76,2.64,2.64,12250
2010-05-20,2.57,2.73,2.57,2.73,4100
2010-05-21,2.73,2.73,2.73,2.73,360
2010-05-24,2.73,2.73,2.66,2.73,680
2010-05-25,2.71,2.73,2.71,2.71,260
2010-05-26,2.66,2.84,2.66,2.84,4950
2010-05-27,2.85,2.86,2.85,2.86,2740
2010-05-28,2.99,2.99,2.99,2.99,500
2010-05-31,2.86,2.95,2.86,2.86,3030
2010-06-01,2.99,2.99,2.76,2.99,3540
2010-06-02,3.13,3.13,2.86,3.13,14960
2010-06-03,3.13,3.14,3.05,3.05,10600
2010-06-04,3.12,3.12,2.9,3.12,14410
2010-06-07,3.2,3.2,3.2,3.2,5400
2010-06-08,3.05,3.21,3.05,3.21,5060
2010-06-09,3.32,3.32,3.07,3.32,15770
2010-06-10,3.37,3.37,3.32,3.37,10500
2010-06-11,3.37,3.51,3.32,3.51,18380
2010-06-14,3.66,3.66,3.34,3.66,20440
2010-06-15,3.64,3.66,3.56,3.64,27340
2010-06-16,3.64,3.64,3.59,3.64,1300
2010-06-17,3.6,3.6,3.51,3.6,2450
2010-06-18,3.56,3.56,3.47,3.56,3230
2010-06-21,3.51,3.51,3.51,3.51,400
2010-06-22,3.51,3.55,3.34,3.51,610
2010-06-23,3.51,3.51,3.51,3.51,0
2010-06-24,3.51,3.51,3.51,3.51,13200
2010-06-25,3.56,3.56,3.42,3.56,11700
2010-06-28,3.66,3.66,3.42,3.66,49520
2010-06-29,3.66,3.8,3.51,3.8,18230
2010-06-30,3.61,3.61,3.61,3.61,10
2010-07-01,3.44,3.44,3.44,3.44,10
2010-07-02,3.51,3.51,3.51,3.51,1500
2010-07-05,3.5,3.5,3.5,3.5,200
2010-07-06,3.51,3.51,3.42,3.51,130
2010-07-07,3.51,3.51,3.51,3.51,100
2010-07-08,3.51,3.51,3.34,3.51,230
2010-07-09,3.42,3.42,3.42,3.42,420
2010-07-12,3.42,3.42,3.26,3.42,420
2010-07-13,3.4,3.42,3.38,3.42,3120
2010-07-14,3.42,3.42,3.42,3.42,450
2010-07-15,3.41,3.41,3.41,3.41,100
2010-07-16,3.4,3.4,3.4,3.4,620
2010-07-19,3.4,3.4,3.4,3.4,0
