date,open,high,low,close,volume
2015-10-15,6.29,6.41,6.05,6.05,10100
2015-10-16,6.05,6.11,5.87,6.05,34900
2015-10-19,6.05,6.11,6.05,6.05,33400
2015-10-20,6.05,6.11,6.05,6.11,38000
2015-10-21,6.05,6.05,5.99,5.99,14200
2015-10-22,5.99,5.99,5.93,5.93,16500
2015-10-23,5.93,5.93,5.87,5.87,2100
2015-10-26,5.81,5.81,5.81,5.81,7100
2015-10-27,5.75,5.75,5.75,5.75,4800
2015-10-28,5.64,5.81,5.34,5.81,31500
2015-10-29,5.4,5.52,5.4,5.52,8100
2015-10-30,5.46,5.46,5.28,5.28,5700
2015-11-02,5.34,5.34,5.04,5.04,38700
2015-11-03,5.22,5.22,5.22,5.22,600
2015-11-04,5.04,5.22,4.75,5.22,12000
2015-11-05,5.1,5.28,5.1,5.28,4200
2015-11-06,5.34,5.34,5.22,5.28,30300
2015-11-09,5.22,5.22,5.04,5.04,10600
2015-11-10,5.16,5.16,5.1,5.1,3300
2015-11-11,5.1,5.1,5.1,5.1,2900
2015-11-12,5.1,5.16,5.1,5.16,2700
2015-11-13,5.34,5.34,5.22,5.34,500
2015-11-16,5.34,5.34,5.34,5.34,0
2015-11-17,5.34,5.34,5.22,5.22,10300
2015-11-18,5.22,5.22,4.45,5.22,5200
2015-11-19,5.22,5.22,5.22,5.22,2000
2015-11-20,5.22,5.22,5.22,5.22,18900
2015-11-23,5.1,5.16,5.1,5.1,11000
2015-11-24,5.1,5.1,5.04,5.04,2100
2015-11-25,4.86,4.92,4.86,4.86,2300
2015-11-26,5.04,5.04,4.57,4.57,6600
2015-11-27,5.04,5.04,4.63,4.63,11000
2015-11-30,5.1,5.1,5.1,5.1,100
2015-12-01,4.86,4.86,4.86,4.86,100
2015-12-02,4.51,4.81,4.51,4.63,10300
2015-12-03,4.98,4.98,4.63,4.63,15900
2015-12-04,4.63,4.92,4.63,4.63,137900
2015-12-07,4.86,5.28,4.63,4.63,30400
2015-12-08,4.75,4.75,4.75,4.75,100
2015-12-09,4.57,4.86,4.57,4.63,11300
2015-12-10,4.69,4.69,4.63,4.63,18200
2015-12-11,4.63,4.63,4.57,4.63,5700
2015-12-14,4.69,4.69,4.69,4.69,2000
2015-12-15,4.51,4.75,4.51,4.75,2500
2015-12-16,4.75,4.86,4.51,4.51,7700
2015-12-17,4.86,4.86,4.86,4.86,100
2015-12-18,4.86,4.86,4.86,4.86,0
2015-12-21,4.75,4.75,4.75,4.75,1000
2015-12-22,4.75,4.75,4.75,4.75,0
2015-12-23,4.75,4.75,4.75,4.75,11100
2015-12-24,4.75,4.81,4.75,4.81,4100
2015-12-25,4.75,4.75,4.75,4.75,1000
2015-12-28,4.63,4.63,4.63,4.63,1000
2015-12-29,4.75,4.75,4.75,4.75,100
2015-12-30,5.22,5.22,5.22,5.22,100
2015-12-31,4.75,4.75,4.75,4.75,6400
2016-01-04,5.46,5.46,5.28,5.28,1100
2016-01-05,4.75,4.75,4.75,4.75,100
2016-01-06,4.69,4.75,4.69,4.75,7700
2016-01-07,5.22,5.22,4.63,4.63,1500
2016-01-08,4.63,4.63,4.45,4.45,21800
2016-01-11,4.45,4.45,4.45,4.45,0
2016-01-12,4.98,4.98,4.98,4.98,100
2016-01-13,4.69,4.69,4.45,4.45,10100
2016-01-14,4.69,4.69,4.69,4.69,100
2016-01-15,4.69,4.69,4.69,4.69,0
2016-01-18,4.69,4.69,4.69,4.69,0
2016-01-19,4.75,4.75,4.15,4.15,8500
2016-01-20,4.15,4.15,4.15,4.15,0
2016-01-21,4.15,4.15,4.15,4.15,0
2016-01-22,4.15,4.15,4.15,4.15,0
2016-01-25,4.45,4.45,4.45,4.45,1000
2016-01-26,4.69,4.69,4.69,4.69,100
2016-01-27,4.69,4.69,4.69,4.69,0
2016-01-28,4.69,4.69,4.57,4.57,1200
2016-01-29,4.57,4.57,4.57,4.57,2000
2016-02-01,4.51,4.69,4.51,4.69,17000
2016-02-02,4.57,4.57,4.51,4.57,17700
2016-02-03,4.57,4.69,4.57,4.69,13800
2016-02-04,4.69,4.75,4.69,4.75,3000
2016-02-05,5.28,5.34,5.28,5.34,300
2016-02-15,4.92,4.92,4.75,4.75,1300
2016-02-16,4.75,4.75,4.75,4.75,0
2016-02-17,4.86,4.86,4.86,4.86,7000
2016-02-18,4.86,4.86,4.86,4.86,0
2016-02-19,4.81,4.98,4.81,4.98,6800
2016-02-22,4.86,4.86,4.86,4.86,1000
2016-02-23,4.86,4.86,4.86,4.86,39500
2016-02-24,4.86,4.86,4.86,4.86,0
2016-02-25,4.63,4.63,4.45,4.51,12300
2016-02-26,4.51,4.51,4.51,4.51,0
2016-02-29,4.51,4.51,4.51,4.51,0
2016-03-01,4.45,4.45,4.45,4.45,2900
2016-03-02,4.86,4.86,4.75,4.75,10800
2016-03-03,4.81,4.92,4.81,4.92,7900
2016-03-04,4.92,5.58,4.92,5.58,28300
2016-03-07,5.64,5.87,5.46,5.46,7500
2016-03-08,5.58,5.64,5.46,5.58,19700
2016-03-09,5.58,5.58,5.34,5.58,10600
2016-03-10,5.46,5.64,5.46,5.64,28700
2016-03-11,5.64,5.87,5.58,5.58,13000
2016-03-14,5.75,5.75,5.75,5.75,21800
2016-03-15,5.75,5.75,5.52,5.7,37600
2016-03-16,5.64,5.64,5.58,5.64,15400
2016-03-17,5.93,5.99,5.7,5.93,40800
2016-03-18,5.99,6.11,5.99,6.11,6600
2016-03-21,6.05,6.17,5.93,6.11,24400
2016-03-22,6.11,6.11,5.93,6.05,23500
2016-03-23,6.11,6.88,6.11,6.88,188400
2016-03-24,7.71,7.77,7.71,7.77,341300
2016-03-25,8.54,8.9,8.54,8.9,566700
2016-03-28,9.02,9.79,8.01,9.49,239300
2016-03-29,9.67,9.79,9.49,9.79,264290
2016-03-30,9.85,11.09,9.85,9.97,304900
2016-03-31,9.91,10.38,9.08,9.08,348500
2016-04-01,8.07,8.78,8.07,8.19,366800
2016-04-04,7.24,8.6,7.12,8.13,118100
2016-04-05,8.07,8.37,7.83,8.37,173000
2016-04-06,8.31,9.2,8.31,9.08,460000
2016-04-07,9.2,9.67,9.08,9.26,487500
2016-04-08,9.26,9.26,8.78,8.96,306400
2016-04-11,9.2,9.26,8.84,8.96,544400
2016-04-12,9.08,9.08,8.54,8.6,380400
2016-04-13,8.66,9.08,8.66,8.9,424400
2016-04-14,8.84,8.84,8.66,8.72,112100
2016-04-15,8.72,8.78,8.54,8.54,162300
2016-04-19,8.6,8.66,7.89,8.01,311600
2016-04-20,8.01,8.13,7.89,8.07,186100
2016-04-21,7.95,8.31,7.95,8.07,111000
2016-04-22,7.83,8.01,7.71,7.89,157900
2016-04-25,7.95,7.95,7.36,7.48,223950
2016-04-26,7.65,8.42,7.42,7.95,237500
2016-04-27,8.01,8.84,7.95,8.31,249200
2016-04-28,8.37,8.48,8.07,8.19,132580
2016-04-29,8.07,8.13,8.01,8.07,130900
2016-05-04,8.07,8.07,7.71,7.83,199100
2016-05-05,7.71,7.77,7.42,7.48,216700
2016-05-06,7.42,7.65,7.36,7.48,138950
2016-05-09,7.65,7.65,7.12,7.48,127800
2016-05-10,7.48,7.48,7.24,7.3,80300
2016-05-11,7.3,7.53,7.24,7.48,74700
2016-05-12,7.53,8.01,7.53,7.83,154100
2016-05-13,7.71,8.13,7.71,7.89,244400
2016-05-16,7.89,8.01,7.77,7.77,56000
2016-05-17,7.59,7.71,7.48,7.65,152400
2016-05-18,7.48,7.83,7.48,7.59,85900
2016-05-19,7.59,7.71,7.59,7.65,94900
2016-05-20,7.65,8.31,7.65,8.07,445400
2016-05-23,8.01,8.19,7.95,8.01,83100
