date,open,high,low,close,volume
2009-12-29,2.52,2.52,2.1,2.38,96300
2009-12-30,2.27,2.38,2.22,2.22,74500
2009-12-31,2.27,2.27,2.1,2.1,86600
2010-01-04,2.13,2.27,2.02,2.27,177700
2010-01-05,2.3,2.3,2.3,2.3,61300
2010-01-06,2.46,2.46,2.3,2.46,243500
2010-01-07,2.6,2.6,2.5,2.6,95900
2010-01-08,2.75,2.75,2.52,2.58,349400
2010-01-11,2.75,2.75,2.5,2.54,163000
2010-01-12,2.52,2.52,2.36,2.36,127700
2010-01-13,2.48,2.48,2.23,2.41,136900
2010-01-14,2.43,2.44,2.35,2.36,42400
2010-01-15,2.28,2.35,2.23,2.23,40100
2010-01-18,2.18,2.18,2.09,2.09,60500
2010-01-19,2.14,2.18,2.1,2.13,23300
2010-01-20,2.14,2.18,2.0,2.01,52700
2010-01-21,2.1,2.12,1.9,2.03,18600
2010-01-22,1.9,2.07,1.9,2.02,15700
2010-01-25,2.09,2.09,1.93,2.03,29700
2010-01-26,2.1,2.15,2.1,2.15,30900
2010-01-27,2.24,2.24,2.14,2.15,11900
2010-01-28,2.15,2.15,2.02,2.02,31500
2010-01-29,2.14,2.16,2.02,2.02,10900
2010-02-01,2.11,2.11,1.97,1.97,61900
2010-02-02,2.1,2.1,1.9,1.91,21700
2010-02-03,1.9,1.9,1.82,1.85,66500
2010-02-04,1.93,1.93,1.78,1.86,45800
2010-02-05,1.86,1.92,1.81,1.92,17800
2010-02-08,1.85,1.85,1.76,1.76,33300
2010-02-09,1.87,1.89,1.65,1.71,22300
2010-02-10,1.76,1.79,1.73,1.76,3800
2010-02-11,1.86,1.86,1.79,1.81,11800
2010-02-12,1.85,1.92,1.85,1.88,14700
2010-02-22,1.93,1.93,1.91,1.91,17100
2010-02-23,1.81,1.81,1.8,1.8,17700
2010-02-24,1.8,1.8,1.68,1.72,72100
2010-02-25,1.79,1.8,1.68,1.7,31500
2010-02-26,1.7,1.83,1.68,1.83,104800
2010-03-01,1.93,1.95,1.9,1.93,48700
2010-03-02,1.83,1.84,1.81,1.82,51200
2010-03-03,1.89,1.89,1.82,1.84,41800
2010-03-04,1.91,1.93,1.84,1.87,53000
2010-03-05,1.89,1.89,1.82,1.87,35000
2010-03-08,1.93,2.0,1.93,2.0,143300
2010-03-09,2.1,2.1,1.92,1.92,34100
2010-03-10,1.92,1.95,1.85,1.87,63000
2010-03-11,1.88,1.88,1.84,1.85,21800
2010-03-12,1.92,1.92,1.81,1.87,55600
2010-03-15,1.86,1.89,1.8,1.81,30600
2010-03-16,1.81,1.85,1.72,1.73,50700
2010-03-17,1.76,1.81,1.73,1.78,57100
2010-03-18,1.81,1.89,1.76,1.81,38500
2010-03-19,1.85,1.85,1.75,1.76,56700
2010-03-22,1.76,1.76,1.69,1.71,83800
2010-03-23,1.72,1.73,1.65,1.68,99500
2010-03-24,1.72,1.73,1.67,1.73,24000
2010-03-25,1.71,1.71,1.61,1.64,76600
2010-03-26,1.62,1.64,1.54,1.55,59600
2010-03-29,1.55,1.59,1.54,1.59,121500
2010-03-30,1.59,1.59,1.49,1.49,121300
2010-03-31,1.55,1.57,1.52,1.53,17200
2010-04-01,1.55,1.59,1.52,1.58,33500
2010-04-02,1.55,1.57,1.52,1.55,15300
2010-04-05,1.55,1.56,1.52,1.56,88600
2010-04-06,1.56,1.64,1.55,1.58,77400
2010-04-07,1.68,1.68,1.57,1.6,34800
2010-04-08,1.6,1.6,1.58,1.58,37500
2010-04-09,1.6,1.64,1.58,1.58,28600
2010-04-12,1.59,1.6,1.57,1.6,47400
2010-04-13,1.6,1.6,1.55,1.57,50100
2010-04-14,1.55,1.59,1.54,1.54,40600
2010-04-15,1.57,1.59,1.55,1.57,41200
2010-04-16,1.58,1.58,1.56,1.56,19200
2010-04-19,1.57,1.57,1.53,1.55,39200
2010-04-20,1.55,1.56,1.53,1.54,39500
2010-04-21,1.53,1.57,1.51,1.55,139600
2010-04-22,1.56,1.64,1.56,1.64,161500
2010-04-26,1.64,1.64,1.6,1.6,49900
2010-04-27,1.62,1.67,1.6,1.61,38200
2010-04-28,1.6,1.61,1.57,1.57,59300
2010-04-29,1.6,1.65,1.6,1.64,139400
2010-05-04,1.72,1.74,1.72,1.74,73100
2010-05-05,1.86,1.86,1.76,1.86,232800
2010-05-06,1.88,1.97,1.88,1.97,146300
2010-05-07,2.02,2.09,1.96,2.09,467500
2010-05-10,2.08,2.23,1.95,2.04,193400
2010-05-11,2.09,2.09,1.95,1.95,187400
2010-05-12,1.95,1.95,1.82,1.82,47800
2010-05-13,1.71,1.93,1.71,1.84,266200
2010-05-14,1.85,1.89,1.76,1.88,82100
2010-05-17,1.85,1.9,1.73,1.76,67300
2010-05-18,1.73,1.81,1.71,1.81,67300
2010-05-19,1.69,1.69,1.65,1.65,36800
2010-05-20,1.55,1.68,1.55,1.66,90800
2010-05-21,1.6,1.6,1.5,1.51,94100
2010-05-24,1.59,1.6,1.44,1.58,51300
2010-05-25,1.58,1.62,1.56,1.61,56300
2010-05-26,1.64,1.71,1.64,1.71,57200
2010-05-27,1.68,1.76,1.68,1.76,30800
2010-05-28,1.85,1.86,1.83,1.86,140100
2010-05-31,1.89,1.89,1.73,1.85,99500
2010-06-01,1.83,1.88,1.82,1.88,123200
2010-06-02,1.85,1.93,1.83,1.92,110000
2010-06-03,1.84,1.93,1.82,1.86,124500
2010-06-04,1.81,1.85,1.76,1.76,52800
2010-06-07,1.71,1.73,1.71,1.71,9900
2010-06-08,1.71,1.76,1.64,1.73,24700
2010-06-09,1.74,1.74,1.64,1.73,31800
2010-06-10,1.68,1.69,1.68,1.69,4200
2010-06-11,1.69,1.73,1.65,1.7,10100
2010-06-14,1.68,1.69,1.66,1.69,27800
2010-06-15,1.72,1.72,1.6,1.6,16100
2010-06-16,1.71,1.75,1.69,1.73,25400
2010-06-17,1.76,1.76,1.65,1.72,11600
2010-06-18,1.65,1.71,1.65,1.71,300
2010-06-21,1.64,1.71,1.64,1.68,5000
2010-06-22,1.71,1.71,1.64,1.65,9200
2010-06-23,1.6,1.64,1.6,1.63,10700
