Date,Open,High,Low,Close,Volume
2011-01-03,48.66,49.37,48.55,48.59,2508623
2011-01-04,48.75,48.87,48.11,48.27,3169327
2011-01-05,48.14,48.53,47.68,48.28,3041553
2011-01-06,48.18,48.57,47.88,48.46,3858937
2011-01-07,48.37,48.7,48.04,48.54,2914523
2011-01-10,48.22,48.7,48.09,48.11,3177854
2011-01-11,48.17,48.78,48.09,48.77,3696037
2011-01-12,48.98,49.93,48.95,49.89,5374223
2011-01-13,49.45,49.88,49.23,49.87,4260161
2011-01-14,49.57,50.0,49.55,50.0,3432484
2011-01-18,49.61,50.43,49.46,50.35,3670517
2011-01-19,50.22,50.35,49.81,50.2,4065684
2011-01-20,49.84,51.15,49.81,51.14,5312477
2011-01-21,51.21,51.49,50.96,51.04,4012361
2011-01-24,50.63,51.5,50.63,51.47,2437035
2011-01-25,51.36,51.78,50.86,51.72,3371419
2011-01-26,51.63,52.72,51.63,52.35,5928774
2011-01-27,52.32,52.5,51.69,52.36,4443581
2011-01-28,52.15,52.47,51.38,51.52,2755074
2011-01-31,51.25,51.82,50.86,51.47,2886228
2011-02-01,51.83,52.49,51.68,52.37,3426954
2011-02-02,52.35,52.8,52.22,52.56,2378856
2011-02-03,52.47,52.82,51.94,52.78,2514409
2011-02-04,52.68,52.78,52.43,52.55,1757656
2011-02-07,52.45,52.78,52.42,52.67,2193705
2011-02-08,52.83,52.89,52.45,52.64,2362734
2011-02-09,52.31,52.75,52.22,52.7,2612072
2011-02-10,52.5,53.28,52.46,52.99,2993387
2011-02-11,52.78,52.87,52.23,52.4,2516909
2011-02-14,52.09,52.6,52.0,52.41,2817835
2011-02-15,52.32,52.44,51.96,51.99,2380549
2011-02-16,52.25,53.5,52.06,53.41,2199616
2011-02-17,53.47,54.55,53.35,54.04,3365011
2011-02-18,54.01,54.1,53.52,53.61,2162458
2011-02-22,53.14,53.24,52.28,52.37,2861620
2011-02-23,52.16,52.34,51.25,51.26,2817020
2011-02-24,51.27,51.91,51.2,51.75,2720044
2011-02-25,51.95,52.38,51.76,52.18,1782537
2011-02-28,52.17,52.35,51.35,51.48,2445013
2011-03-01,51.84,52.19,51.09,51.16,3308995
2011-03-02,51.01,51.41,51.0,51.15,2161618
2011-03-03,51.74,53.03,51.6,53.03,3510809
2011-03-04,52.83,53.04,52.48,52.65,2912718
2011-03-07,52.61,53.1,52.13,52.39,2083739
2011-03-08,52.4,52.96,51.97,52.26,3546924
2011-03-09,52.25,52.41,51.66,52.04,3030304
2011-03-10,51.62,51.92,51.37,51.39,2531169
2011-03-11,51.25,51.74,51.02,51.58,1491208
2011-03-14,51.18,51.56,50.9,51.45,1889478
2011-03-15,50.42,50.75,49.62,50.02,3808623
2011-03-16,49.96,50.28,48.72,48.98,3715697
2011-03-17,49.63,49.74,48.9,49.02,3353861
2011-03-18,50.16,50.71,49.95,50.25,6383838
2011-03-21,50.82,50.82,50.18,50.35,4504599
2011-03-22,50.28,50.68,50.25,50.35,3388312
2011-03-23,50.3,50.75,49.94,50.67,2987735
