Date,Open,High,Low,Close,Volume
2011-01-03,26.65,26.72,26.56,26.58,12585390
2011-01-04,26.67,26.68,26.45,26.5,14222288
2011-01-05,26.22,26.27,25.88,26.06,14256888
2011-01-06,26.01,26.15,25.78,25.84,12178915
2011-01-07,25.91,25.96,25.71,25.8,11287598
2011-01-10,25.7,25.82,25.66,25.74,10536853
2011-01-11,25.75,25.76,25.45,25.61,10959059
2011-01-12,25.7,25.95,25.63,25.95,10465040
2011-01-13,25.89,25.95,25.78,25.9,7806761
2011-01-14,25.85,25.92,25.73,25.84,6583364
2011-01-18,25.89,25.89,25.66,25.76,8633419
2011-01-19,25.7,25.85,25.56,25.61,6901056
2011-01-20,25.62,25.91,25.56,25.83,8704328
2011-01-21,25.92,26.09,25.86,26.06,18221102
2011-01-24,26.01,26.13,25.97,26.0,8812439
2011-01-25,25.97,26.05,25.85,26.03,7221348
2011-01-26,26.13,26.17,25.92,25.93,6985132
2011-01-27,25.96,26.6,25.92,26.35,13671223
2011-01-28,26.41,26.44,25.79,25.79,10454404
2011-01-31,25.88,25.9,25.16,25.18,15263919
2011-02-01,25.35,25.44,25.21,25.27,10506225
2011-02-02,25.4,25.41,25.25,25.28,9808134
2011-02-03,25.15,25.67,25.1,25.5,10675028
2011-02-04,25.46,25.76,25.32,25.7,7098068
2011-02-07,25.86,26.05,25.79,25.83,11577084
2011-02-08,25.91,25.97,25.71,25.75,8416184
2011-02-09,25.75,25.84,25.62,25.72,8427483
2011-02-10,25.73,25.75,25.5,25.54,9345801
2011-02-11,25.5,25.5,25.21,25.22,10407627
2011-02-14,25.26,25.6,25.23,25.56,9601144
2011-02-15,25.36,25.61,25.33,25.61,6863831
2011-02-16,25.6,25.74,25.52,25.62,6362286
2011-02-17,25.59,25.79,25.5,25.77,5630004
2011-02-18,25.68,25.72,25.32,25.49,15697851
2011-02-22,25.33,25.51,25.13,25.38,8956769
2011-02-23,25.31,25.45,25.2,25.22,9303389
2011-02-24,25.17,25.47,25.17,25.4,9581861
2011-02-25,25.41,25.52,25.27,25.49,7071484
2011-02-28,25.59,25.82,25.56,25.81,10481076
2011-03-01,25.66,25.84,25.56,25.58,9894605
2011-03-02,25.63,25.64,25.25,25.39,8976369
2011-03-03,25.56,26.22,25.49,26.14,31797769
2011-03-04,26.16,26.43,26.07,26.43,31694735
2011-03-07,26.42,26.5,26.2,26.31,33773727
2011-03-08,26.38,26.53,26.23,26.45,13389683
2011-03-09,26.35,26.45,26.25,26.35,8476781
2011-03-10,26.24,26.39,26.13,26.26,9797160
2011-03-11,26.18,26.43,26.13,26.41,9147755
2011-03-14,26.14,26.37,26.02,26.2,10761376
2011-03-15,25.78,25.88,25.55,25.57,22975574
2011-03-16,25.54,25.54,24.97,24.97,13516919
2011-03-17,25.23,25.53,25.15,25.43,14755683
2011-03-18,25.64,25.83,25.5,25.73,13604560
2011-03-21,25.9,26.18,25.83,26.0,10643158
2011-03-22,26.75,26.9,26.27,26.29,19932671
2011-03-23,26.15,26.29,25.86,26.16,14533307
2011-03-24,26.16,26.52,26.08,26.43,10154172
2011-03-25,26.51,27.96,26.29,27.29,41340004
2011-03-28,27.35,27.38,26.94,26.98,18385354
2011-03-29,27.02,27.09,26.8,26.84,18701279
2011-03-30,26.64,26.82,26.39,26.47,19103199
2011-03-31,26.46,26.68,26.17,26.43,16912953
2011-04-01,26.51,26.66,26.4,26.46,10038546
2011-04-04,26.48,27.0,26.48,26.72,10420363
2011-04-05,26.67,26.92,26.58,26.87,11375085
2011-04-06,26.93,27.29,26.89,27.19,15441126
2011-04-07,27.18,27.25,26.96,27.08,13104020
2011-04-08,27.06,27.55,27.04,27.51,16208774
2011-04-11,27.32,27.66,27.31,27.4,11111645
2011-04-12,27.23,27.62,27.23,27.44,10331864
2011-04-13,27.48,27.5,27.21,27.33,9587684
2011-04-14,27.23,27.72,27.21,27.61,12737449
2011-04-15,27.69,27.97,27.66,27.88,12639206
2011-04-18,27.67,27.68,27.38,27.58,12053859
2011-04-19,27.68,27.82,27.36,27.45,9691714
2011-04-20,27.65,27.82,27.56,27.7,10387353
2011-04-21,27.65,27.95,27.62,27.82,8864201
2011-04-22,27.65,27.95,27.62,27.82,8864201
2011-04-25,27.68,27.86,27.61,27.74,5922751
2011-04-26,27.82,28.17,27.82,28.12,11163226
2011-04-27,28.11,28.44,28.11,28.28,11755425
2011-04-28,28.43,28.5,28.15,28.29,11381958
2011-04-29,28.34,28.39,27.9,28.1,8462185
2011-05-02,28.24,28.57,28.23,28.45,10280660
2011-05-03,28.5,28.95,28.46,28.83,23061843
2011-05-04,28.65,28.79,28.41,28.71,11827517
2011-05-05,28.65,28.79,28.41,28.71,11827517
2011-05-06,28.63,28.8,28.54,28.64,8435948
2011-05-09,28.66,28.8,28.41,28.72,7201152
2011-05-10,28.74,28.82,28.46,28.81,8037681
2011-05-11,28.54,28.88,28.53,28.76,10335112
2011-05-12,28.7,28.96,28.51,28.91,9954876
2011-05-13,28.82,28.99,28.69,28.81,9671386
2011-05-16,28.82,28.97,28.74,28.79,6791344
2011-05-17,28.67,28.7,28.29,28.65,11516283
2011-05-18,28.61,28.86,28.45,28.86,9408554
2011-05-19,28.9,28.9,28.43,28.6,8897911
2011-05-20,28.48,28.54,28.12,28.37,10221099
