Date,Open,High,Low,Close,Volume
2011-01-03,62.73,62.83,62.09,62.24,1817951
2011-01-04,62.11,62.67,61.94,62.2,1598677
2011-01-05,62.01,62.48,61.8,61.99,1870739
2011-01-06,61.86,62.06,61.6,61.72,1434665
2011-01-07,61.53,61.83,60.83,61.26,1424429
2011-01-10,60.95,61.25,60.24,60.46,1561647
2011-01-11,60.69,61.23,60.52,60.74,1400817
2011-01-12,61.06,61.6,60.76,60.85,1563353
2011-01-13,60.75,60.89,60.46,60.87,1152048
2011-01-14,60.73,60.9,60.41,60.79,1972782
2011-01-18,60.87,61.04,60.6,60.66,2006848
2011-01-19,60.63,60.79,60.23,60.57,1409900
2011-01-20,60.35,61.12,60.35,60.71,1448751
2011-01-21,60.0,60.51,59.55,60.51,2027872
2011-01-24,60.37,60.85,60.16,60.7,1899053
2011-01-25,60.77,62.3,60.46,62.13,2778599
2011-01-26,62.28,62.68,61.93,62.45,1299304
2011-01-27,62.65,63.29,62.19,63.19,1611580
2011-01-28,63.18,63.29,61.11,61.17,2100984
2011-01-31,61.79,62.24,61.33,61.59,1688021
2011-02-01,62.2,62.42,61.4,62.16,1953951
2011-02-02,62.03,62.71,61.93,62.5,1983331
2011-02-03,61.98,63.35,61.63,63.29,2247457
2011-02-04,63.2,63.45,62.87,63.06,1328925
2011-02-07,62.68,63.27,62.68,62.83,1677477
2011-02-08,62.96,64.29,62.83,64.27,1935469
2011-02-09,63.94,64.44,63.62,64.08,1735307
2011-02-10,63.77,64.05,63.41,63.75,1110019
2011-02-11,63.63,63.7,63.25,63.44,1424211
2011-02-14,63.25,63.52,62.23,62.5,2090135
2011-02-15,62.32,62.85,62.0,62.38,1580454
2011-02-16,62.46,63.1,62.16,62.88,1159988
2011-02-17,62.67,63.65,62.67,63.34,1362100
2011-02-18,63.62,65.79,63.2,65.74,3593106
2011-02-22,65.03,65.7,63.96,64.84,4117242
2011-02-23,64.64,64.99,64.14,64.29,3786978
2011-02-24,64.02,64.25,61.73,62.64,3913950
2011-02-25,62.77,63.46,62.45,63.28,1736270
2011-02-28,63.24,63.54,62.89,63.25,1975584
2011-03-01,63.25,63.33,62.57,62.58,2804192
2011-03-02,62.41,62.41,61.35,61.53,2145210
2011-03-03,62.06,63.29,62.0,62.74,3077605
2011-03-04,62.62,62.74,61.93,62.69,2489314
2011-03-07,62.6,62.66,61.88,62.11,2045001
2011-03-08,62.32,63.03,62.22,62.59,1442337
2011-03-09,62.35,62.5,61.94,62.28,857141
2011-03-10,61.75,61.97,61.02,61.05,1793426
2011-03-11,60.64,61.52,59.55,61.39,1791380
2011-03-14,60.75,61.65,60.74,61.09,1324161
2011-03-15,59.7,60.48,59.55,60.15,1843960
2011-03-16,59.99,60.98,59.86,60.29,3554824
2011-03-17,60.86,61.22,60.42,60.81,2112657
2011-03-18,61.29,61.91,60.72,60.83,2495233
2011-03-21,61.39,62.13,61.15,62.09,1940668
2011-03-22,62.02,62.5,61.73,61.75,2741696
2011-03-23,61.56,62.01,61.0,61.75,1703209
2011-03-24,62.0,62.19,61.47,62.14,1569977
2011-03-25,62.3,62.79,61.73,62.37,1852702
2011-03-28,62.54,63.53,62.15,63.19,1739315
2011-03-29,63.41,64.24,63.05,64.01,2000244
2011-03-30,64.23,64.24,63.75,64.17,1754373
2011-03-31,63.8,65.24,63.74,64.7,4068306
2011-04-01,65.1,65.88,64.9,65.84,2313328
2011-04-04,66.0,67.37,66.0,66.96,3240753
2011-04-05,66.38,67.16,66.06,66.43,3052932
2011-04-06,66.64,66.78,66.1,66.48,2078428
2011-04-07,66.14,66.67,65.7,65.81,1967510
2011-04-08,66.05,66.24,65.52,65.79,1629808
2011-04-11,65.72,66.65,65.72,66.62,2040003
2011-04-12,66.17,66.92,66.0,66.61,2736385
2011-04-13,66.79,66.85,66.24,66.4,2349218
2011-04-14,66.0,66.57,65.68,66.2,3528508
2011-04-15,65.88,66.12,65.68,65.88,3500391
2011-04-18,65.14,65.25,64.33,64.85,2509072
2011-04-19,65.08,65.1,64.12,64.48,1886004
2011-04-20,65.03,65.19,64.1,64.32,2466974
2011-04-21,64.82,65.54,64.55,65.32,2016811
2011-04-22,64.82,65.54,64.55,65.32,2016811
2011-04-25,65.17,65.56,64.9,65.45,1458706
2011-04-26,65.3,65.75,65.23,65.37,1688056
2011-04-27,65.66,66.42,65.44,66.19,2094060
2011-04-28,66.32,67.37,66.19,67.28,2441983
2011-04-29,67.29,67.82,67.16,67.25,2458572
2011-05-02,67.74,67.81,66.64,66.8,1777014
2011-05-03,66.57,67.55,66.55,67.51,1621707
2011-05-04,67.66,67.77,66.25,66.47,1872258
2011-05-05,67.66,67.77,66.25,66.47,1872258
2011-05-06,67.37,67.86,66.98,67.24,1601305
2011-05-09,67.3,67.5,66.68,67.36,1387945
2011-05-10,67.48,68.47,67.25,68.45,1678247
2011-05-11,68.14,68.67,67.54,67.91,1749921
2011-05-12,67.53,68.58,67.34,68.49,1379069
2011-05-13,68.41,68.73,67.65,67.8,1240022
2011-05-16,67.63,68.31,67.34,67.63,1164013
2011-05-17,67.54,68.67,66.99,68.59,1817463
2011-05-18,68.54,69.35,68.38,69.35,1765616
2011-05-19,69.83,69.83,68.85,69.2,1809548
2011-05-20,69.16,69.27,68.57,68.61,1519460
2011-05-23,68.02,68.37,67.82,67.89,1360508
2011-05-24,67.93,68.14,67.55,67.78,2101613
2011-05-25,67.62,67.96,67.24,67.62,1588248
2011-05-26,67.33,67.82,67.1,67.65,1775448
2011-05-27,67.92,68.64,67.72,68.58,2432715
2011-05-31,69.14,69.23,68.63,68.82,2106725
2011-06-01,68.72,69.26,67.85,67.96,2676087
2011-06-02,67.87,68.44,67.64,68.35,1181236
2011-06-03,67.62,68.71,67.5,68.1,1756545
2011-06-06,67.96,68.4,67.08,67.24,1421499
2011-06-07,67.53,67.92,67.27,67.31,1386418
2011-06-08,67.3,67.32,66.24,66.28,1917469
2011-06-09,66.43,66.97,65.91,66.83,1219764
2011-06-10,66.43,66.46,65.59,65.99,1919511
2011-06-13,66.2,66.23,65.53,65.74,1591199
2011-06-14,66.2,66.2,65.35,65.74,2028453
2011-06-15,65.32,65.39,64.11,64.25,2679779
2011-06-16,64.17,65.12,64.17,64.76,2385053
2011-06-17,65.07,65.41,64.23,64.31,2803037
2011-06-20,64.01,64.75,63.5,64.49,2048360
2011-06-21,64.78,65.24,64.3,64.85,2292715
2011-06-22,64.64,65.4,64.62,64.79,1798623
2011-06-23,64.13,64.68,63.5,64.48,1519644
2011-06-24,64.42,64.57,63.77,63.95,2049251
2011-06-27,63.82,65.08,63.82,64.73,1213570
2011-06-28,64.67,64.82,64.43,64.71,1737285
2011-06-29,65.05,66.14,64.95,66.08,2331489
2011-06-30,66.24,66.25,65.54,65.82,1529205
2011-07-01,65.68,66.35,65.61,66.26,1856726
2011-07-05,66.26,66.28,65.15,65.3,1646040
2011-07-06,65.3,65.4,64.92,65.29,1147266
2011-07-07,65.89,66.21,65.45,66.16,1023830
2011-07-08,65.46,65.74,65.0,65.64,1277409
2011-07-11,64.83,65.17,64.37,64.49,1085492
2011-07-12,64.25,65.63,64.1,64.82,2006462
2011-07-13,64.94,65.72,64.86,65.02,1219125
2011-07-14,65.32,65.52,64.68,64.77,1656721
2011-07-15,64.8,64.96,63.94,64.57,1373505
2011-07-18,64.41,64.41,63.5,63.69,2104523
2011-07-19,63.87,64.01,63.35,63.87,1592361
2011-07-20,63.93,63.99,63.37,63.73,1171434
2011-07-21,64.17,65.64,64.12,65.26,2193915
2011-07-22,66.25,66.25,65.29,65.78,1169187
2011-07-25,65.04,65.82,64.92,65.49,1348637
2011-07-26,65.36,66.5,65.27,65.88,2026813
2011-07-27,67.5,68.68,67.45,68.38,5591863
2011-07-28,67.84,69.13,67.0,67.13,2796090
2011-07-29,66.97,67.33,66.47,66.98,2522450
2011-08-01,67.71,67.87,65.8,66.21,1960298
2011-08-02,65.96,67.07,65.88,66.5,3928685
2011-08-03,66.4,67.0,66.05,66.89,2932554
2011-08-04,65.08,66.06,64.1,64.15,3979760
2011-08-05,65.1,65.13,62.44,63.18,4215597
2011-08-08,61.8,62.38,58.94,58.98,5876454
2011-08-09,60.16,63.33,59.1,63.25,4493395
2011-08-10,62.2,62.26,59.17,59.35,3722394
2011-08-11,60.02,64.4,59.5,63.42,5465571
2011-08-12,63.78,63.78,62.12,62.73,2438330
2011-08-15,63.32,64.21,63.05,64.19,1739998
2011-08-16,63.3,63.59,62.72,63.3,2264030
2011-08-17,63.56,64.09,63.42,63.94,1581363
2011-08-18,62.1,62.72,60.72,61.07,3289593
2011-08-19,60.48,61.06,59.88,59.98,4759984
2011-08-22,61.42,61.68,59.78,59.9,2565483
2011-08-23,60.0,61.97,59.74,61.97,2577220
2011-08-24,61.82,63.12,61.53,62.59,2510366
2011-08-25,63.32,63.69,60.96,61.39,2789030
2011-08-26,61.05,62.68,59.5,62.4,2444500
2011-08-29,63.22,64.72,63.18,64.71,2694612
2011-08-30,64.46,64.75,63.78,64.16,1551758
2011-08-31,64.63,64.83,64.01,64.58,1654950
2011-09-01,64.44,64.85,63.63,63.72,1591636
2011-09-02,62.51,63.81,62.18,62.22,1984782
2011-09-06,60.44,61.67,60.21,61.49,1759825
2011-09-07,62.46,64.24,62.17,64.19,1786930
2011-09-08,63.56,64.49,63.26,63.85,1574487
2011-09-09,63.07,63.49,61.55,61.6,2988570
2011-09-12,60.85,61.88,60.21,61.85,2245333
2011-09-13,62.06,62.29,61.02,61.53,1406777
