Date,Open,High,Low,Close,Volume
2011-01-03,323.0,323.43,315.24,316.44,737608
2011-01-04,315.98,318.28,315.01,316.99,545525
2011-01-05,314.03,317.21,310.34,311.36,699367
2011-01-06,312.0,316.58,306.74,313.64,584161
2011-01-07,312.15,312.22,304.15,307.66,612747
2011-01-10,311.02,318.37,310.39,314.87,765958
2011-01-11,315.01,317.5,309.06,310.84,415165
2011-01-12,313.18,315.83,311.32,314.93,362538
2011-01-13,315.35,315.35,310.19,313.6,361720
2011-01-14,313.61,317.72,313.01,316.96,436291
2011-01-18,317.17,317.9,313.24,314.0,331379
2011-01-19,313.27,314.0,305.33,306.26,439185
2011-01-20,306.84,312.14,305.34,309.21,293785
2011-01-21,311.31,314.34,308.27,309.87,353531
2011-01-24,309.0,310.99,307.88,309.55,285894
2011-01-25,308.04,309.46,301.22,306.9,632051
2011-01-26,307.2,308.73,304.5,305.58,453128
2011-01-27,305.91,311.0,305.72,309.88,438547
2011-01-28,309.7,312.5,303.5,304.89,420746
2011-01-31,304.89,311.47,304.77,308.56,385535
2011-02-01,309.75,317.37,309.34,315.93,543617
2011-02-02,315.01,317.27,313.4,315.14,541167
2011-02-03,305.47,306.84,297.36,300.86,1552495
2011-02-04,300.86,307.83,300.5,304.18,933245
2011-02-07,306.06,306.16,301.5,303.68,489661
2011-02-08,303.81,304.6,299.66,301.04,583715
2011-02-09,299.72,309.67,299.72,302.51,837773
2011-02-10,302.18,308.31,301.99,307.72,548602
2011-02-11,306.64,311.47,306.13,308.76,589645
2011-02-14,308.28,311.5,301.97,302.57,885527
2011-02-15,302.34,303.92,290.5,291.33,2615604
2011-02-16,293.38,297.34,292.18,293.68,1050069
2011-02-17,292.82,303.96,292.82,302.6,1135072
2011-02-18,303.09,306.85,300.54,302.84,685234
2011-02-22,300.72,305.45,297.61,300.08,697400
2011-02-23,300.0,304.39,297.01,301.4,622036
2011-02-24,301.22,306.2,299.91,304.56,468618
2011-02-25,305.37,314.41,304.61,313.55,673200
2011-02-28,314.74,316.68,311.18,311.28,638192
2011-03-01,311.46,312.09,303.67,306.5,609648
2011-03-02,305.14,308.9,303.88,304.04,440393
2011-03-03,306.89,311.55,306.01,308.14,469932
2011-03-04,308.37,310.38,302.0,304.8,377005
2011-03-07,306.54,310.43,303.04,303.87,651135
2011-03-08,304.85,305.45,301.66,303.51,404556
