Date,Open,High,Low,Close,Volume
2011-01-03,20.47,20.62,20.38,20.49,54310117
2011-01-04,20.56,20.6,20.4,20.52,46273788
2011-01-05,20.57,20.85,20.53,20.77,69378545
2011-01-06,20.9,20.96,20.76,20.95,65845317
2011-01-07,20.85,21.0,20.83,20.97,67738111
2011-01-10,20.94,20.95,20.7,20.79,40679682
2011-01-11,20.9,20.96,20.79,20.88,38352360
2011-01-12,21.01,21.14,20.96,21.12,40646018
2011-01-13,21.17,21.23,21.01,21.08,35030203
2011-01-14,21.11,21.24,21.06,21.21,35176357
2011-01-18,21.25,21.33,21.21,21.22,46668310
2011-01-19,21.31,21.33,20.7,20.82,53574597
2011-01-20,20.61,20.91,20.5,20.77,53291633
2011-01-21,20.98,20.98,20.68,20.73,40172323
2011-01-24,20.83,21.18,20.73,21.17,44068334
2011-01-25,21.17,21.57,21.08,21.54,72726380
2011-01-26,21.48,21.61,21.26,21.42,65524948
2011-01-27,21.37,21.49,21.26,21.44,36827190
2011-01-28,21.49,21.57,20.86,20.93,46540420
2011-01-31,20.94,21.18,20.71,21.15,40353660
2011-02-01,21.3,21.56,21.26,21.47,40519766
2011-02-02,21.5,21.69,21.42,21.62,41287380
2011-02-03,21.7,21.97,21.65,21.91,54001956
2011-02-04,21.93,22.15,21.81,22.05,60134728
2011-02-07,22.09,22.34,22.03,22.03,52408390
2011-02-08,21.93,22.01,21.71,21.99,73162835
2011-02-09,21.9,22.15,21.9,22.04,125425536
2011-02-10,19.68,19.7,18.79,18.92,560038939
2011-02-11,19.13,19.14,18.61,18.7,189326315
2011-02-14,18.85,18.95,18.68,18.81,109308307
2011-02-15,18.91,18.92,18.63,18.67,90320436
2011-02-16,18.75,18.79,18.56,18.58,101531791
2011-02-17,18.62,18.76,18.58,18.68,89097589
2011-02-18,18.75,19.02,18.68,18.85,90035781
2011-02-22,18.71,18.74,18.55,18.59,74954416
2011-02-23,18.56,18.66,18.29,18.4,89184620
2011-02-24,18.38,18.51,18.23,18.36,71863619
2011-02-25,18.5,18.7,18.47,18.64,49209546
2011-02-28,18.64,18.75,18.51,18.56,62256274
2011-03-01,18.7,18.79,18.5,18.56,61976873
2011-03-02,18.5,18.62,18.44,18.5,63392601
2011-03-03,18.64,18.65,18.5,18.53,57031268
2011-03-04,18.53,18.59,18.31,18.4,57402965
2011-03-07,18.35,18.37,18.03,18.2,70862459
2011-03-08,18.17,18.3,18.02,18.22,54964242
2011-03-09,18.11,18.2,18.02,18.12,53213764
2011-03-10,18.02,18.07,17.9,17.92,63914609
2011-03-11,17.81,18.01,17.76,17.95,68254368
2011-03-14,17.8,17.88,17.74,17.85,45149943
2011-03-15,17.31,17.48,17.25,17.39,97003673
2011-03-16,17.31,17.57,17.01,17.05,93486561
2011-03-17,17.13,17.2,16.97,17.0,83343474
2011-03-18,17.35,17.42,17.07,17.14,125170907
2011-03-21,17.35,17.55,17.3,17.39,57429369
2011-03-22,17.43,17.61,17.29,17.45,63936008
2011-03-23,17.42,17.6,17.34,17.58,52156908
2011-03-24,17.6,17.64,17.35,17.36,57829006
2011-03-25,17.38,17.41,17.2,17.28,53222852
2011-03-28,17.36,17.54,17.17,17.19,63408295
2011-03-29,17.21,17.45,17.19,17.44,57191828
2011-03-30,17.58,17.6,17.3,17.33,60260839
2011-03-31,17.32,17.45,17.15,17.15,65036578
2011-04-01,17.29,17.3,16.99,17.04,62747101
2011-04-04,17.02,17.14,17.0,17.06,57644273
2011-04-05,17.14,17.49,17.12,17.22,103519787
2011-04-06,17.45,18.19,17.38,18.07,176814153
2011-04-07,18.18,18.29,17.72,17.91,119269194
2011-04-08,17.98,17.99,17.53,17.65,82734604
2011-04-11,17.7,17.76,17.36,17.47,56427828
2011-04-12,17.5,17.58,17.36,17.44,65895068
2011-04-13,17.49,17.5,17.22,17.25,60956267
2011-04-14,17.15,17.22,17.05,17.17,58256338
2011-04-15,17.18,17.3,16.97,17.03,82667624
2011-04-18,16.89,16.9,16.59,16.73,86550320
2011-04-19,16.67,16.76,16.52,16.61,76497993
2011-04-20,16.9,16.96,16.79,16.93,86372585
2011-04-21,16.93,16.99,16.86,16.94,57013357
2011-04-22,16.93,16.99,16.86,16.94,57013357
2011-04-25,16.94,17.16,16.9,17.1,42745359
2011-04-26,17.2,17.64,17.14,17.52,81649533
2011-04-27,17.63,17.64,17.08,17.19,97724097
2011-04-28,17.2,17.38,17.18,17.29,52918574
2011-04-29,17.34,17.56,17.26,17.52,137455282
2011-05-02,17.54,17.6,17.39,17.58,46838717
2011-05-03,17.49,17.57,17.29,17.41,56884525
