Date,Open,High,Low,Close,Volume
2018-11-02,267.48,275.28,266.21,268.0,1430850
2018-11-05,268.96,271.5,268.08,269.18,1066195
2019-06-13,281.2,285.3,280.76,285.1,1073859
2022-07-05,481.56,481.56,461.9,476.94,1043099
2022-07-06,476.36,486.58,473.08,484.27,803741
2022-07-07,483.0,486.82,477.22,478.83,857440
2022-07-08,483.59,491.08,480.97,484.29,751418
2022-07-11,480.2,485.7,477.29,481.62,629533
2022-07-12,480.53,486.0,475.08,477.97,801637
2022-07-13,473.35,477.62,470.34,470.71,802151
2022-07-14,464.81,467.88,458.01,466.39,861381
2022-07-15,478.16,490.48,474.99,488.92,1035395
2022-07-18,491.0,491.94,479.68,480.8,687917
2022-07-19,486.16,499.33,485.51,497.43,933082
2022-07-20,482.0,487.0,451.37,459.54,2653661
2022-07-21,458.58,464.86,451.58,461.94,1547210
2022-07-22,461.9,464.46,455.74,459.6,1008354
2022-07-25,464.69,474.37,462.33,470.86,861455
2022-07-26,474.53,475.33,468.45,468.96,818103
2022-07-27,467.22,470.37,459.55,468.0,1122804
2022-07-28,469.39,477.35,465.23,475.73,835980
2022-07-29,475.89,479.96,471.24,477.1,885146
2022-08-01,475.0,483.72,465.55,470.9,837644
2022-08-02,472.08,479.95,465.54,472.14,1164579
2022-08-03,475.42,483.77,473.3,479.53,810242
2022-08-04,479.91,479.91,473.74,474.9,614964
2022-08-05,470.83,476.99,470.83,475.13,624530
2022-08-08,478.3,479.62,472.15,475.72,479071
2022-08-09,479.25,488.99,477.03,483.97,798756
2022-08-10,488.84,489.87,479.96,481.33,619840
2022-08-11,481.62,483.56,474.21,477.11,894731
2022-08-12,480.0,492.6,479.67,491.7,801333
2022-08-15,488.95,495.7,486.5,493.22,429884
2022-08-16,493.15,498.18,489.17,492.28,567182
2022-08-17,487.69,492.96,486.63,490.85,459945
2022-08-18,489.56,493.2,487.82,491.77,407719
2022-08-19,492.22,506.79,491.63,503.54,711988
2022-08-22,505.25,512.99,503.84,507.0,972273
2022-08-23,501.83,504.18,493.01,493.23,577769
2022-08-24,492.53,495.53,489.03,493.4,664541
2022-08-25,490.13,492.43,482.31,492.34,714307
2022-08-26,492.05,494.73,483.08,483.48,619654
2022-08-29,481.13,490.85,478.81,488.51,602306
2022-08-30,488.27,492.15,483.92,486.85,984255
2022-08-31,484.83,492.62,484.83,485.11,1350626
2022-09-01,487.85,494.9,483.87,490.17,712258
2022-09-02,492.89,494.57,479.67,481.99,741113
2022-09-06,481.15,487.29,476.06,477.0,1013920
2022-09-07,476.91,486.97,474.54,485.02,795808
2022-09-08,482.54,489.63,482.54,489.35,521983
2022-09-09,496.91,499.39,492.52,493.6,958503
2022-09-12,493.32,498.42,490.25,493.66,883452
2022-09-13,487.68,489.39,478.91,480.56,864784
2022-09-14,482.0,482.47,467.56,470.11,1152117
2022-09-15,475.5,488.37,473.02,485.33,736475
2022-09-16,482.18,484.9,473.45,480.23,1112891
2022-09-19,477.89,482.0,470.78,479.99,648578
2022-09-20,478.39,478.39,469.15,475.47,794012
2022-09-21,479.1,483.96,465.44,465.74,725993
2022-09-22,462.31,465.92,457.45,462.88,873251
2022-09-23,458.01,458.01,446.0,453.85,850505
2022-09-26,447.37,453.21,441.52,448.14,827701
2022-09-27,453.16,455.56,443.85,445.98,902767
2022-09-28,449.73,455.84,440.02,453.1,1120052
2022-09-29,453.83,458.79,448.18,456.79,1070396
2022-09-30,456.76,470.61,454.24,454.24,1120562
2022-10-03,455.1,471.34,453.9,470.06,908404
2022-10-04,472.34,481.56,469.75,479.23,946193
2022-10-05,478.59,481.15,472.02,478.8,855760
2022-10-06,478.26,481.36,476.08,477.95,822097
2022-10-07,474.0,474.0,464.76,467.06,708083
2022-10-10,468.8,470.69,460.87,467.15,784807
2022-10-11,466.25,477.54,464.02,470.73,751386
2022-10-12,471.13,474.88,465.02,465.23,706880
2022-10-13,457.46,477.97,455.67,474.14,1087878
2022-10-14,478.0,482.0,469.66,470.77,872428
2022-10-17,474.89,479.79,472.16,477.08,868683
2022-10-18,485.56,485.56,474.63,478.27,1291811
2022-10-19,487.39,493.5,477.49,487.81,1416301
2022-10-20,490.99,509.33,489.32,502.22,1946524
2022-10-21,503.23,522.28,502.88,511.04,1581762
2022-10-24,515.24,528.99,514.58,526.5,1502614
2022-10-25,524.31,529.25,518.25,523.95,1411394
2022-10-26,528.63,540.34,527.04,533.57,1278598
2022-10-27,534.06,536.34,528.87,531.62,904621
2022-10-28,536.17,545.18,529.68,543.65,777225
2022-10-31,539.53,549.52,538.9,546.77,1131704
2022-11-01,545.0,548.05,538.16,544.53,918533
2022-11-02,542.34,547.74,537.86,538.12,1053628
2022-11-03,536.57,540.27,532.06,533.86,735014
2022-11-04,532.66,536.96,519.61,526.66,1109102
2022-11-07,517.57,531.23,517.48,528.46,1041929
2022-11-08,532.32,537.37,524.57,530.31,1262124
2022-11-09,527.38,532.11,519.48,520.0,873522
2022-11-10,530.56,533.0,509.88,521.88,969482
2022-11-11,518.93,519.45,480.65,491.36,2411501
2022-11-14,494.82,499.51,490.31,490.8,1344514
2022-11-15,493.58,494.35,477.92,479.01,1922502
2022-11-16,481.6,488.58,474.5,476.14,1862088
2022-11-17,474.56,485.63,474.25,477.01,1868390
2022-11-18,483.49,497.24,481.19,495.32,1585886
2022-11-21,494.79,502.67,494.03,499.91,1460466
2022-11-22,504.3,508.67,504.26,505.06,955552
2022-11-23,506.22,511.83,506.06,507.16,656499
2022-11-25,509.67,514.73,508.36,513.86,464048
2022-11-28,510.97,516.58,510.67,512.78,722452
2022-11-29,513.86,517.55,511.1,515.36,894344
2022-11-30,516.83,533.23,514.26,532.92,2586453
2022-12-01,535.47,537.08,524.12,525.25,900743
2022-12-02,522.28,527.74,521.77,523.6,630287
2022-12-05,517.25,525.59,517.05,522.34,714111
2022-12-06,523.45,530.26,523.34,528.4,1380623
2022-12-07,528.6,534.82,528.21,529.9,1634326
2022-12-08,531.86,533.71,528.05,529.12,604502
2022-12-09,529.11,532.08,524.0,524.92,873250
2022-12-12,526.79,534.5,525.52,534.18,769513
2022-12-13,539.98,544.01,517.82,519.32,1059362
2022-12-14,521.16,523.11,514.74,520.15,874362
2022-12-15,516.14,516.17,505.9,508.98,1250238
2022-12-16,504.46,506.56,491.5,502.05,2903792
2022-12-19,501.72,507.53,499.16,502.89,783041
2022-12-20,505.14,506.12,499.83,504.65,674973
2022-12-21,507.97,511.28,495.26,510.84,721345
2022-12-22,511.96,514.1,504.83,510.06,652403
2022-12-23,510.0,514.93,506.26,514.29,710991
2022-12-27,516.8,520.0,513.57,514.21,641532
2022-12-28,516.92,521.86,511.45,512.68,576877
2022-12-29,515.58,515.58,511.29,512.88,301746
2022-12-30,512.95,514.06,508.46,512.97,468241
2023-01-03,508.68,511.97,493.53,502.2,1075617
2023-01-04,502.33,505.0,483.7,485.44,1632492
2023-01-05,484.99,484.99,471.03,473.0,1845502
2023-01-06,474.73,477.93,464.64,475.48,2329434
2023-01-09,476.96,482.79,469.69,470.71,1254681
2023-01-10,472.23,473.96,467.98,470.68,855297
2023-01-11,470.67,483.52,470.67,480.54,1240233
2023-01-12,478.11,483.91,474.57,477.08,1386602
2023-01-13,473.17,489.62,471.45,483.0,1007919
2023-01-17,484.25,488.0,479.36,480.96,967802
2023-01-18,481.98,486.32,471.1,471.71,1003603
2023-01-19,475.36,482.0,473.61,480.22,941039
2023-01-20,480.6,482.0,472.69,479.49,987615
2023-01-23,480.89,484.25,476.67,477.94,926235
2023-01-24,479.9,482.0,474.75,478.52,1269728
2023-01-25,483.0,499.88,480.45,495.59,2059549
2023-01-26,499.87,504.78,490.08,502.19,1267934
2023-01-27,503.18,504.49,489.13,492.53,1145335
2023-01-30,491.81,496.68,488.62,489.08,818109
2023-01-31,492.0,508.78,490.5,499.99,1293885
2023-02-01,499.01,503.71,493.33,498.77,1242550
2023-02-02,491.83,493.68,472.95,480.41,1704755
2023-02-03,481.19,487.24,476.44,477.71,1171978
2023-02-06,480.5,484.23,477.71,478.67,977723
2023-02-07,475.6,478.03,470.28,477.87,1007775
2023-02-08,476.43,485.2,475.01,483.54,1010643
2023-02-09,484.8,488.25,482.38,485.6,948054
2023-02-10,488.38,493.72,488.09,490.78,656588
2023-02-13,490.68,501.78,490.68,495.21,880839
2023-02-14,497.37,500.0,490.19,491.48,670301
2023-02-15,485.77,491.02,485.11,487.13,769407
2023-02-16,486.95,492.01,485.93,486.99,640084
2023-02-17,486.74,495.48,485.01,495.04,798725
2023-02-21,494.1,497.27,477.8,478.82,1422118
2023-02-22,481.15,485.78,478.21,483.82,782960
2023-02-23,484.59,492.09,482.85,486.12,766502
2023-02-24,485.43,485.71,476.11,478.03,1145354
2023-02-27,481.99,482.96,474.86,476.3,947526
