Date,Open,High,Low,Close,Volume
2011-01-03,92.45,93.5,92.27,92.35,1750324
2011-01-04,93.08,93.28,91.39,92.14,2062631
2011-01-05,91.26,92.99,90.84,92.33,1736227
2011-01-06,93.35,94.43,92.3,92.82,2589199
2011-01-07,93.26,94.35,92.91,94.26,2415086
2011-01-10,94.15,95.0,93.82,94.95,2574786
2011-01-11,95.44,96.87,94.78,96.73,2919266
2011-01-12,97.49,99.32,96.93,98.49,2588391
2011-01-13,98.23,98.58,97.04,97.86,1668126
2011-01-14,97.8,100.71,97.25,100.58,2180554
2011-01-18,100.83,103.21,100.33,102.88,3007291
2011-01-19,102.85,103.0,100.77,101.44,2898114
2011-01-20,99.78,101.49,99.23,101.36,2445782
2011-01-21,101.99,102.58,100.5,101.72,2405969
2011-01-24,101.35,102.13,100.61,101.73,1642228
2011-01-25,101.58,101.58,98.94,99.87,1973754
2011-01-26,100.38,102.94,100.25,102.28,2319180
2011-01-27,101.91,104.14,101.73,103.25,2591077
2011-01-28,103.37,105.15,102.17,102.53,2829304
2011-01-31,102.74,106.58,102.74,106.39,2308001
2011-02-01,106.72,108.27,105.85,107.38,2263920
2011-02-02,107.01,108.29,106.34,107.24,1494763
2011-02-03,106.89,107.24,105.62,107.05,974487
2011-02-04,107.3,107.49,105.71,106.78,1654132
2011-02-07,107.36,108.47,105.44,105.59,1741725
2011-02-08,105.82,105.82,103.55,104.76,2115933
2011-02-09,104.3,105.32,102.76,103.95,1704065
2011-02-10,103.47,104.69,103.09,104.24,1822769
2011-02-11,103.83,104.51,103.05,103.3,1520140
2011-02-14,103.35,106.53,103.35,104.9,2121568
2011-02-15,104.79,106.19,103.16,103.55,2115916
2011-02-16,104.07,105.35,102.94,102.99,2324135
2011-02-17,103.28,104.58,102.34,104.22,3064115
2011-02-18,106.84,109.8,106.81,108.89,3826021
2011-02-22,109.86,111.63,108.09,108.32,2898879
2011-02-23,108.51,114.74,108.51,114.39,4150628
2011-02-24,114.59,115.17,109.8,110.17,3623460
2011-02-25,110.7,112.49,110.04,111.75,1651015
2011-02-28,112.09,113.24,111.55,112.31,1751690
2011-03-01,109.5,112.19,107.87,107.93,4546092
2011-03-02,105.85,108.95,104.38,108.69,7781715
2011-03-03,109.31,111.27,107.98,111.09,3034842
2011-03-04,110.81,111.58,108.39,109.38,2175249
2011-03-07,110.24,111.39,108.18,108.58,1858946
2011-03-08,108.54,108.9,106.07,106.2,1746972
2011-03-09,106.14,107.63,105.2,105.8,1736603
2011-03-10,104.53,104.53,102.41,102.83,2631229
2011-03-11,102.61,106.55,102.0,105.65,1886022
2011-03-14,105.07,107.1,104.13,106.53,1976311
2011-03-15,103.28,106.48,102.65,105.44,2427020
2011-03-16,105.8,107.51,103.07,104.49,2537649
2011-03-17,106.77,109.16,105.87,108.68,2100909
2011-03-18,109.76,110.45,107.04,107.93,2969836
2011-03-21,109.49,111.46,109.0,111.4,2263347
2011-03-22,112.34,114.43,112.01,113.36,3279913
2011-03-23,113.43,114.07,112.0,114.07,4043789
2011-03-24,114.91,115.7,113.02,115.55,2879322
2011-03-25,115.82,118.13,114.76,117.54,2581453
2011-03-28,116.77,119.71,116.34,118.44,3105102
2011-03-29,117.51,119.76,115.8,119.67,3033079
2011-03-30,120.3,121.44,118.36,119.19,3605383
2011-03-31,119.24,120.1,118.42,118.51,2845019
2011-04-01,119.17,119.3,117.82,118.39,4159816
2011-04-04,118.9,119.82,118.07,118.37,1913820
2011-04-05,118.04,118.74,116.63,116.92,1931435
2011-04-06,117.73,117.96,114.76,114.81,2033997
2011-04-07,114.53,115.68,112.76,114.66,2209426
2011-04-08,115.46,116.39,113.8,114.66,1719727
2011-04-11,114.56,114.98,111.86,112.67,1436063
2011-04-12,111.53,111.53,108.16,109.23,2775441
2011-04-13,110.09,112.19,109.64,110.61,1941731
2011-04-14,109.7,111.29,108.7,110.72,1816620
2011-04-15,110.85,111.87,109.56,111.04,1746306
2011-04-18,109.71,110.4,107.84,109.87,1728714
2011-04-19,109.91,110.39,108.49,109.47,1533882
2011-04-20,111.33,112.01,110.45,111.82,1807238
2011-04-21,111.33,112.28,110.6,111.87,1026543
2011-04-22,111.33,112.28,110.6,111.87,1026543
2011-04-25,111.99,112.19,109.73,110.34,967836
2011-04-26,110.74,111.77,109.98,111.72,1081957
2011-04-27,112.01,112.2,109.19,111.76,1250446
2011-04-28,111.61,113.05,110.33,111.98,1534155
