Date,Open,High,Low,Close,Volume
2011-01-03,120.0,121.96,120.0,120.29,560008
2011-01-04,121.99,121.99,117.1,118.02,745692
2011-01-05,117.56,117.68,116.2,117.0,651453
2011-01-06,117.27,117.35,114.69,115.63,574232
2011-01-07,115.66,117.28,115.1,116.1,608084
2011-01-10,115.41,117.33,114.8,117.19,662061
2011-01-11,118.05,120.08,117.51,119.01,863729
2011-01-12,120.4,121.07,119.44,120.12,653666
2011-01-13,120.9,121.01,116.13,116.53,1015323
2011-01-14,116.29,117.88,115.6,117.6,867043
2011-01-18,116.88,117.6,116.64,117.19,689508
2011-01-19,117.2,117.48,114.43,114.97,595017
2011-01-20,114.19,115.35,112.22,114.15,648272
2011-01-21,115.51,116.57,114.92,115.42,684163
2011-01-24,113.81,119.5,113.0,117.98,1888512
2011-01-25,117.52,117.93,115.68,117.52,727617
2011-01-26,118.0,121.49,117.9,121.19,893794
2011-01-27,120.84,123.6,120.69,122.61,980729
2011-01-28,122.96,123.62,122.21,122.97,1293647
2011-01-31,122.94,125.84,122.94,124.99,758600
2011-02-01,125.79,129.44,125.63,128.34,967475
2011-02-02,127.94,128.75,127.21,127.4,499665
2011-02-03,127.25,128.67,126.89,127.16,604390
2011-02-04,127.53,130.52,127.36,130.48,576580
2011-02-07,130.62,132.56,130.62,132.13,492673
2011-02-08,132.0,132.0,130.24,131.59,395140
2011-02-09,130.93,131.51,129.06,129.96,547987
2011-02-10,129.79,131.29,128.97,130.87,322895
2011-02-11,130.42,132.49,130.17,132.03,231490
2011-02-14,132.21,133.94,130.96,131.77,656457
2011-02-15,131.36,131.36,129.0,129.33,540223
2011-02-16,130.13,131.49,129.08,130.82,562711
2011-02-17,130.51,131.44,129.87,130.74,309268
2011-02-18,130.74,130.88,129.13,130.33,452802
2011-02-22,128.91,130.48,125.49,125.72,561154
2011-02-23,125.37,127.77,120.56,122.66,926814
2011-02-24,122.87,129.23,120.3,125.43,1451582
2011-02-25,126.05,128.33,124.94,125.3,617184
2011-02-28,126.19,126.71,123.84,124.97,551996
2011-03-01,125.3,126.23,122.14,122.85,540362
2011-03-02,122.87,127.17,122.72,126.0,646088
2011-03-03,127.25,130.39,126.02,129.79,570493
2011-03-04,129.39,129.89,126.99,128.4,461486
2011-03-07,128.89,129.38,124.83,126.04,412717
2011-03-08,126.03,127.6,124.37,125.83,414272
2011-03-09,125.72,125.72,123.18,124.33,578917
2011-03-10,122.76,123.42,119.84,120.41,378379
2011-03-11,120.0,122.95,119.03,122.82,542456
2011-03-14,122.13,125.41,121.48,125.15,783026
2011-03-15,120.96,123.63,120.04,122.38,882397
2011-03-16,122.07,122.86,117.5,118.85,951757
2011-03-17,121.51,121.77,120.15,120.96,434252
2011-03-18,123.27,123.9,121.58,122.31,551285
2011-03-21,123.6,125.48,122.6,124.87,522625
2011-03-22,125.14,125.14,123.42,124.65,314271
2011-03-23,124.5,126.31,123.21,125.32,327238
2011-03-24,126.1,126.4,124.59,125.37,352972
2011-03-25,125.63,126.66,124.84,125.51,329177
2011-03-28,125.79,126.92,125.18,125.35,360529
2011-03-29,124.68,126.84,122.94,126.76,644482
2011-03-30,127.15,129.38,127.15,128.05,518131
2011-03-31,127.87,129.19,127.87,128.8,413712
2011-04-01,129.54,132.24,129.35,132.04,610964
2011-04-04,132.13,133.28,131.21,133.08,606381
2011-04-05,132.92,134.2,132.06,132.2,585281
2011-04-06,132.83,133.5,131.45,132.0,398636
2011-04-07,131.98,133.59,131.01,133.29,800501
2011-04-08,134.27,135.5,133.8,134.99,917461
2011-04-11,134.98,134.98,131.07,131.46,550524
2011-04-12,131.4,131.4,126.77,127.12,762477
2011-04-13,127.78,128.67,126.82,127.68,443640
2011-04-14,126.75,128.0,126.0,127.58,610858
2011-04-15,127.97,128.12,126.52,127.7,486207
2011-04-18,125.45,126.33,123.85,125.84,360481
2011-04-19,126.4,129.6,126.4,129.39,454498
2011-04-20,131.67,132.77,130.93,131.67,387826
2011-04-21,132.76,133.42,132.36,133.07,295654
2011-04-22,132.76,133.42,132.36,133.07,295654
2011-04-25,133.07,133.52,131.77,133.0,326072
2011-04-26,133.91,135.72,133.46,134.95,447502
2011-04-27,134.99,135.37,131.9,134.64,513166
2011-04-28,134.06,134.06,125.63,127.25,1683951
2011-04-29,127.47,127.75,126.09,126.62,639854
2011-05-02,127.63,129.31,126.57,127.5,779588
2011-05-03,127.3,127.8,123.57,124.62,566240
2011-05-04,124.28,125.14,120.83,121.83,716285
2011-05-05,124.28,125.14,120.83,121.83,716285
2011-05-06,121.61,123.29,121.0,122.55,908250
2011-05-09,122.14,124.42,122.14,123.08,426915
2011-05-10,123.64,126.22,123.38,125.31,537781
2011-05-11,125.14,125.45,122.1,122.79,650033
2011-05-12,122.16,122.65,120.63,121.5,460994
2011-05-13,121.48,121.67,119.4,120.67,396882
2011-05-16,120.03,123.04,119.72,120.7,456988
2011-05-17,119.92,120.87,118.09,118.41,741764
2011-05-18,118.67,122.66,118.14,121.8,418498
2011-05-19,122.0,122.97,120.41,120.81,442511
2011-05-20,120.7,120.85,118.74,119.51,359773
2011-05-23,117.65,117.77,115.63,116.57,647954
2011-05-24,117.51,118.86,116.15,116.2,608548
2011-05-25,115.72,118.05,115.28,116.99,643111
2011-05-26,116.51,117.86,114.88,117.61,565361
2011-05-27,118.41,120.67,118.21,120.28,365548
2011-05-31,121.67,122.27,120.01,121.23,487968
2011-06-01,120.52,121.18,115.58,115.63,641659
2011-06-02,115.94,117.47,114.85,115.73,339872
2011-06-03,113.95,115.1,112.75,113.22,916155
2011-06-06,113.04,113.86,111.93,112.4,422742
2011-06-07,113.43,113.43,111.36,111.46,464632
2011-06-08,111.15,111.58,109.75,110.16,478618
2011-06-09,110.63,111.2,110.08,110.54,339238
2011-06-10,109.72,110.19,105.99,106.34,1215386
2011-06-13,106.52,106.85,104.2,104.52,836282
2011-06-14,106.49,106.77,105.05,105.85,770838
2011-06-15,104.8,104.87,102.96,103.8,835896
2011-06-16,103.64,103.74,99.2,101.09,1227286
2011-06-17,102.96,106.72,102.96,105.69,1158799
2011-06-20,104.75,105.51,103.93,104.9,774942
2011-06-21,105.89,109.11,105.5,108.87,822364
2011-06-22,108.24,109.78,107.98,109.02,738505
2011-06-23,106.76,107.13,104.02,105.71,1124636
2011-06-24,106.01,107.01,103.88,104.18,739156
2011-06-27,104.29,105.22,102.81,104.93,522608
2011-06-28,105.3,107.09,104.95,106.38,416470
2011-06-29,107.13,107.83,105.89,107.13,370988
2011-06-30,107.34,110.33,106.58,109.89,731901
2011-07-01,109.84,111.36,109.0,110.97,489456
2011-07-05,110.91,111.83,110.02,110.42,468246
2011-07-06,110.03,110.67,108.1,110.27,449246
2011-07-07,111.8,112.57,110.85,111.76,420923
2011-07-08,109.96,109.96,107.64,109.02,571785
2011-07-11,107.17,107.73,104.48,105.56,526936
2011-07-12,105.0,105.68,103.27,103.36,664092
