Date,Open,High,Low,Close,Volume
2011-01-03,51.68,51.74,49.79,49.93,3759654
2011-01-04,50.16,50.34,49.1,49.41,2891680
2011-01-05,49.09,49.11,46.93,47.26,5529648
2011-01-06,47.88,47.9,46.95,47.29,3746238
2011-01-07,47.14,47.91,46.27,47.2,2967746
2011-01-10,47.21,48.96,47.21,48.74,3022689
2011-01-11,48.68,49.56,48.68,49.48,2818171
2011-01-12,49.57,50.3,49.53,50.22,1879769
2011-01-13,50.16,50.81,50.08,50.4,1776320
2011-01-14,50.66,52.82,50.02,52.69,3794261
2011-01-18,52.57,52.73,51.82,52.44,2833850
2011-01-19,52.08,52.14,50.53,50.65,2457038
2011-01-20,50.46,50.65,49.67,50.21,1813478
2011-01-21,50.58,50.87,49.83,49.98,1474174
2011-01-24,50.13,52.25,50.0,52.23,1817810
2011-01-25,52.13,53.15,51.88,52.7,2845919
2011-01-26,53.0,54.29,52.31,54.05,2883386
2011-01-27,53.05,53.05,50.89,51.79,4514286
2011-01-28,51.97,52.23,48.94,49.63,2967527
2011-01-31,49.79,50.54,49.23,49.89,1800782
2011-02-01,50.45,52.8,50.32,52.23,2137345
2011-02-02,52.01,52.5,51.57,51.65,1083074
2011-02-03,51.39,51.86,50.74,51.58,1111678
2011-02-04,51.63,52.67,51.36,52.6,1018502
2011-02-07,52.75,54.04,52.25,53.26,1661504
2011-02-08,53.17,53.5,52.86,53.21,1125713
2011-02-09,53.1,54.11,52.68,53.97,2132233
2011-02-10,53.61,54.18,53.04,53.98,1125120
2011-02-11,53.83,54.39,53.43,53.96,917831
2011-02-14,53.84,54.95,53.74,54.39,1441304
2011-02-15,54.37,54.37,53.31,53.69,1124147
2011-02-16,53.89,54.11,53.38,53.68,863112
2011-02-17,53.54,55.25,53.42,54.97,1203231
2011-02-18,55.04,56.38,54.56,56.1,2271444
2011-02-22,55.38,55.48,53.97,54.11,1868135
2011-02-23,54.07,54.09,51.85,52.17,1759170
2011-02-24,52.1,53.52,51.58,53.25,1768635
2011-02-25,53.66,55.36,53.66,55.35,1559917
2011-02-28,55.45,56.0,54.21,54.9,1244495
2011-03-01,55.31,55.94,54.71,54.73,2601906
2011-03-02,54.91,57.92,54.75,56.72,3305773
2011-03-03,57.5,59.1,57.4,58.39,3010454
2011-03-04,58.12,58.52,57.51,58.27,2128689
2011-03-07,58.34,58.59,55.87,56.72,1763004
2011-03-08,56.59,58.61,56.27,57.84,1930730
2011-03-09,57.61,57.61,53.75,53.88,2969451
2011-03-10,52.96,53.37,51.29,51.81,3183292
2011-03-11,51.37,52.34,50.83,52.16,2439043
2011-03-14,51.9,53.16,51.47,51.99,1710595
2011-03-15,50.6,52.61,49.6,52.16,2144782
2011-03-16,51.88,52.67,50.5,51.06,2119841
2011-03-17,52.04,53.05,51.37,51.39,1655695
2011-03-18,51.83,52.14,50.31,50.81,1829082
2011-03-21,51.5,52.9,51.5,52.1,1244917
2011-03-22,52.08,52.08,50.95,51.08,1993920
2011-03-23,51.15,53.35,51.0,53.14,2119084
2011-03-24,53.61,54.61,53.06,54.55,1631168
2011-03-25,54.87,55.18,54.3,54.62,1139797
2011-03-28,54.61,55.69,54.61,54.87,977823
2011-03-29,54.83,56.25,54.66,55.8,1325424
2011-03-30,56.25,57.2,56.1,56.95,1308017
2011-03-31,56.97,57.21,56.13,56.66,923113
2011-04-01,57.15,57.41,55.83,56.31,1140667
2011-04-04,56.79,56.79,54.58,54.9,1303758
2011-04-05,55.2,55.72,54.67,55.03,1067470
2011-04-06,55.62,56.4,55.26,56.32,1087416
2011-04-07,54.7,54.99,51.62,53.52,4463458
2011-04-08,53.83,54.07,52.0,52.42,2655031
2011-04-11,52.44,53.31,51.95,52.92,1767269
2011-04-12,52.49,52.62,51.76,51.94,1409171
2011-04-13,52.08,52.27,50.27,51.23,4319335
2011-04-14,50.84,51.05,49.69,50.99,2452155
2011-04-15,51.11,52.25,50.52,51.9,1701985
2011-04-18,51.2,51.39,49.64,49.93,2234691
2011-04-19,50.01,50.38,49.51,49.83,2346417
2011-04-20,51.04,52.24,51.0,52.04,2396496
2011-04-21,50.29,50.69,48.63,48.98,5965284
2011-04-22,50.29,50.69,48.63,48.98,5965284
2011-04-25,49.16,49.99,48.87,49.32,1681444
2011-04-26,49.35,49.49,48.46,49.43,3516658
2011-04-27,49.37,49.9,48.66,49.23,2167919
2011-04-28,49.04,49.35,47.92,48.66,2995652
2011-04-29,48.55,48.91,48.19,48.31,2654857
2011-05-02,48.54,48.62,48.02,48.09,1434514
2011-05-03,48.08,48.38,46.45,46.95,4011545
2011-05-04,48.38,49.41,46.48,47.37,4059914
2011-05-05,48.38,49.41,46.48,47.37,4059914
2011-05-06,49.05,49.88,48.16,48.63,7531172
2011-05-09,48.55,48.99,47.94,48.35,3360064
2011-05-10,48.64,48.99,47.88,48.28,3590181
2011-05-11,47.87,48.41,47.11,47.3,3428561
2011-05-12,47.02,47.87,46.79,47.47,3682945
2011-05-13,47.53,47.87,46.99,47.46,2019646
2011-05-16,47.27,47.98,47.01,47.14,2344410
2011-05-17,46.93,47.04,46.19,46.76,2406053
2011-05-18,46.64,47.5,46.57,47.18,1572946
2011-05-19,47.9,47.9,45.91,46.61,3348773
2011-05-20,46.59,47.38,46.06,47.19,1947902
2011-05-23,46.43,46.54,45.94,46.27,2085731
2011-05-24,46.33,46.54,45.37,45.54,1690782
2011-05-25,45.36,45.89,44.9,45.39,1497996
2011-05-26,45.18,45.91,45.08,45.75,1545834
2011-05-27,45.73,46.48,45.73,45.96,1169947
2011-05-31,46.39,47.11,46.36,47.0,3013163
2011-06-01,46.97,48.88,46.19,46.39,4716097
2011-06-02,46.62,47.37,46.28,46.75,2135348
2011-06-03,46.11,46.76,45.75,45.82,1611123
2011-06-06,45.72,46.1,45.23,45.37,1329898
2011-06-07,45.75,46.45,45.43,46.01,1636227
2011-06-08,45.86,45.97,45.07,45.28,3446943
2011-06-09,45.38,45.77,44.85,45.08,1946620
2011-06-10,44.94,45.01,43.68,44.48,2534401
2011-06-13,44.62,44.95,44.14,44.21,1064703
2011-06-14,44.67,45.18,44.47,44.93,1737650
2011-06-15,44.4,44.75,43.71,44.06,1720105
2011-06-16,43.99,43.99,43.0,43.36,2694935
2011-06-17,43.74,43.89,42.0,42.43,3360748
2011-06-20,42.25,42.38,41.92,42.04,1909902
2011-06-21,42.29,42.8,41.77,42.53,2968560
2011-06-22,42.57,43.47,42.39,42.92,2540758
2011-06-23,42.37,43.44,42.01,43.34,1737885
2011-06-24,43.28,43.75,42.4,43.22,2813418
2011-06-27,43.07,43.77,42.47,43.33,1430303
2011-06-28,43.42,43.51,43.09,43.42,1168568
2011-06-29,43.5,43.98,43.09,43.27,1716651
2011-06-30,43.34,44.56,43.34,44.28,1732893
2011-07-01,44.32,45.65,43.9,45.27,1537412
2011-07-05,45.27,45.42,44.23,44.53,1676852
2011-07-06,44.28,44.31,43.04,43.23,3125610
2011-07-07,43.6,45.12,43.6,44.74,2900090
2011-07-08,44.34,44.43,43.75,44.17,2041349
2011-07-11,44.84,46.27,44.41,44.86,4422594
2011-07-12,44.2,44.4,41.9,42.61,5877973
2011-07-13,42.62,43.44,42.23,42.68,2698849
2011-07-14,42.72,43.1,41.54,41.85,3028410
2011-07-15,41.96,42.16,41.35,42.06,1685025
2011-07-18,41.89,42.08,40.78,41.41,2423287
2011-07-19,41.73,42.55,41.71,42.37,1477456
2011-07-20,42.31,42.67,42.1,42.13,1539657
2011-07-21,42.4,43.57,41.76,43.14,2319090
2011-07-22,43.03,44.45,42.97,44.26,1713375
2011-07-25,43.83,44.33,43.49,44.02,1672951
2011-07-26,43.86,44.59,43.7,43.83,1551109
2011-07-27,43.35,43.39,41.97,42.22,2727630
2011-07-28,40.74,42.95,40.69,42.63,4436245
2011-07-29,42.05,42.3,40.8,40.88,4531140
2011-08-01,41.6,41.77,40.36,40.75,3455635
2011-08-02,40.35,40.61,39.49,39.59,3254018
2011-08-03,39.72,40.19,39.0,39.89,2096205
2011-08-04,39.33,39.62,37.53,37.57,4403703
2011-08-05,38.1,39.11,36.17,37.2,4572511
2011-08-08,35.99,36.96,35.25,35.38,3955701
2011-08-09,36.82,37.09,35.03,37.02,5230671
2011-08-10,36.18,37.82,35.8,36.49,3646014
