Date,Open,High,Low,Close,Volume
2011-01-03,26.82,26.98,26.64,26.89,1902851
2011-01-04,26.91,26.91,26.53,26.64,2047803
2011-01-05,26.49,27.32,26.49,27.32,3323477
2011-01-06,27.98,29.87,27.71,29.67,6616985
2011-01-07,29.77,30.09,29.03,29.29,3431077
2011-01-10,29.19,29.19,28.55,28.73,2718171
2011-01-11,28.87,29.0,28.54,28.68,2159719
2011-01-12,28.86,29.16,28.82,28.98,2189494
2011-01-13,28.97,29.48,28.82,28.95,4219685
2011-01-14,28.84,29.1,28.84,28.94,2674448
2011-01-18,28.79,29.56,28.79,29.52,6110698
2011-01-19,29.37,29.6,28.97,29.0,2159342
2011-01-20,29.12,29.4,28.79,29.04,2390763
2011-01-21,29.15,29.22,28.8,28.99,2063634
2011-01-24,29.0,29.16,28.77,29.11,2086314
2011-01-25,29.0,29.09,28.63,29.01,1794429
2011-01-26,29.13,29.5,29.01,29.24,1552927
2011-01-27,29.16,29.57,29.16,29.48,2030361
2011-01-28,29.6,29.71,28.9,29.03,2383201
2011-01-31,29.19,29.48,29.17,29.37,1955135
2011-02-01,29.61,29.72,29.42,29.56,2180100
2011-02-02,29.4,29.8,29.26,29.67,2285145
2011-02-03,28.62,30.11,28.59,29.78,3305485
2011-02-04,29.86,29.98,29.35,29.85,2273977
2011-02-07,29.87,30.12,29.72,30.03,1658640
2011-02-08,29.98,30.1,29.91,29.97,1787838
2011-02-09,29.81,30.26,29.79,30.2,2602285
2011-02-10,29.97,30.67,29.88,30.31,2066847
2011-02-11,30.19,30.52,29.84,30.46,1358890
2011-02-14,30.35,30.61,30.22,30.5,702571
2011-02-15,30.42,30.74,30.35,30.6,1352801
2011-02-16,30.58,30.74,30.35,30.5,994399
2011-02-17,30.48,30.66,30.35,30.48,1441941
2011-02-18,30.45,30.78,30.45,30.69,1525765
2011-02-22,30.33,30.73,30.17,30.41,3127301
2011-02-23,30.33,30.34,29.44,29.73,1627990
2011-02-24,29.67,30.1,29.53,29.76,1634523
2011-02-25,29.83,31.3,29.83,31.24,2911446
2011-02-28,31.24,32.13,31.24,31.9,2709791
2011-03-01,31.94,31.97,31.22,31.35,2524683
2011-03-02,31.42,31.65,31.24,31.41,2136299
2011-03-03,31.64,32.08,31.64,31.97,2045688
2011-03-04,31.92,31.92,31.48,31.73,1754559
2011-03-07,31.9,32.2,31.58,31.82,2607339
2011-03-08,31.89,32.42,31.8,32.29,2432292
2011-03-09,32.2,32.8,32.19,32.39,1965287
2011-03-10,31.98,32.2,31.73,31.76,1807887
2011-03-11,31.75,32.44,31.66,32.36,1728638
2011-03-14,31.98,32.18,31.75,31.94,1362035
2011-03-15,30.84,31.81,30.84,31.68,1624918
2011-03-16,31.71,31.75,31.22,31.41,2139157
2011-03-17,31.85,32.01,31.31,31.44,1664288
2011-03-18,31.85,32.32,31.8,32.26,2748899
2011-03-21,32.64,33.18,32.39,33.07,1786961
2011-03-22,32.68,32.68,31.93,32.19,3079979
2011-03-23,32.06,32.81,31.99,32.75,2632651
2011-03-24,33.0,33.13,32.49,32.63,1510844
2011-03-25,32.75,33.18,32.45,33.03,2672080
2011-03-28,32.99,33.67,32.93,33.38,2337691
2011-03-29,33.32,33.59,33.21,33.55,1680278
2011-03-30,33.76,34.74,33.58,34.45,2350094
2011-03-31,34.3,34.5,32.99,33.91,6218741
2011-04-01,34.3,34.68,34.26,34.57,2212192
2011-04-04,34.64,34.73,34.48,34.59,1243305
2011-04-05,34.5,35.0,34.44,34.96,1788498
2011-04-06,35.04,35.41,34.79,35.41,2104947
2011-04-07,35.46,36.52,35.38,36.17,3041808
2011-04-08,36.09,36.69,35.07,35.3,2299238
2011-04-11,35.3,35.88,35.29,35.5,1546381
2011-04-12,35.31,35.55,35.15,35.2,964882
2011-04-13,35.53,35.89,35.47,35.57,1254374
2011-04-14,35.24,35.72,35.15,35.47,1948063
2011-04-15,35.72,35.97,35.22,35.86,2446406
2011-04-18,35.5,35.63,35.04,35.5,1691500
2011-04-19,35.61,35.96,35.26,35.41,1626347
2011-04-20,35.82,36.03,35.3,35.39,2443033
2011-04-21,35.49,35.99,35.46,35.83,1340004
2011-04-22,35.49,35.99,35.46,35.83,1340004
2011-04-25,35.65,35.95,35.58,35.73,928205
2011-04-26,36.06,36.06,35.6,35.91,2076819
2011-04-27,37.31,39.65,37.01,38.33,6938657
2011-04-28,38.37,38.94,38.29,38.75,2928745
2011-04-29,38.79,39.22,38.36,39.14,3947377
2011-05-02,39.43,39.48,38.88,38.98,2049690
2011-05-03,38.95,39.36,38.72,38.91,2505189
2011-05-04,38.8,39.06,38.12,38.3,2141378
2011-05-05,38.8,39.06,38.12,38.3,2141378
2011-05-06,38.38,38.59,37.86,37.86,2219985
2011-05-09,37.93,38.37,37.82,38.31,1328914
2011-05-10,38.37,38.63,38.35,38.49,1445113
2011-05-11,38.36,38.51,37.72,37.82,1514031
2011-05-12,37.78,38.07,37.55,37.92,2026898
2011-05-13,37.95,38.43,37.86,38.14,2144034
2011-05-16,37.9,38.5,37.82,38.17,1746465
2011-05-17,38.06,38.5,37.94,38.47,2411465
2011-05-18,38.39,38.87,38.25,38.77,2823716
2011-05-19,38.88,39.14,38.75,39.05,1799495
2011-05-20,39.04,39.15,38.61,38.69,1470174
2011-05-23,38.36,38.36,37.84,37.9,1926872
2011-05-24,38.0,38.01,37.65,37.73,1971228
2011-05-25,37.55,38.2,37.5,38.04,1531534
2011-05-26,37.86,39.01,37.74,38.89,3804568
2011-05-27,39.1,39.25,38.69,38.79,2617243
2011-05-31,39.25,39.92,39.07,39.91,6187295
2011-06-01,39.69,39.92,39.38,39.41,2529725
2011-06-02,39.37,39.86,39.28,39.69,1417267
2011-06-03,39.15,39.73,38.73,39.43,3186041
2011-06-06,39.27,39.37,38.64,38.74,2402356
2011-06-07,38.92,39.54,38.83,39.28,1894766
2011-06-08,39.19,39.48,38.84,39.43,2463894
2011-06-09,39.44,41.93,39.23,41.75,6119839
2011-06-10,41.55,41.6,40.78,41.18,3259844
2011-06-13,41.22,41.9,41.15,41.21,3072002
2011-06-14,41.59,41.82,41.24,41.62,2620603
2011-06-15,41.31,41.51,40.05,40.21,3560189
2011-06-16,39.43,39.53,37.97,38.27,6271113
2011-06-17,38.28,38.28,35.13,36.35,14733632
2011-06-20,36.15,37.29,36.05,37.29,4046974
2011-06-21,37.55,38.19,37.33,37.84,2411561
2011-06-22,37.85,38.32,37.65,37.81,2297203
2011-06-23,37.34,37.67,36.81,37.67,3278298
2011-06-24,37.66,37.72,36.95,37.05,2800653
2011-06-27,37.19,37.37,37.05,37.16,2230006
2011-06-28,37.31,37.83,37.24,37.4,1663173
2011-06-29,37.54,37.99,37.09,37.52,2820947
2011-06-30,37.79,38.47,37.78,38.35,2166940
2011-07-01,38.34,39.06,38.2,39.01,1704470
2011-07-05,38.91,39.0,38.46,38.87,1697269
2011-07-06,38.84,39.48,38.77,39.46,2256914
2011-07-07,39.79,40.28,39.61,39.78,2113167
2011-07-08,39.25,39.51,38.78,39.4,2398317
2011-07-11,38.85,38.91,37.59,37.6,3405498
2011-07-12,37.35,37.64,36.05,36.29,6617809
2011-07-13,36.64,37.11,36.31,36.65,4901390
2011-07-14,36.68,36.94,36.03,36.32,3252119
2011-07-15,36.54,36.54,35.69,36.45,2272416
2011-07-18,36.21,36.23,35.09,35.52,2636024
2011-07-19,35.79,36.79,35.74,36.69,2659422
2011-07-20,36.8,36.84,36.39,36.48,1328269
2011-07-21,36.75,37.55,36.64,37.16,2249553
2011-07-22,37.14,37.4,36.79,37.17,1425170
2011-07-25,36.71,37.83,36.32,37.38,2602498
2011-07-26,37.31,37.73,36.84,37.42,3303459
2011-07-27,38.47,38.47,35.2,35.45,6792850
2011-07-28,35.45,35.79,35.13,35.24,3394366
2011-07-29,34.85,36.02,34.61,35.61,2308882
2011-08-01,35.86,36.09,34.86,35.35,2827165
2011-08-02,35.09,35.64,34.3,34.32,4448447
2011-08-03,34.5,35.71,34.15,35.63,3448476
2011-08-04,35.12,35.26,33.44,33.56,4474947
2011-08-05,34.12,34.12,32.06,32.88,5309821
2011-08-08,31.79,31.79,29.76,29.8,10174586
2011-08-09,30.65,31.72,29.56,31.67,6677904
2011-08-10,30.91,30.91,29.09,29.15,10153662
2011-08-11,29.4,31.96,29.09,31.39,6053641
2011-08-12,31.53,32.46,31.31,31.86,2403355
2011-08-15,32.02,32.7,31.93,32.7,2068499
2011-08-16,32.27,32.27,30.68,31.31,4132718
2011-08-17,31.31,31.87,31.21,31.41,3436064
2011-08-18,30.23,30.23,27.44,27.93,7720365
2011-08-19,27.57,28.19,26.97,27.04,5035211
2011-08-22,27.67,27.81,26.84,26.96,3831745
2011-08-23,27.13,28.5,26.79,28.47,3713163
2011-08-24,28.03,30.0,28.03,29.89,4538859
2011-08-25,30.21,31.02,29.1,29.26,2923771
2011-08-26,28.94,30.18,28.47,29.77,2690950
2011-08-29,30.24,30.87,30.24,30.81,2210074
2011-08-30,30.6,30.95,30.07,30.73,2349448
2011-08-31,31.11,31.49,30.57,30.83,3357719
2011-09-01,30.85,31.18,30.28,30.29,2981014
2011-09-02,29.84,30.03,29.2,29.34,2976625
2011-09-06,28.06,29.11,28.03,29.05,3132190
