Date,Open,High,Low,Close,Volume
2011-01-03,86.75,87.33,86.74,86.79,2632781
2011-01-04,87.0,87.28,86.28,86.67,2644054
2011-01-05,86.29,87.9,86.12,86.67,4081543
2011-01-06,86.86,87.19,85.63,86.14,3453076
2011-01-07,86.55,87.31,85.95,86.23,3355467
2011-01-10,85.72,87.33,85.72,87.15,3475188
2011-01-11,87.33,88.34,87.33,87.74,3025965
2011-01-12,88.02,88.76,87.92,88.66,2732857
2011-01-13,88.47,88.87,87.76,88.04,2351899
2011-01-14,87.74,88.11,87.45,88.1,2094220
2011-01-18,87.84,88.5,87.71,88.14,2323974
2011-01-19,88.25,88.74,87.66,87.96,2302202
2011-01-20,87.86,88.38,87.25,88.04,2167996
2011-01-21,88.66,89.39,88.37,89.29,3911376
2011-01-24,89.21,90.5,89.06,90.32,6321634
2011-01-25,89.4,89.5,87.2,88.5,7480949
2011-01-26,88.58,89.72,88.43,89.57,4097853
2011-01-27,89.2,90.29,89.02,89.19,3282353
2011-01-28,89.43,89.69,87.25,87.44,4927754
2011-01-31,87.93,88.19,87.31,87.92,4116491
2011-02-01,88.02,88.3,87.44,87.79,3995188
2011-02-02,87.68,88.45,87.68,87.75,2892511
2011-02-03,87.82,88.27,87.55,87.95,1982901
2011-02-04,87.92,88.39,87.65,88.29,1973857
2011-02-07,88.17,89.25,87.81,88.79,2621662
2011-02-08,88.97,89.5,88.78,89.47,2709539
2011-02-09,89.67,90.84,89.65,90.78,4786503
2011-02-10,90.24,90.68,89.96,90.46,2787469
2011-02-11,90.34,91.95,90.06,91.8,3410002
2011-02-14,91.72,92.3,91.72,91.9,3418920
2011-02-15,91.52,92.14,91.0,92.0,2971859
2011-02-16,91.46,92.95,91.45,92.33,3906440
2011-02-17,92.14,92.96,92.02,92.73,3134112
2011-02-18,92.73,92.97,92.05,92.96,3435166
2011-02-22,92.73,93.65,91.82,92.0,5032395
2011-02-23,92.57,92.58,89.87,90.26,5361408
2011-02-24,90.43,90.73,89.27,90.03,3996068
2011-02-25,89.75,90.67,89.69,90.25,2859485
2011-02-28,91.9,92.64,91.1,92.23,4797334
2011-03-01,92.19,92.35,90.44,90.46,4009080
2011-03-02,90.24,92.2,90.24,91.32,2809598
2011-03-03,91.85,93.4,91.85,92.81,3064574
2011-03-04,92.71,93.29,91.35,92.19,2772720
2011-03-07,92.58,93.55,92.02,92.4,3792165
2011-03-08,92.37,94.16,92.3,93.75,3624359
2011-03-09,93.52,93.74,92.58,93.17,2118433
2011-03-10,92.32,92.32,90.0,90.01,5102425
2011-03-11,89.71,92.05,89.71,91.61,3507211
2011-03-14,91.21,91.21,89.9,91.02,3553196
2011-03-15,89.05,90.09,88.06,89.5,5277635
2011-03-16,89.06,89.24,86.91,87.55,6389969
2011-03-17,88.59,88.97,88.05,88.69,3583709
2011-03-18,89.72,90.1,88.53,88.98,4828820
2011-03-21,90.27,91.8,90.17,90.95,3576928
2011-03-22,90.96,91.48,90.41,90.7,2067467
2011-03-23,90.62,92.66,90.6,92.14,3978431
2011-03-24,92.61,92.98,91.89,92.58,2596984
2011-03-25,92.87,92.96,92.13,92.27,2750593
2011-03-28,92.42,92.82,92.12,92.12,2414605
2011-03-29,92.27,92.9,91.9,92.84,2222234
2011-03-30,92.84,93.16,92.33,92.47,3567170
2011-03-31,92.41,93.67,92.36,93.5,3206819
2011-04-01,93.53,94.33,92.62,93.13,3547233
2011-04-04,92.68,93.83,92.68,93.64,1962849
2011-04-05,93.51,94.0,93.02,93.39,2305954
2011-04-06,93.94,94.1,93.22,93.82,2499136
2011-04-07,93.51,93.93,92.6,93.19,3439683
2011-04-08,93.59,93.75,92.62,93.22,2464598
2011-04-11,93.59,94.64,93.4,93.8,3221707
2011-04-12,93.2,93.27,92.03,92.37,3912566
2011-04-13,93.07,93.25,92.55,92.86,2838631
2011-04-14,92.43,93.22,91.75,92.94,2290819
2011-04-15,92.89,93.14,91.98,92.82,3111787
2011-04-18,91.94,91.94,90.58,91.45,3642975
2011-04-19,91.65,92.03,91.47,91.86,2435097
2011-04-20,92.97,94.42,92.93,93.76,3640779
