Date,Open,High,Low,Close,Volume
2011-01-03,152.41,154.85,152.41,153.23,85925
2011-01-04,151.88,152.86,148.24,151.56,159184
2011-01-05,151.14,153.67,150.54,150.64,122063
2011-01-06,150.48,152.12,149.72,150.42,70698
2011-01-07,150.37,151.34,146.56,147.23,141257
2011-01-10,146.7,151.33,145.53,150.52,153583
2011-01-11,151.36,154.03,151.36,152.06,100715
2011-01-12,153.38,153.38,150.38,151.05,109940
2011-01-13,151.25,151.73,149.95,150.44,65765
2011-01-14,150.41,152.44,149.98,151.57,125963
2011-01-18,151.19,155.72,150.86,155.72,193668
2011-01-19,155.38,156.85,152.26,153.16,225846
2011-01-20,152.29,153.33,149.02,149.56,165874
2011-01-21,150.48,150.56,148.05,149.81,142280
2011-01-24,149.9,150.49,149.05,149.58,103862
2011-01-25,148.98,151.37,148.91,151.34,103536
2011-01-26,151.43,152.33,150.76,151.05,90682
2011-01-27,150.68,151.85,150.09,150.64,72425
2011-01-28,150.85,151.23,147.0,147.56,115610
2011-01-31,147.52,150.45,147.52,149.19,68968
2011-02-01,150.38,153.63,150.38,152.86,150684
2011-02-02,152.17,153.37,150.75,150.77,60810
2011-02-03,150.81,152.49,149.26,151.35,52368
2011-02-04,151.65,153.27,151.26,152.72,49036
2011-02-07,153.29,155.9,152.63,155.78,121310
2011-02-08,155.82,162.16,155.69,161.03,183663
2011-02-09,160.21,160.93,158.26,159.3,139437
2011-02-10,159.27,159.48,157.01,159.35,201363
2011-02-11,160.67,167.39,160.67,167.11,448645
2011-02-14,167.78,169.0,166.7,168.68,196824
2011-02-15,169.0,169.0,167.15,167.74,173486
2011-02-16,168.1,169.67,167.25,167.46,186024
2011-02-17,167.45,169.79,166.64,169.16,146905
2011-02-18,169.0,169.68,168.0,169.28,130796
2011-02-22,167.35,169.28,166.24,168.02,151229
2011-02-23,167.61,168.83,163.76,167.87,280704
2011-02-24,167.42,170.79,166.82,168.26,223574
2011-02-25,168.84,171.54,168.3,171.01,232644
2011-02-28,171.5,173.94,171.03,171.37,221258
2011-03-01,173.05,174.36,169.5,171.21,214191
2011-03-02,171.14,173.64,169.78,170.56,142517
2011-03-03,172.52,176.16,172.11,175.54,159201
2011-03-04,174.88,177.39,174.37,177.07,149706
2011-03-07,175.3,177.0,171.03,171.77,173984
2011-03-08,172.64,177.16,172.0,174.73,154715
2011-03-09,174.55,175.75,172.31,174.72,114294
2011-03-10,172.32,172.72,169.21,171.05,105404
2011-03-11,169.96,171.69,169.15,170.38,83237
2011-03-14,168.91,170.2,166.73,168.35,118459
2011-03-15,165.59,167.16,161.73,165.83,241176
2011-03-16,164.5,167.7,163.08,163.88,187433
2011-03-17,165.68,166.99,164.0,164.79,101754
2011-03-18,166.53,168.56,162.98,165.55,171321
2011-03-21,168.03,172.91,168.03,172.25,154159
2011-03-22,172.24,173.35,170.05,171.96,100265
2011-03-23,171.19,172.89,170.06,171.71,90007
2011-03-24,172.74,173.29,166.99,170.17,246763
2011-03-25,170.79,175.35,169.98,172.06,158635
2011-03-28,172.64,173.18,169.35,169.38,164564
2011-03-29,170.08,171.14,168.64,170.81,141748
2011-03-30,171.27,172.34,170.52,170.93,165138
2011-03-31,170.47,172.24,170.47,172.0,115248
2011-04-01,172.0,172.72,169.57,172.17,154504
2011-04-04,173.0,173.54,170.89,172.56,90475
2011-04-05,171.95,176.93,171.0,175.49,141360
2011-04-06,176.22,176.99,174.41,175.67,105469
2011-04-07,175.87,176.62,174.15,174.84,81505
2011-04-08,175.92,175.92,172.79,173.88,71541
2011-04-11,174.31,175.22,172.29,173.4,46665
2011-04-12,172.53,173.32,169.49,170.44,121218
2011-04-13,170.87,172.91,169.66,172.6,103650
2011-04-14,171.36,172.55,169.51,169.81,109143
2011-04-15,169.74,171.06,169.2,170.71,143901
2011-04-18,168.0,168.15,164.22,167.16,132516
2011-04-19,167.15,169.21,166.31,167.27,117788
2011-04-20,169.95,174.98,169.86,174.2,131849
2011-04-21,174.67,177.46,174.26,176.56,86209
2011-04-22,174.67,177.46,174.26,176.56,86209
2011-04-25,175.87,176.68,172.37,174.6,70917
2011-04-26,176.17,182.32,175.23,180.89,245165
2011-04-27,181.36,183.76,180.19,183.74,247185
2011-04-28,183.59,184.56,183.42,183.87,120355
2011-04-29,184.0,188.38,182.83,187.4,219386
2011-05-02,188.64,193.56,186.98,191.95,353007
2011-05-03,191.7,192.58,187.9,189.17,395717
2011-05-04,187.96,190.13,185.02,187.64,361732
2011-05-05,187.96,190.13,185.02,187.64,361732
2011-05-06,182.54,182.57,172.59,173.3,262283
2011-05-09,172.6,175.8,172.07,174.85,155844
2011-05-10,175.16,179.07,175.02,178.66,207080
2011-05-11,177.53,179.08,174.57,176.35,138264
2011-05-12,175.5,176.62,174.13,175.8,132554
2011-05-13,176.42,176.48,172.9,173.79,105530
2011-05-16,173.37,175.01,172.01,173.2,121074
2011-05-17,171.54,172.07,168.0,169.29,172810
2011-05-18,169.73,171.87,169.73,170.75,195702
2011-05-19,172.23,172.98,168.24,171.53,175238
2011-05-20,170.69,171.3,167.48,167.98,178905
2011-05-23,164.89,166.62,161.31,164.84,226755
2011-05-24,165.42,165.7,161.88,162.66,148784
2011-05-25,161.44,163.64,161.12,163.29,142446
2011-05-26,162.31,164.92,162.2,164.62,62316
2011-05-27,165.44,166.43,163.93,166.1,93080
2011-05-31,167.52,168.84,165.91,167.37,151727
2011-06-01,167.58,167.75,161.05,161.44,223190
2011-06-02,161.93,163.07,161.23,161.86,150595
2011-06-03,159.08,160.73,158.62,158.97,144519
2011-06-06,158.39,159.5,156.86,157.13,98567
2011-06-07,157.86,159.1,155.84,158.07,152306
2011-06-08,157.24,159.33,156.55,158.71,160125
2011-06-09,160.0,161.63,159.99,160.85,265543
2011-06-10,159.77,161.24,158.11,158.66,202363
2011-06-13,159.04,160.18,157.3,157.64,226215
2011-06-14,160.18,161.47,160.15,160.43,180735
2011-06-15,158.62,160.44,156.87,158.55,158540
2011-06-16,160.01,161.6,158.29,159.93,350039
2011-06-17,161.51,161.51,158.24,158.76,197556
2011-06-20,157.89,160.33,157.89,160.07,141161
2011-06-21,161.0,164.4,160.82,163.36,104316
2011-06-22,163.41,163.86,161.93,162.01,95900
2011-06-23,159.57,162.41,157.99,161.87,176255
2011-06-24,161.75,161.94,158.24,159.16,212694
2011-06-27,159.43,161.85,158.02,160.8,150157
2011-06-28,161.08,166.78,160.99,165.5,180414
2011-06-29,166.79,167.43,164.65,165.62,199955
2011-06-30,166.03,171.96,165.84,168.67,229150
2011-07-01,169.29,174.45,168.78,173.19,165053
2011-07-05,173.13,173.65,171.26,172.94,99500
2011-07-06,172.92,174.52,171.88,173.98,98056
2011-07-07,175.84,176.0,173.55,175.28,94529
2011-07-08,173.28,173.5,171.06,172.05,129789
2011-07-11,169.93,171.01,164.29,164.88,255215
2011-07-12,164.4,166.82,162.51,165.35,145123
2011-07-13,166.42,168.3,165.44,165.76,123985
2011-07-14,166.1,167.0,162.3,163.51,125460
2011-07-15,164.16,164.2,162.41,163.93,55406
2011-07-18,163.2,163.98,159.18,160.0,144408
2011-07-19,160.96,163.26,160.53,162.75,124271
2011-07-20,163.28,164.82,162.75,164.05,106367
2011-07-21,164.95,169.31,164.07,168.68,192605
2011-07-22,168.47,168.55,165.57,165.84,101923
2011-07-25,163.38,165.03,162.74,163.3,128724
2011-07-26,161.89,162.28,156.48,158.32,274276
2011-07-27,156.94,160.11,152.0,152.75,298776
2011-07-28,151.61,155.6,151.57,154.42,307938
2011-07-29,154.36,160.88,148.74,154.81,391536
2011-08-01,156.36,156.36,144.43,148.02,461138
2011-08-02,146.52,149.53,142.89,142.97,271526
2011-08-03,143.34,147.71,140.67,147.58,311626
2011-08-04,145.2,146.01,140.43,140.93,291146
2011-08-05,142.01,143.87,135.22,137.93,387746
2011-08-08,129.93,138.15,129.93,131.91,717613
2011-08-09,134.54,141.18,131.11,140.76,604706
2011-08-10,137.91,145.37,137.63,140.16,627671
2011-08-11,140.17,149.58,139.08,147.48,374355
2011-08-12,148.7,154.2,146.8,150.86,281929
2011-08-15,152.73,155.56,151.77,155.49,260252
2011-08-16,153.66,154.71,148.53,149.49,277148
2011-08-17,150.35,151.86,149.26,150.34,223098
2011-08-18,145.71,145.84,139.42,140.57,367294
2011-08-19,138.59,141.94,137.8,138.33,244225
2011-08-22,141.67,141.67,135.65,137.59,268204
2011-08-23,138.23,145.12,137.17,144.96,246479
2011-08-24,144.0,147.87,144.0,147.6,132324
2011-08-25,149.63,149.92,143.7,145.37,227807
2011-08-26,143.58,151.41,141.77,151.38,187178
2011-08-29,154.01,158.16,153.93,157.8,192625
2011-08-30,156.07,157.67,153.7,156.28,208255
2011-08-31,157.15,159.98,156.83,159.27,322245
2011-09-01,159.34,161.65,157.99,158.63,320603
2011-09-02,154.5,156.19,153.47,155.01,295264
2011-09-06,149.7,152.72,147.78,152.39,341285
2011-09-07,155.06,159.29,154.76,159.29,150437
2011-09-08,157.85,159.59,156.71,157.52,154703
2011-09-09,155.66,157.44,147.45,147.93,477167
2011-09-12,146.05,148.45,144.18,147.04,388987
2011-09-13,147.81,150.65,146.88,150.15,299985
2011-09-14,150.89,155.95,147.99,154.48,361591
2011-09-15,156.02,157.65,153.78,156.09,217657
2011-09-16,155.61,158.78,152.56,153.25,352235
2011-09-19,149.96,153.07,147.22,152.23,224358
2011-09-20,152.13,156.81,152.13,152.23,358715
2011-09-21,152.28,152.38,144.04,144.04,293802
2011-09-22,139.07,139.72,135.5,137.03,380459
2011-09-23,136.45,140.74,135.22,139.96,342847
2011-09-26,140.46,143.87,137.56,143.37,300461
2011-09-27,146.34,152.74,146.34,147.65,256128
2011-09-28,148.72,149.11,141.85,141.99,168036
2011-09-29,144.91,146.07,139.64,143.58,282709
2011-09-30,140.82,144.57,138.58,139.96,333655
2011-10-03,137.88,142.23,130.03,130.12,629773
2011-10-04,127.7,135.67,126.1,135.29,512533
