Date,Open,High,Low,Close,Volume
2011-01-03,98.79,99.15,97.85,98.0,3580692
2011-01-04,98.38,98.5,94.29,96.66,6458954
2011-01-05,96.22,97.59,95.36,97.02,3598697
2011-01-06,97.28,97.57,95.85,96.46,3773518
2011-01-07,96.62,97.16,95.58,96.19,3809190
2011-01-10,95.62,96.4,95.05,95.79,3838079
2011-01-11,96.35,97.23,95.69,96.92,4046800
2011-01-12,98.0,98.23,97.03,97.5,4720152
2011-01-13,97.79,97.85,95.71,96.42,4526704
2011-01-14,96.24,97.47,95.88,97.32,3541778
2011-01-18,97.15,98.76,97.0,98.55,3165785
2011-01-19,98.77,98.99,97.82,98.27,3239074
2011-01-20,97.38,97.89,95.93,96.41,4561374
2011-01-21,97.63,98.33,96.65,97.97,4043228
2011-01-24,97.6,98.0,96.85,97.18,3711504
2011-01-25,97.11,97.28,95.8,97.15,3986010
2011-01-26,95.95,97.25,94.02,96.94,9795506
2011-01-27,97.34,98.2,95.64,96.97,5297741
2011-01-28,96.7,97.18,93.7,93.81,9463943
2011-01-31,94.06,96.7,93.25,96.68,6388799
2011-02-01,97.79,99.75,97.52,98.93,6725329
2011-02-02,98.73,99.14,98.18,98.66,3802337
2011-02-03,98.53,98.53,96.12,98.18,3810470
2011-02-04,98.47,98.56,96.98,97.51,3388769
2011-02-07,97.59,98.07,97.04,97.54,3188329
2011-02-08,97.83,98.22,96.86,97.76,2892122
2011-02-09,97.26,98.45,96.27,97.25,4417525
2011-02-10,97.22,98.97,96.56,98.93,3974923
2011-02-11,98.48,101.0,97.75,99.74,4212497
2011-02-14,99.86,101.38,99.5,101.25,3169198
2011-02-15,101.14,104.99,100.67,103.07,7343008
2011-02-16,103.61,105.33,102.98,105.02,4335901
2011-02-17,104.16,106.25,104.12,105.85,3282996
2011-02-18,107.1,107.56,105.27,107.37,5062265
2011-02-22,104.41,106.77,101.59,102.14,8863916
2011-02-23,102.55,104.99,102.55,102.96,7290765
2011-02-24,103.94,104.4,101.5,101.76,5223557
2011-02-25,102.39,103.29,101.66,103.1,2900255
2011-02-28,103.32,103.97,101.24,101.97,5298074
2011-03-01,104.12,104.48,100.06,100.22,4212560
2011-03-02,100.47,101.33,99.45,100.79,3870150
2011-03-03,101.71,103.56,101.21,103.41,4165596
2011-03-04,103.11,103.78,101.67,103.15,4223784
2011-03-07,103.93,105.82,103.36,103.53,4319519
2011-03-08,103.66,103.66,100.69,100.92,4728442
2011-03-09,101.22,102.65,100.7,100.87,3747283
2011-03-10,99.93,99.94,96.8,97.43,4259472
2011-03-11,96.62,99.16,96.31,98.75,3464360
2011-03-14,97.88,99.46,97.16,99.02,3624369
2011-03-15,96.12,98.77,95.04,97.97,4468444
2011-03-16,97.64,98.7,94.73,95.93,5332278
2011-03-17,97.65,98.7,96.87,97.86,4325894
2011-03-18,99.16,101.21,97.55,98.33,5560109
2011-03-21,99.58,101.54,99.37,100.98,4416469
2011-03-22,100.51,101.64,99.85,100.16,3482485
2011-03-23,100.18,100.73,99.4,100.1,2518669
2011-03-24,100.43,100.81,99.52,99.79,4053651
2011-03-25,99.9,101.78,99.45,100.85,4261968
2011-03-28,100.84,102.48,100.6,100.87,2666996
2011-03-29,100.74,103.83,100.5,103.79,3768554
2011-03-30,104.31,105.0,102.97,103.76,2536236
2011-03-31,104.08,105.77,103.95,104.49,3611797
2011-04-01,105.88,105.99,103.86,104.3,3234422
2011-04-04,104.38,105.08,103.42,103.52,2817605
2011-04-05,102.28,104.17,101.57,102.73,4446836
2011-04-06,103.46,103.46,100.75,101.04,3150923
2011-04-07,100.66,101.69,99.81,101.13,3212515
2011-04-08,102.0,104.14,101.88,103.72,4294828
2011-04-11,103.92,104.0,100.18,100.42,5109054
2011-04-12,99.68,99.81,96.5,96.9,5502134
2011-04-13,96.79,97.89,96.44,96.89,3715458
2011-04-14,97.35,97.88,96.25,97.55,3899431
2011-04-15,97.06,98.82,96.35,98.76,4217418
2011-04-18,97.25,97.36,95.67,97.06,3233210
2011-04-19,97.24,99.17,96.62,98.71,4808192
2011-04-20,100.07,101.07,99.01,100.86,3744921
2011-04-21,100.92,101.14,99.71,100.53,3099095
2011-04-22,100.92,101.14,99.71,100.53,3099095
2011-04-25,100.3,100.57,98.83,100.39,2125056
2011-04-26,101.1,103.09,100.32,102.91,5474783
2011-04-27,103.05,103.5,101.0,103.0,3872739
2011-04-28,103.0,105.44,101.3,105.13,6333343
2011-04-29,106.03,114.55,105.92,114.29,14810113
2011-05-02,115.11,117.89,114.08,115.74,9538736
2011-05-03,114.83,115.17,110.45,111.64,6504767
2011-05-04,111.48,111.48,107.6,108.89,7130692
2011-05-05,111.48,111.48,107.6,108.89,7130692
2011-05-06,106.87,109.5,105.14,106.42,5026450
2011-05-09,106.49,108.4,104.72,107.48,5683250
2011-05-10,107.44,107.74,106.14,106.98,4127049
2011-05-11,106.37,106.7,102.85,103.63,5093364
2011-05-12,104.29,104.29,102.24,103.09,5391857
2011-05-13,103.51,103.77,100.93,102.36,4025516
2011-05-16,101.87,103.5,100.69,101.0,3918377
2011-05-17,100.6,102.69,99.69,101.4,4488512
2011-05-18,101.66,103.85,100.91,102.2,6026142
2011-05-19,102.21,102.85,100.12,100.38,5361849
2011-05-20,100.14,101.12,99.1,100.4,5460494
2011-05-23,99.06,99.92,98.25,98.95,3631891
2011-05-24,100.35,103.02,100.04,102.5,7540372
2011-05-25,101.25,104.8,101.2,104.22,6987418
2011-05-26,104.22,105.5,103.08,104.99,4288897
2011-05-27,105.29,108.15,105.29,106.57,4700819
2011-05-31,108.21,108.99,107.0,107.85,6137245
2011-06-01,107.84,108.12,103.34,103.68,4520397
2011-06-02,103.89,104.95,102.27,103.79,3389532
2011-06-03,101.73,105.24,101.73,104.2,3479807
2011-06-06,104.24,104.53,101.5,101.94,3396969
2011-06-07,102.95,103.25,101.04,101.46,3583981
2011-06-08,101.34,103.98,101.34,102.49,4046374
2011-06-09,103.13,104.92,102.78,103.96,3705328
2011-06-10,103.35,104.5,102.53,103.39,4978114
2011-06-13,103.38,104.67,101.59,102.14,4685457
2011-06-14,104.19,105.41,103.77,104.78,3939910
2011-06-15,103.57,104.15,101.6,102.15,5120419
2011-06-16,101.54,103.97,101.19,102.82,3972041
2011-06-17,103.89,104.04,101.27,102.19,4735233
2011-06-20,101.49,102.62,100.6,101.5,3560415
2011-06-21,102.16,103.48,101.58,102.4,4167386
2011-06-22,101.84,103.07,100.67,100.93,5139388
2011-06-23,98.57,99.43,96.75,99.39,6983520
2011-06-24,99.59,99.9,98.16,98.46,5059601
2011-06-27,97.97,99.55,97.77,98.93,3510751
2011-06-28,99.48,101.0,99.17,100.93,4835513
2011-06-29,101.41,103.43,101.12,102.88,5406350
2011-06-30,103.4,104.64,103.23,104.04,4470667
2011-07-01,104.04,105.77,102.21,105.52,3215142
2011-07-05,105.6,107.5,105.49,106.75,3295691
2011-07-06,106.91,106.99,105.33,105.79,2519220
2011-07-07,107.1,107.89,106.59,107.6,2670008
2011-07-08,106.05,107.13,105.5,106.27,2494985
2011-07-11,104.52,105.92,101.37,101.76,4933861
2011-07-12,101.25,103.94,100.95,102.03,3489713
2011-07-13,102.7,104.69,102.57,102.97,2547842
2011-07-14,103.58,104.96,103.2,103.36,4243697
2011-07-15,103.83,105.55,103.49,105.34,4754726
2011-07-18,104.63,105.57,104.5,105.26,3131364
2011-07-19,106.24,107.6,105.86,106.97,3122804
2011-07-20,107.05,107.29,105.85,106.19,2779396
2011-07-21,107.19,109.08,106.92,108.08,4699103
2011-07-22,108.0,108.23,106.69,107.88,1932628
2011-07-25,106.05,108.1,105.86,107.37,2984760
2011-07-26,105.76,107.07,104.53,104.83,5493027
2011-07-27,102.52,102.52,100.65,101.4,7628442
2011-07-28,101.4,101.78,99.63,99.75,5599508
2011-07-29,98.69,99.54,98.04,98.18,7001730
2011-08-01,99.73,99.94,96.94,97.78,6016481
2011-08-02,96.93,97.57,94.49,94.6,6867893
2011-08-03,94.8,95.1,92.0,94.23,7073777
2011-08-04,92.27,92.54,87.65,87.76,9312911
2011-08-05,89.67,90.22,84.84,87.34,8648922
2011-08-08,84.68,85.76,79.18,79.63,12387469
2011-08-09,82.06,84.62,78.77,84.41,14110591
2011-08-10,82.89,84.53,80.8,81.25,8710065
2011-08-11,81.75,85.97,81.64,84.8,10279938
2011-08-12,85.79,86.68,84.0,85.12,4587580
2011-08-15,85.67,89.37,85.63,89.31,5968262
2011-08-16,87.8,88.55,85.67,87.37,6484589
2011-08-17,89.54,90.49,87.3,87.61,5463371
2011-08-18,85.34,85.34,81.52,82.75,9310789
2011-08-19,81.62,83.72,80.65,80.91,7234638
2011-08-22,83.31,83.72,79.59,80.46,5306561
2011-08-23,80.57,82.71,79.78,82.69,6752337
2011-08-24,82.3,83.3,81.47,83.08,5113769
2011-08-25,83.49,84.13,80.76,81.28,4374588
2011-08-26,80.57,82.58,79.11,82.09,4850906
2011-08-29,83.48,85.16,82.36,85.06,4764693
2011-08-30,84.47,86.54,83.87,86.1,5867466
2011-08-31,86.98,88.61,85.76,86.74,5976467
2011-09-01,87.11,88.7,85.83,85.9,3866146
2011-09-02,83.51,84.48,82.83,83.41,4039035
2011-09-06,80.91,82.84,79.42,82.72,5034200
2011-09-07,83.91,84.57,83.42,84.54,4402246
2011-09-08,84.08,85.26,82.75,83.21,4387014
2011-09-09,82.12,82.62,79.75,80.54,5438145
2011-09-12,78.99,80.42,77.15,79.54,9064905
2011-09-13,79.92,81.0,78.82,80.45,6162741
2011-09-14,80.99,83.79,79.58,82.83,5277635
2011-09-15,83.95,84.59,82.96,84.41,3805276
2011-09-16,84.88,85.05,82.35,83.32,6627941
2011-09-19,81.87,82.99,80.84,82.46,3962399
2011-09-20,83.15,83.93,80.59,80.78,5378474
2011-09-21,80.66,80.78,76.21,76.32,6619757
2011-09-22,73.3,73.91,70.46,71.9,11031569
2011-09-23,70.63,73.76,69.9,72.26,7737986
2011-09-26,72.85,77.18,71.64,76.99,8509880
2011-09-27,79.29,81.06,77.98,78.45,7914569
2011-09-28,77.6,78.84,74.74,74.99,4906516
2011-09-29,77.24,77.35,73.84,75.35,5291729
2011-09-30,73.16,73.77,71.32,71.5,7932319
2011-10-03,71.39,71.73,68.33,68.58,8013133
2011-10-04,67.47,73.53,66.36,73.26,10501076
2011-10-05,74.74,76.1,74.0,75.72,7780078
2011-10-06,76.15,79.54,75.83,78.56,6680048
2011-10-07,78.96,79.53,76.61,77.25,6198568
