Date,Open,High,Low,Close,Volume
2011-01-03,32.69,34.14,32.69,33.82,411801
2011-01-04,33.74,33.82,33.12,33.26,305574
2011-01-05,33.2,33.81,33.06,33.29,341980
2011-01-06,33.36,34.35,33.22,34.31,476029
2011-01-07,34.18,34.46,33.88,34.1,349774
2011-01-10,34.02,34.09,33.14,33.15,409969
2011-01-11,33.26,33.76,33.0,33.15,353523
2011-01-12,33.25,33.33,32.32,32.61,679921
2011-01-13,32.55,33.42,32.34,32.82,367188
2011-01-14,32.98,34.5,32.81,34.5,604431
2011-01-18,34.49,35.63,34.12,35.43,613889
2011-01-19,35.5,35.87,33.1,33.3,1073265
2011-01-20,33.38,33.9,32.94,33.82,503015
2011-01-21,33.96,34.12,33.22,33.28,274331
2011-01-24,33.26,33.77,33.15,33.37,401318
2011-01-25,33.35,33.71,33.0,33.67,282790
2011-01-26,33.75,34.94,33.75,34.47,407575
2011-01-27,34.46,35.42,34.45,34.87,520748
2011-01-28,34.91,34.91,33.36,33.45,361161
2011-01-31,33.4,34.2,33.4,33.68,256977
2011-02-01,33.69,34.0,33.4,33.7,497339
2011-02-02,33.57,34.85,33.57,34.57,375205
2011-02-03,34.59,34.83,33.9,34.71,308817
2011-02-04,34.74,34.88,34.26,34.47,267845
2011-02-07,34.5,34.89,34.17,34.4,192577
2011-02-08,34.43,35.31,34.38,34.95,342974
2011-02-09,34.87,35.27,34.45,34.45,498524
2011-02-10,34.45,36.49,34.05,36.49,672932
2011-02-11,36.84,36.91,35.2,35.31,1036075
2011-02-14,36.1,38.1,35.93,37.71,2605260
2011-02-15,37.43,37.93,37.1,37.11,454916
2011-02-16,37.26,37.89,36.7,37.7,472866
2011-02-17,37.63,38.09,37.46,37.67,734301
2011-02-18,37.97,37.97,36.76,37.48,520653
2011-02-22,37.06,37.3,36.08,36.61,599977
2011-02-23,36.46,36.79,34.77,34.78,891319
2011-02-24,36.55,36.64,35.55,35.95,487227
2011-02-25,36.26,37.0,36.01,37.0,340054
2011-02-28,37.18,37.46,35.97,36.27,551558
2011-03-01,36.43,36.56,36.01,36.19,344688
2011-03-02,36.25,36.54,35.97,36.32,230249
2011-03-03,36.42,37.6,36.21,37.49,286497
2011-03-04,37.35,38.01,37.09,38.0,292617
2011-03-07,38.05,38.2,37.28,38.05,540094
