Date,Open,High,Low,Close,Volume
2011-01-03,83.9,84.99,83.86,84.75,702335
2011-01-04,84.65,84.65,83.06,83.72,1179139
2011-01-05,83.52,84.12,82.37,82.6,1501269
2011-01-06,82.78,83.33,82.35,82.86,689786
2011-01-07,83.27,83.27,81.69,82.67,1220846
2011-01-10,83.15,83.48,82.34,82.62,1542040
2011-01-11,82.86,83.73,82.72,83.24,1087722
2011-01-12,83.62,83.82,82.94,83.13,963595
2011-01-13,83.27,83.96,83.0,83.61,988781
2011-01-14,83.44,84.62,83.39,84.28,720053
2011-01-18,84.1,84.99,83.99,84.94,715434
2011-01-19,85.0,85.0,83.08,83.11,855817
2011-01-20,82.7,83.0,81.74,81.89,1209245
2011-01-21,82.27,82.86,81.74,82.29,759987
2011-01-24,82.31,84.06,82.31,83.3,1895879
2011-01-25,82.99,86.15,82.41,86.09,2261834
2011-01-26,86.0,86.05,84.81,84.87,1446108
2011-01-27,84.72,86.17,84.55,85.7,819514
2011-01-28,85.59,86.77,84.34,84.46,901040
2011-01-31,84.61,85.28,84.1,84.73,850996
2011-02-01,85.08,85.63,84.25,84.67,1008718
2011-02-02,84.65,85.0,82.95,83.83,1082017
2011-02-03,83.91,84.47,83.25,83.94,571456
2011-02-04,84.21,84.56,83.37,84.11,508943
2011-02-07,84.13,84.56,83.75,83.97,499177
2011-02-08,83.91,84.37,83.81,84.17,647886
2011-02-09,84.17,84.61,83.77,84.46,630602
2011-02-10,84.04,85.8,83.74,85.34,848416
2011-02-11,85.23,86.51,85.08,85.83,690510
2011-02-14,85.74,85.75,84.93,85.28,534828
2011-02-15,85.15,85.44,84.28,84.55,622898
2011-02-16,84.72,85.43,84.26,84.57,571690
2011-02-17,84.34,85.27,84.27,85.12,631358
2011-02-18,85.3,85.42,84.51,85.03,726872
2011-02-22,84.76,85.22,83.76,84.05,946148
2011-02-23,83.82,84.26,81.73,82.65,1280250
2011-02-24,82.66,82.87,80.35,81.12,1430973
2011-02-25,81.24,82.15,81.1,81.7,664554
2011-02-28,81.76,82.21,80.42,82.12,1154220
2011-03-01,82.35,82.57,80.11,80.44,783281
2011-03-02,80.64,81.16,79.25,79.82,1054537
2011-03-03,80.12,81.87,80.12,81.75,569510
2011-03-04,81.55,82.38,80.14,80.92,1113333
2011-03-07,81.26,81.8,79.56,80.0,681360
2011-03-08,80.22,82.35,79.8,81.39,1074587
2011-03-09,81.22,82.3,80.56,81.85,700121
2011-03-10,80.77,81.94,80.63,81.68,941737
2011-03-11,81.31,83.26,81.31,82.76,802564
2011-03-14,82.28,83.25,81.09,81.88,872660
2011-03-15,80.24,82.48,80.24,82.29,1182515
2011-03-16,81.92,82.2,79.74,80.66,1124846
2011-03-17,81.76,82.13,80.5,80.75,771947
2011-03-18,81.58,81.78,80.85,80.85,843310
2011-03-21,81.68,82.88,81.43,82.19,835844
2011-03-22,82.08,82.57,81.61,82.49,673948
2011-03-23,82.4,83.14,81.67,83.0,937351
2011-03-24,83.17,83.91,82.65,83.7,825261
2011-03-25,84.0,84.69,83.76,83.85,1177711
2011-03-28,84.0,84.3,83.54,83.67,606169
2011-03-29,83.66,84.41,83.37,83.87,644277
2011-03-30,84.36,84.67,83.73,84.19,1106974
2011-03-31,84.09,84.45,83.56,83.99,713526
2011-04-01,84.5,86.32,84.35,85.39,1636218
2011-04-04,85.38,86.5,85.15,85.54,743749
2011-04-05,85.45,85.82,85.06,85.19,601912
2011-04-06,85.92,86.05,85.18,85.5,866920
2011-04-07,85.5,86.27,85.05,85.3,804753
2011-04-08,85.49,85.59,84.59,84.98,661948
2011-04-11,85.07,85.58,84.47,84.66,647488
2011-04-12,84.11,84.7,83.54,83.88,584500
2011-04-13,84.15,84.33,83.3,83.9,548942
2011-04-14,83.69,84.72,83.13,84.3,491180
2011-04-15,84.45,86.04,84.1,85.7,1338658
2011-04-18,84.85,84.96,83.45,84.3,1329069
2011-04-19,84.28,85.54,83.99,85.06,1210374
2011-04-20,85.6,86.22,85.18,85.8,1349095
2011-04-21,84.1,84.25,82.37,83.69,2471527
2011-04-22,84.1,84.25,82.37,83.69,2471527
2011-04-25,83.55,83.93,82.59,83.18,1010346
2011-04-26,83.69,83.69,82.51,82.66,1002408
2011-04-27,82.63,82.71,81.47,82.07,1756297
2011-04-28,81.88,82.83,81.45,82.73,1234328
2011-04-29,82.79,83.11,81.97,82.29,845773
2011-05-02,82.68,83.32,82.52,82.97,823323
2011-05-03,82.78,83.25,82.37,83.24,646066
2011-05-04,83.49,83.94,82.68,83.33,1384859
2011-05-05,83.49,83.94,82.68,83.33,1384859
2011-05-06,84.36,84.82,83.48,84.02,1407681
2011-05-09,83.97,84.49,83.49,84.09,580248
2011-05-10,84.32,85.91,84.15,85.58,981175
2011-05-11,85.44,85.59,84.08,84.77,666252
2011-05-12,84.71,86.32,84.14,86.12,1081741
2011-05-13,86.1,86.42,85.5,86.2,1003001
2011-05-16,85.63,86.46,85.15,85.89,783060
2011-05-17,85.69,86.32,85.28,85.6,1045196
2011-05-18,85.23,86.16,84.91,86.04,647371
2011-05-19,86.2,86.84,85.76,86.51,575356
2011-05-20,86.72,86.72,85.65,85.79,704278
2011-05-23,84.81,85.61,84.54,85.32,659220
2011-05-24,85.4,85.55,83.42,83.68,1240528
2011-05-25,83.49,84.02,83.17,83.96,1014276
2011-05-26,83.54,84.31,83.3,83.98,887576
2011-05-27,84.2,86.29,84.1,85.75,1001010
2011-05-31,86.22,87.87,86.15,87.84,2690643
2011-06-01,87.73,87.8,86.06,86.06,1052993
2011-06-02,86.11,86.31,84.8,85.36,933903
2011-06-03,84.61,84.68,83.69,83.97,753459
2011-06-06,83.8,84.3,82.55,82.74,1005631
2011-06-07,83.54,83.86,82.87,83.13,766692
2011-06-08,82.9,82.9,81.87,82.07,778501
2011-06-09,82.07,82.79,81.68,82.27,1014456
2011-06-10,82.04,82.4,81.23,81.57,913649
2011-06-13,81.54,82.17,80.81,81.38,784968
2011-06-14,81.79,82.84,81.79,82.6,661508
2011-06-15,81.87,82.09,80.7,81.32,1197393
2011-06-16,81.47,82.15,80.7,82.01,1237034
2011-06-17,82.64,83.93,82.27,82.5,956067
2011-06-20,82.39,83.24,82.33,82.9,748977
2011-06-21,83.48,83.5,82.98,83.37,624732
2011-06-22,83.27,83.55,82.85,83.0,929030
2011-06-23,82.52,84.87,82.03,84.75,1483432
2011-06-24,84.59,84.77,83.66,84.13,1277600
2011-06-27,83.17,83.4,81.83,82.88,1751678
2011-06-28,83.0,83.67,82.76,83.51,1187891
2011-06-29,83.66,83.66,82.45,82.66,1484972
2011-06-30,82.95,84.0,82.7,83.87,1338893
2011-07-01,84.11,85.9,83.9,85.69,925517
2011-07-05,85.5,85.5,84.4,84.81,849088
2011-07-06,84.8,85.66,84.51,85.33,716327
2011-07-07,85.98,86.5,85.84,85.96,1081007
2011-07-08,84.8,85.11,84.44,85.09,1101511
2011-07-11,84.32,84.57,83.78,84.21,895190
2011-07-12,83.99,84.43,83.61,83.76,967291
2011-07-13,83.91,84.63,83.5,83.63,663851
2011-07-14,84.0,84.69,83.06,83.12,914094
2011-07-15,83.4,83.4,82.56,83.2,929941
2011-07-18,83.19,84.11,82.99,83.41,1661472
2011-07-19,83.89,85.23,83.58,85.07,1099948
2011-07-20,85.23,85.32,84.16,84.83,1220391
2011-07-21,81.49,82.78,80.57,81.0,4085673
2011-07-22,81.16,81.4,79.47,79.64,1874461
2011-07-25,78.85,80.16,78.36,79.81,1482315
2011-07-26,79.65,79.65,78.73,78.94,1213147
2011-07-27,78.49,78.67,77.43,77.64,2632686
2011-07-28,77.9,78.36,77.01,77.21,1216034
2011-07-29,76.56,77.99,76.06,77.17,1566593
2011-08-01,77.32,77.5,76.33,76.72,1474262
2011-08-02,76.37,76.99,74.19,74.2,1631033
2011-08-03,74.35,75.59,73.26,75.52,2275594
2011-08-04,74.72,75.13,74.09,74.22,3095894
2011-08-05,74.91,75.51,73.18,74.93,3028816
2011-08-08,73.48,74.22,70.33,70.89,2309879
2011-08-09,71.91,73.34,69.78,73.19,2712395
2011-08-10,72.23,72.71,70.39,70.53,2314191
2011-08-11,70.75,74.29,70.33,73.41,1506271
2011-08-12,73.67,76.07,73.64,75.76,1701926
2011-08-15,76.19,76.2,74.32,75.22,1132014
2011-08-16,74.36,75.2,73.77,74.79,1274654
2011-08-17,74.82,74.82,73.18,73.55,1362760
2011-08-18,72.09,72.2,70.89,71.03,2390153
2011-08-19,70.27,71.73,69.47,69.57,1865086
2011-08-22,70.66,71.9,70.52,70.87,1418471
2011-08-23,71.05,72.7,70.6,72.69,1076174
2011-08-24,72.59,73.87,72.1,73.82,962212
2011-08-25,74.03,74.37,72.28,72.48,690186
2011-08-26,72.41,73.98,71.25,73.67,1112552
2011-08-29,74.47,75.44,74.47,75.4,1057807
2011-08-30,75.19,75.73,74.63,75.18,945543
2011-08-31,75.44,76.24,75.13,75.74,750764
2011-09-01,75.58,75.76,74.01,74.08,950976
2011-09-02,73.18,73.88,72.52,72.61,683417
2011-09-06,70.8,72.5,70.7,72.42,858778
2011-09-07,73.31,74.37,73.0,74.33,700743
2011-09-08,74.1,74.65,73.67,74.0,1420173
2011-09-09,73.38,73.61,72.24,72.86,1259079
2011-09-12,72.37,73.45,72.0,73.36,1255867
2011-09-13,73.36,74.31,73.06,74.0,878524
2011-09-14,74.49,77.29,74.28,76.31,1372327
2011-09-15,76.62,76.81,75.31,75.7,1688463
2011-09-16,75.75,76.02,74.9,75.37,1303414
2011-09-19,74.4,74.96,73.78,74.67,952226
2011-09-20,74.97,75.19,74.07,74.23,1021672
2011-09-21,74.3,74.5,71.43,71.43,1100219
2011-09-22,69.74,71.16,69.52,69.99,2249034
2011-09-23,70.0,72.44,69.69,71.38,1322344
2011-09-26,72.1,76.49,71.87,76.28,2315780
2011-09-27,77.91,78.24,75.6,76.19,1549883
2011-09-28,76.28,77.54,75.8,76.4,1952931
2011-09-29,77.59,77.86,74.95,76.3,1776694
2011-09-30,75.45,76.47,74.26,74.32,1677934
2011-10-03,74.03,75.34,73.28,73.85,1951542
2011-10-04,73.06,75.97,73.06,75.87,1816164
2011-10-05,75.73,79.36,75.63,79.16,2124177
2011-10-06,79.15,80.8,78.59,79.78,1585166
2011-10-07,80.0,80.48,78.69,79.64,1157331
2011-10-10,80.47,81.38,78.9,79.77,1597045
2011-10-11,79.69,80.65,79.08,79.63,1433501
2011-10-12,80.22,80.99,79.72,80.14,1025140
2011-10-13,79.59,79.85,78.57,79.54,736453
2011-10-14,80.15,80.34,79.01,80.04,691535
2011-10-17,79.28,80.01,77.53,77.71,816664
2011-10-18,77.62,79.87,76.55,79.52,1607409
2011-10-19,79.38,79.38,77.13,77.33,1178818
2011-10-20,77.86,79.75,77.52,79.52,1366640
2011-10-21,81.59,82.47,80.59,81.99,1587631
2011-10-24,81.59,81.94,80.65,81.58,1133691
2011-10-25,81.41,86.45,81.09,83.15,3251444
2011-10-26,83.82,83.98,81.68,81.85,1666556
2011-10-27,83.94,84.05,82.36,82.67,2201320
2011-10-28,82.94,85.05,82.7,84.24,1957611
2011-10-31,82.99,83.75,82.64,82.71,1372500
2011-11-01,80.86,82.82,80.28,81.63,1510918
2011-11-02,82.64,83.63,82.15,83.54,1645214
2011-11-03,84.0,86.18,83.44,85.87,1552627
2011-11-04,84.98,86.47,84.84,86.28,1086892
2011-11-07,86.33,86.82,85.05,86.37,800622
2011-11-08,86.45,87.3,85.83,86.72,1270957
2011-11-09,85.28,86.53,84.58,84.95,1115127
2011-11-10,85.7,86.49,85.08,85.88,824290
2011-11-11,86.5,87.25,86.23,86.58,663215
2011-11-14,86.12,86.57,85.3,85.99,847985
2011-11-15,85.83,86.49,85.49,86.02,703147
2011-11-16,85.0,86.28,84.67,84.7,823842
2011-11-17,84.91,85.01,83.14,83.98,1047212
2011-11-18,84.48,84.86,83.51,84.12,740164
2011-11-21,83.42,84.43,83.19,84.02,870982
2011-11-22,83.93,85.76,83.66,84.71,1289430
2011-11-23,84.22,84.29,83.1,83.14,1189103
2011-11-25,83.14,84.16,82.67,83.64,354818
2011-11-28,85.16,85.31,83.53,83.63,1289485
2011-11-29,84.09,84.96,83.42,84.26,1041923
2011-11-30,85.48,86.85,84.35,86.83,1107529
2011-12-01,86.39,86.68,85.5,86.0,715293
2011-12-02,86.36,86.38,84.91,85.87,909345
2011-12-05,86.66,86.9,85.12,85.6,931472
2011-12-06,86.03,87.0,85.43,86.3,834662
2011-12-07,86.0,86.5,85.09,86.24,2119609
2011-12-08,86.05,86.47,85.32,85.54,848541
2011-12-09,85.34,86.9,84.47,86.36,782121
2011-12-12,86.05,86.07,84.12,84.93,688533
2011-12-13,85.46,85.88,83.41,83.8,682570
2011-12-14,83.73,84.47,83.12,83.54,775619
2011-12-15,83.96,84.14,82.35,83.85,820942
2011-12-16,84.65,85.47,84.02,84.64,1008670
2011-12-19,85.11,85.61,84.15,84.3,689024
2011-12-20,85.11,87.0,85.11,86.85,743021
2011-12-21,87.09,87.61,86.41,87.45,860674
2011-12-22,87.42,88.87,86.95,88.52,814254
2011-12-23,88.92,90.17,88.37,89.68,698628
2011-12-27,89.43,90.41,89.21,90.08,394805
2011-12-28,90.09,90.42,89.09,89.21,434470
2011-12-29,89.42,89.75,89.18,89.64,394737
2011-12-30,89.67,89.8,89.15,89.27,376232
2012-01-03,90.4,93.31,90.21,91.0,1693650
2012-01-04,90.81,92.32,90.81,91.93,1528558
2012-01-05,91.2,92.76,90.98,92.64,1373331
2012-01-06,92.43,92.96,91.93,92.5,779526
2012-01-09,92.84,93.5,92.41,93.22,593291
2012-01-10,94.83,95.31,93.58,94.5,1545321
2012-01-11,94.45,95.96,93.97,95.82,1397685
2012-01-12,95.57,96.38,94.88,96.33,768290
2012-01-13,95.16,95.63,94.17,95.13,1169743
2012-01-17,95.6,96.24,95.08,95.37,498554
2012-01-18,95.53,96.51,94.86,96.2,959771
2012-01-19,96.04,97.95,94.3,97.27,1198939
2012-01-20,97.07,97.25,95.51,95.59,931679
2012-01-23,95.67,96.04,94.15,95.07,651398
2012-01-24,94.47,95.76,94.42,95.42,726527
2012-01-25,95.23,96.4,94.53,96.06,1500830
2012-01-26,96.53,99.6,95.25,98.03,2669046
2012-01-27,97.47,98.5,95.43,97.2,1494645
2012-01-30,96.46,97.27,95.79,96.76,1007015
2012-01-31,97.56,98.8,95.93,97.53,1020734
2012-02-01,97.88,98.07,96.21,97.52,1517750
2012-02-02,97.56,97.88,96.82,96.9,988832
2012-02-03,97.81,98.64,97.56,97.77,1233317
2012-02-06,97.61,97.98,96.96,97.74,708366
2012-02-07,97.72,99.22,97.5,98.48,705379
2012-02-08,98.26,99.3,98.09,98.96,653475
2012-02-09,99.08,99.73,98.48,99.5,704256
2012-02-10,98.61,98.9,97.81,98.37,1244324
2012-02-13,98.94,99.48,98.28,99.15,770604
2012-02-14,98.83,100.0,98.81,99.8,965825
2012-02-15,99.9,99.95,98.84,99.22,848016
2012-02-16,99.1,99.99,98.9,99.74,549824
2012-02-17,100.0,100.46,99.57,100.32,861703
2012-02-21,100.28,101.39,99.99,100.58,689872
2012-02-22,100.64,100.87,99.52,99.97,711930
2012-02-23,99.62,100.99,99.1,100.96,891883
2012-02-24,100.97,101.2,100.6,101.06,890197
2012-02-27,100.26,103.57,100.0,103.33,1346207
2012-02-28,103.34,103.49,101.71,102.37,769289
2012-02-29,102.47,103.32,102.17,103.15,1085326
2012-03-01,103.24,103.62,102.82,103.56,772868
2012-03-02,103.4,103.63,102.27,102.44,666939
2012-03-05,102.24,103.69,102.24,102.69,956522
2012-03-06,101.86,103.38,101.8,103.1,1441413
2012-03-07,103.36,106.56,102.82,106.15,2011880
2012-03-08,106.49,106.49,104.83,105.45,1802980
2012-03-09,105.9,106.42,105.36,106.03,1230952
2012-03-12,106.52,108.03,105.61,107.01,1088107
2012-03-13,107.4,107.75,107.0,107.24,1147928
2012-03-14,107.02,107.43,106.6,107.19,1207964
2012-03-15,107.39,107.91,106.57,107.86,928221
2012-03-16,108.0,108.24,106.56,106.64,1187827
2012-03-19,106.65,107.89,106.04,107.57,970858
2012-03-20,107.21,107.4,106.48,107.17,559955
2012-03-21,107.33,107.59,106.77,107.07,433604
2012-03-22,106.72,107.52,106.21,107.27,743757
2012-03-23,106.81,107.89,105.58,107.6,723622
2012-03-26,107.94,109.66,107.43,109.6,686357
2012-03-27,109.86,110.79,109.34,109.6,947330
2012-03-28,109.56,109.96,107.74,108.36,825841
2012-03-29,108.0,109.29,107.97,109.21,1051544
2012-03-30,109.61,109.93,108.29,108.67,1139231
2012-04-02,107.45,110.03,107.29,109.81,1036373
2012-04-03,109.88,109.88,108.64,109.4,696832
2012-04-04,108.62,110.0,108.27,109.93,777812
2012-04-05,110.53,114.44,110.53,110.77,2398104
2012-04-09,113.54,114.18,111.15,111.83,2445097
2012-04-10,111.82,111.83,108.96,108.99,1342897
2012-04-11,110.28,115.27,110.01,114.82,2866349
2012-04-12,114.91,116.0,113.7,115.58,1337571
2012-04-13,115.43,117.1,115.37,116.62,1095807
2012-04-16,117.66,117.86,115.93,117.37,1189593
2012-04-17,117.92,118.44,117.0,117.59,898378
2012-04-18,117.19,117.7,116.65,117.15,981352
2012-04-19,117.27,118.02,114.81,116.73,1056913
2012-04-20,116.89,119.12,116.89,118.39,1042728
2012-04-23,117.35,118.18,116.35,118.02,827196
2012-04-24,117.76,119.31,117.59,118.16,964500
2012-04-25,119.13,121.0,118.71,120.3,964663
2012-04-26,120.0,121.59,119.42,120.45,1194376
2012-04-27,120.96,121.92,120.57,120.99,1287685
2012-04-30,120.51,121.09,119.86,120.28,818520
2012-05-01,120.66,122.12,119.95,120.59,1008030
2012-05-02,119.93,121.89,119.93,121.54,1087337
2012-05-03,121.77,123.27,121.3,121.9,1058371
2012-05-04,121.48,121.48,120.51,121.11,1082152
2012-05-07,120.96,121.79,120.43,121.63,788168
2012-05-08,120.83,123.35,119.84,122.98,2052902
2012-05-09,122.17,124.47,121.4,124.0,1698147
2012-05-10,124.45,125.2,122.72,122.97,1899897
2012-05-11,122.59,123.29,122.18,122.72,1527701
2012-05-14,121.98,122.57,119.98,120.54,1688797
2012-05-15,120.28,120.4,117.76,118.43,2927679
2012-05-16,119.55,119.62,117.75,118.03,1221476
2012-05-17,118.23,118.23,114.68,115.57,1899552
2012-05-18,116.0,117.17,115.81,116.07,2152587
2012-05-21,115.87,119.11,115.68,118.82,1263584
2012-05-22,119.3,120.3,118.7,119.14,1329266
2012-05-23,119.14,125.0,118.71,124.3,2500433
2012-05-24,124.51,125.52,123.71,125.33,1825365
2012-05-25,124.55,126.43,124.55,126.31,1105002
2012-05-29,127.13,129.54,126.91,129.47,1365168
2012-05-30,128.35,128.81,126.36,127.5,1314987
2012-05-31,127.79,130.25,126.26,129.64,1435914
2012-06-01,127.79,128.22,124.57,124.61,2584471
2012-06-04,124.73,126.05,123.04,125.87,1521890
2012-06-05,125.64,128.56,124.74,128.28,1438893
2012-06-06,126.61,129.01,126.21,128.83,2872293
2012-06-07,129.48,131.44,129.13,130.07,1611754
2012-06-08,129.74,132.46,129.07,131.42,1532530
2012-06-11,132.43,132.5,130.08,130.21,939777
