Date,Open,High,Low,Close,Volume
2011-01-03,66.2,67.28,66.2,66.49,90971
2011-01-04,66.74,67.16,65.53,66.4,80496
2011-01-05,66.21,67.75,65.96,67.3,105498
2011-01-06,67.19,67.4,66.31,66.35,91322
2011-01-07,66.15,66.68,65.81,66.18,69121
2011-01-10,66.05,67.35,65.76,66.88,118918
2011-01-11,66.38,67.12,65.79,66.47,88171
2011-01-12,66.5,66.5,65.33,65.94,169204
2011-01-13,65.7,66.34,65.7,65.92,81297
2011-01-14,65.71,66.89,65.46,66.76,134991
2011-01-18,66.28,67.49,66.28,67.49,272605
2011-01-19,67.5,67.63,67.06,67.15,175451
2011-01-20,67.05,67.46,66.66,67.0,98082
2011-01-21,67.35,67.61,66.97,67.25,81420
2011-01-24,67.31,68.47,67.27,68.11,61311
2011-01-25,67.93,68.33,66.75,67.41,156159
2011-01-26,67.34,68.5,67.34,68.13,79768
2011-01-27,67.88,69.96,67.88,69.3,140309
2011-01-28,69.32,70.0,68.36,68.6,126522
2011-01-31,68.91,69.73,68.14,68.95,130700
2011-02-01,69.5,69.8,68.04,69.02,148362
2011-02-02,69.02,70.2,68.78,68.93,141925
2011-02-03,68.97,69.52,67.78,68.35,118734
2011-02-04,67.86,69.14,67.17,68.72,82980
2011-02-07,68.87,69.83,68.65,69.11,104265
2011-02-08,68.98,69.46,68.32,68.66,91006
2011-02-09,68.27,68.43,67.22,67.81,141865
2011-02-10,67.82,68.39,67.52,68.15,46625
2011-02-11,68.04,68.7,67.67,68.38,93464
2011-02-14,68.46,68.74,67.92,68.67,52450
2011-02-15,68.43,68.75,68.08,68.51,73377
2011-02-16,68.83,68.99,68.27,68.66,72738
2011-02-17,68.66,69.2,68.5,68.97,45440
2011-02-18,68.78,72.21,68.78,71.43,205554
2011-02-22,72.09,72.71,70.81,70.86,127928
2011-02-23,71.13,71.63,69.67,70.27,109413
2011-02-24,70.7,71.18,69.86,69.94,139325
2011-02-25,70.2,71.57,70.0,71.57,75101
2011-02-28,72.38,73.0,71.62,71.69,75235
2011-03-01,72.11,72.5,70.43,70.88,155440
2011-03-02,70.99,72.01,70.99,71.66,65467
2011-03-03,72.36,73.22,72.11,72.9,65967
2011-03-04,73.05,73.11,72.01,73.1,94146
2011-03-07,73.53,73.65,71.5,72.24,82117
2011-03-08,72.36,73.96,71.85,73.26,79178
2011-03-09,73.31,73.43,72.36,72.75,74680
2011-03-10,72.16,72.6,70.88,71.5,80853
2011-03-11,71.61,72.32,70.93,72.09,96483
2011-03-14,71.8,72.08,71.0,71.02,63723
2011-03-15,70.16,70.8,69.44,70.2,113326
2011-03-16,70.24,70.68,69.69,69.77,87942
2011-03-17,70.63,70.63,70.12,70.12,52336
2011-03-18,70.67,70.99,70.4,70.65,119486
2011-03-21,71.61,72.25,70.68,71.34,87081
2011-03-22,71.5,71.56,70.43,71.14,264668
2011-03-23,71.21,71.34,70.2,70.57,76450
2011-03-24,70.74,71.57,70.18,71.29,57985
2011-03-25,71.38,71.95,71.19,71.51,68961
2011-03-28,71.84,71.86,70.85,71.11,99550
2011-03-29,70.98,72.62,70.98,71.96,88292
2011-03-30,72.43,72.43,71.42,71.57,112239
2011-03-31,71.56,71.72,71.21,71.59,127343
2011-04-01,71.75,72.67,71.54,72.65,121872
2011-04-04,72.99,73.61,72.79,73.54,58543
2011-04-05,73.61,73.89,73.31,73.71,99289
2011-04-06,74.16,74.35,73.83,74.08,61798
2011-04-07,74.0,74.99,73.61,74.45,111057
2011-04-08,74.73,74.73,73.22,73.75,40572
2011-04-11,73.85,74.42,73.12,73.77,41273
2011-04-12,73.56,73.83,73.12,73.82,55540
2011-04-13,74.0,74.13,73.26,73.7,85031
2011-04-14,73.51,73.86,72.99,73.68,53201
2011-04-15,73.91,74.75,73.41,74.38,49400
2011-04-18,74.01,74.38,72.17,73.38,106166
2011-04-19,73.74,73.86,72.84,73.62,63830
2011-04-20,74.05,75.0,74.05,74.98,59790
2011-04-21,75.0,75.63,74.7,75.4,54735
2011-04-22,75.0,75.63,74.7,75.4,54735
2011-04-25,75.54,75.74,74.84,75.41,71603
2011-04-26,75.45,77.68,75.04,76.71,115056
2011-04-27,76.83,77.16,76.23,76.8,144462
2011-04-28,76.95,77.38,76.71,76.94,79834
2011-04-29,77.12,77.99,76.68,77.71,121238
2011-05-02,78.0,78.49,77.66,77.67,79852
2011-05-03,77.67,80.34,77.67,79.9,105196
2011-05-04,79.84,80.2,78.46,78.56,135789
2011-05-05,79.84,80.2,78.46,78.56,135789
2011-05-06,77.99,79.1,77.58,78.18,71494
2011-05-09,77.9,79.0,77.77,78.75,59650
2011-05-10,78.79,79.87,78.79,79.7,99929
2011-05-11,79.54,79.95,78.85,79.16,100729
2011-05-12,79.16,80.34,78.74,80.18,132627
2011-05-13,80.21,80.29,79.45,79.75,63344
2011-05-16,79.61,80.0,79.57,79.83,61562
2011-05-17,80.37,81.31,80.19,80.75,227653
2011-05-18,81.05,81.28,80.37,81.05,151278
2011-05-19,81.32,81.65,80.33,81.34,120932
2011-05-20,80.71,81.75,80.26,81.08,110097
2011-05-23,80.66,80.95,80.01,80.67,173788
2011-05-24,80.71,81.04,80.01,80.38,89794
2011-05-25,80.05,81.05,79.6,80.88,74304
2011-05-26,80.69,81.47,80.13,81.26,93251
2011-05-27,81.5,81.9,80.79,81.44,84318
2011-05-31,82.0,82.36,80.76,81.5,1026944
2011-06-01,81.38,82.13,80.49,80.77,221158
2011-06-02,80.73,80.75,79.92,80.55,105004
2011-06-03,79.82,80.47,79.06,79.13,126770
2011-06-06,79.48,79.7,78.68,78.95,102565
2011-06-07,79.26,79.95,78.61,79.57,79477
2011-06-08,79.25,79.58,78.79,79.11,91516
2011-06-09,79.37,80.01,78.69,79.21,83917
2011-06-10,79.04,79.08,77.54,77.74,75762
2011-06-13,77.5,78.21,77.1,77.62,90832
2011-06-14,78.25,79.08,77.52,78.66,93801
2011-06-15,78.13,79.32,77.35,77.38,83371
2011-06-16,77.47,78.08,77.0,77.65,76381
2011-06-17,78.06,78.25,77.19,77.36,126195
2011-06-20,77.09,78.39,77.09,78.3,73268
2011-06-21,78.62,80.01,77.78,79.86,133332
2011-06-22,79.68,79.81,78.95,79.06,62026
2011-06-23,78.44,79.01,77.29,78.86,77272
2011-06-24,79.13,80.7,78.27,79.77,200067
2011-06-27,79.86,82.17,79.52,81.73,175495
2011-06-28,81.8,83.31,81.58,83.16,118609
2011-06-29,83.22,83.23,82.45,82.8,64725
2011-06-30,83.32,83.82,83.01,83.37,91788
2011-07-01,83.53,84.06,83.1,84.06,61718
2011-07-05,83.97,85.59,83.97,85.08,90252
2011-07-06,84.91,85.53,84.67,85.13,175439
2011-07-07,85.52,86.43,84.35,84.6,78650
2011-07-08,83.91,84.49,83.56,84.21,128754
2011-07-11,83.2,83.97,81.82,81.97,84258
2011-07-12,82.07,82.35,81.1,82.03,122681
2011-07-13,82.59,82.61,81.64,81.77,138197
2011-07-14,82.23,82.69,81.4,81.83,135484
2011-07-15,81.92,82.28,80.75,82.17,90097
2011-07-18,81.7,82.16,80.29,80.69,76668
2011-07-19,81.01,81.63,80.65,81.61,89642
2011-07-20,81.55,81.84,80.55,81.08,41370
2011-07-21,81.37,81.74,80.96,81.0,151799
2011-07-22,81.21,81.76,80.51,80.72,54260
2011-07-25,80.0,80.59,79.83,80.0,60642
2011-07-26,79.95,79.99,78.57,78.9,118105
2011-07-27,78.49,79.0,76.83,77.09,137125
2011-07-28,77.03,78.02,76.03,76.15,201054
2011-07-29,75.84,76.39,74.41,75.79,137281
2011-08-01,76.62,76.63,72.5,72.78,233660
2011-08-02,73.9,80.17,73.9,76.06,365955
2011-08-03,76.19,76.66,73.26,75.84,163780
2011-08-04,75.2,75.45,72.28,72.31,119857
2011-08-05,73.02,73.82,70.63,72.04,174522
2011-08-08,70.46,72.03,69.21,69.86,269098
2011-08-09,70.39,73.07,69.2,72.93,210256
2011-08-10,71.36,71.75,68.73,68.92,139031
2011-08-11,69.07,72.1,68.29,71.39,122808
2011-08-12,72.1,72.98,70.57,72.5,62116
2011-08-15,72.83,73.89,71.98,73.75,51491
2011-08-16,73.25,73.45,72.07,72.87,56632
2011-08-17,73.43,74.11,72.21,72.75,113972
2011-08-18,70.94,70.94,67.43,68.03,134116
2011-08-19,67.32,70.09,67.24,68.75,120359
2011-08-22,70.19,70.27,68.25,68.62,58126
2011-08-23,68.69,71.85,68.64,71.46,132058
2011-08-24,71.3,72.12,70.32,72.1,100463
2011-08-25,72.45,72.95,69.2,69.69,91731
2011-08-26,69.24,71.0,68.31,70.75,76063
2011-08-29,71.51,71.97,71.27,71.83,134329
2011-08-30,71.27,72.34,70.71,71.75,209290
2011-08-31,72.07,73.37,71.46,72.47,156238
2011-09-01,73.0,73.75,72.2,72.55,121332
2011-09-02,71.05,71.81,70.17,70.73,126812
2011-09-06,68.76,70.45,68.69,70.21,93169
2011-09-07,70.92,72.38,70.65,72.3,79925
2011-09-08,71.8,72.67,71.4,71.9,138240
2011-09-09,71.51,71.51,69.41,69.78,112625
2011-09-12,68.82,69.62,68.13,69.12,87577
2011-09-13,69.39,71.0,69.39,70.64,86902
2011-09-14,70.89,73.52,70.5,73.01,98709
2011-09-15,73.55,74.24,72.05,72.96,89194
2011-09-16,73.0,73.5,71.9,72.42,177924
2011-09-19,71.47,71.78,70.57,71.17,48919
2011-09-20,71.19,72.71,70.93,71.17,56332
2011-09-21,71.05,72.05,69.08,69.09,93345
2011-09-22,67.69,68.04,66.34,67.45,80264
2011-09-23,67.41,69.01,67.01,68.68,85777
2011-09-26,69.23,69.48,67.73,68.82,55584
2011-09-27,69.89,71.25,67.87,70.51,63859
2011-09-28,70.65,71.75,68.14,68.25,68986
2011-09-29,69.38,69.64,66.95,68.96,79980
2011-09-30,67.88,69.68,67.88,68.01,115702
2011-10-03,67.81,68.75,64.35,65.29,140412
2011-10-04,64.64,67.54,64.01,67.5,186715
2011-10-05,67.54,69.85,67.18,69.61,89467
2011-10-06,69.53,70.67,68.99,70.44,50723
2011-10-07,70.51,70.51,68.7,68.72,63606
2011-10-10,69.72,69.72,68.78,69.08,122556
2011-10-11,68.59,69.58,68.59,69.43,77622
2011-10-12,69.78,70.21,69.27,69.73,124454
2011-10-13,69.26,70.2,68.96,69.98,75140
2011-10-14,70.66,70.96,69.67,70.65,44507
2011-10-17,70.15,70.59,68.07,68.39,77505
2011-10-18,68.62,69.56,67.84,69.43,84233
2011-10-19,69.62,71.02,69.45,70.12,100318
2011-10-20,70.09,71.07,68.93,70.88,53569
2011-10-21,71.51,72.79,71.46,72.57,58878
2011-10-24,72.58,73.55,72.03,73.55,110964
2011-10-25,72.68,72.68,69.18,69.81,133355
2011-10-26,70.32,70.82,67.4,68.61,89982
2011-10-27,69.95,72.2,69.0,70.35,169533
2011-10-28,70.18,70.91,69.98,70.58,70758
2011-10-31,70.02,70.02,68.65,68.8,92481
2011-11-01,68.24,68.28,65.71,66.62,166392
2011-11-02,67.48,68.12,66.34,67.52,138652
2011-11-03,67.96,69.73,67.56,69.59,109895
2011-11-04,69.14,69.92,68.46,69.35,50177
2011-11-07,69.2,69.66,67.9,69.56,47199
2011-11-08,69.89,70.4,68.34,70.22,58312
2011-11-09,67.89,69.66,66.7,66.72,101892
2011-11-10,67.03,67.25,66.44,66.8,103416
2011-11-11,67.4,68.44,66.97,67.99,43154
2011-11-14,67.64,67.67,66.47,66.72,90461
2011-11-15,66.48,67.57,66.0,67.22,51198
2011-11-16,66.66,67.87,66.34,66.47,68783
2011-11-17,66.42,66.42,65.01,65.37,59000
2011-11-18,65.45,65.45,64.72,65.25,71463
2011-11-21,64.5,64.83,63.82,64.52,121888
2011-11-22,64.53,65.21,64.32,64.4,269214
2011-11-23,63.92,64.28,62.69,62.81,106699
2011-11-25,62.53,62.87,62.04,62.37,65616
2011-11-28,64.06,65.63,64.06,64.87,147961
2011-11-29,64.8,65.49,64.29,65.02,162460
2011-11-30,66.81,67.54,66.38,67.49,154846
2011-12-01,67.22,67.97,67.05,67.12,65891
2011-12-02,67.78,67.78,66.09,66.25,78061
