Date,Open,High,Low,Close,Volume
2011-01-03,27.2,27.4,26.92,26.94,15311014
2011-01-04,26.93,27.04,26.62,26.76,16433031
2011-01-05,26.6,26.88,26.39,26.82,18365835
2011-01-06,26.88,26.91,26.13,26.29,19431500
2011-01-07,26.28,26.45,25.65,26.09,19379652
2011-01-10,25.97,26.38,25.76,26.25,11305858
2011-01-11,26.45,26.65,25.98,26.05,12443254
2011-01-12,26.28,26.9,26.26,26.69,13039680
2011-01-13,26.9,27.26,26.7,26.75,13287452
2011-01-14,26.69,27.51,26.68,27.37,14203288
2011-01-18,27.52,27.68,27.13,27.31,12578462
2011-01-19,27.21,27.21,26.25,26.52,17963423
2011-01-20,26.26,26.82,26.21,26.7,12953375
2011-01-21,27.11,27.15,26.68,26.96,13245419
2011-01-24,26.42,27.06,26.42,26.84,11340538
2011-01-25,26.75,26.91,26.3,26.76,10517165
2011-01-26,26.8,27.01,26.6,26.6,9065940
2011-01-27,26.59,26.97,26.38,26.96,9952297
2011-01-28,26.96,27.28,26.79,26.8,17235889
2011-01-31,26.81,27.12,26.63,27.0,11578019
2011-02-01,27.06,27.73,27.0,27.66,10541005
2011-02-02,27.34,27.66,27.2,27.39,11926413
2011-02-03,27.33,27.52,27.14,27.47,8221343
2011-02-04,27.39,27.51,26.95,27.42,10319747
2011-02-07,27.47,28.06,27.44,27.95,9719802
2011-02-08,28.01,28.28,27.82,28.22,11660586
2011-02-09,28.09,28.28,27.86,28.04,7964284
2011-02-10,27.92,28.01,27.61,27.86,12202003
2011-02-11,27.55,28.54,27.45,28.37,10867607
2011-02-14,28.4,28.74,28.28,28.68,8141028
2011-02-15,28.59,28.85,28.51,28.65,8724567
2011-02-16,28.74,28.94,28.45,28.7,7707014
2011-02-17,28.62,28.69,28.36,28.36,7500861
2011-02-18,28.37,28.57,28.15,28.56,10144381
2011-02-22,27.91,28.12,27.59,27.69,13193162
2011-02-23,27.65,27.92,27.1,27.52,12197894
2011-02-24,27.42,27.7,27.2,27.5,11538276
2011-02-25,27.67,27.84,27.43,27.52,9871821
2011-02-28,27.61,27.82,27.52,27.73,7456773
2011-03-01,27.79,27.81,26.99,27.12,13034258
2011-03-02,27.19,27.26,26.75,26.85,10213174
2011-03-03,27.08,27.7,26.99,27.54,12907907
2011-03-04,27.44,27.53,26.7,27.04,19492334
