Date,Open,High,Low,Close,Volume
2011-01-03,23.48,23.79,23.37,23.75,5847803
2011-01-04,23.86,23.89,23.01,23.19,9135356
2011-01-05,23.13,23.82,23.03,23.76,10395604
2011-01-06,23.88,23.99,23.46,23.78,7610497
2011-01-07,23.77,23.94,23.5,23.83,6180573
2011-01-10,23.58,23.9,23.43,23.73,8456666
2011-01-11,23.85,24.34,23.8,24.16,8990144
2011-01-12,24.42,24.81,24.3,24.56,11788348
2011-01-13,24.65,25.18,24.57,25.04,10739869
2011-01-14,25.09,25.09,24.45,24.99,10494822
2011-01-18,25.09,25.57,24.89,25.57,8485336
2011-01-19,25.51,25.57,24.69,24.78,9278221
2011-01-20,24.55,24.7,23.52,24.08,13648543
2011-01-21,24.01,24.36,23.85,24.13,11246702
2011-01-24,24.14,24.44,23.94,24.41,7034948
2011-01-25,24.32,24.43,23.95,24.32,10461835
2011-01-26,24.59,25.39,24.53,25.3,11306957
2011-01-27,25.48,25.79,25.05,25.37,8836057
2011-01-28,25.35,25.49,25.01,25.15,10183590
2011-01-31,25.45,25.51,25.18,25.36,10609163
2011-02-01,25.75,26.1,25.58,26.06,12606222
2011-02-02,26.03,26.99,25.98,26.43,11739160
2011-02-03,26.26,26.4,25.53,26.11,9964533
2011-02-04,26.23,26.64,26.05,26.53,9046946
2011-02-07,27.11,28.03,27.07,27.3,11860006
2011-02-08,27.38,28.06,27.01,28.0,11861651
2011-02-09,27.91,28.08,27.1,27.35,12396093
2011-02-10,27.01,28.13,26.49,28.08,14013736
2011-02-11,28.22,28.48,27.57,27.97,16642980
2011-02-14,27.91,29.51,27.87,29.08,15202900
2011-02-15,29.14,29.25,28.21,28.45,13527614
2011-02-16,29.23,29.61,29.04,29.18,17362588
2011-02-17,29.54,30.42,29.23,30.29,17488477
2011-02-18,30.01,30.24,29.32,29.42,17780016
2011-02-22,29.13,29.5,28.15,28.17,15581076
2011-02-23,28.2,28.54,26.7,27.75,22790060
2011-02-24,27.27,27.59,26.52,26.8,17521840
2011-02-25,27.24,28.58,27.15,28.56,13799731
2011-02-28,28.73,28.87,27.85,28.18,11366514
2011-03-01,28.17,28.35,26.87,26.98,11836636
2011-03-02,26.99,27.13,26.3,26.9,12051870
2011-03-03,27.41,29.03,27.29,28.98,20942941
2011-03-04,28.98,29.05,28.43,28.67,12325183
2011-03-07,28.75,28.8,27.4,27.83,9885904
2011-03-08,27.89,27.89,26.87,27.19,8808362
2011-03-09,27.16,27.82,26.89,27.71,11304984
2011-03-10,27.25,27.27,25.6,26.32,16751508
2011-03-11,27.06,28.13,26.53,27.98,16070119
2011-03-14,28.44,29.35,27.99,28.89,18137610
2011-03-15,27.48,28.3,27.3,27.91,15352496
2011-03-16,27.92,28.29,27.11,27.44,15847697
2011-03-17,27.92,28.2,27.7,27.91,11069600
2011-03-18,28.3,28.39,27.3,27.34,13243912
2011-03-21,27.89,28.31,27.59,28.3,7031173
2011-03-22,28.31,28.4,27.65,28.1,7290023
2011-03-23,28.01,29.12,27.91,28.83,13815482
2011-03-24,29.11,29.15,28.2,28.79,11564174
2011-03-25,29.01,30.0,28.99,29.93,11354368
2011-03-28,30.02,30.08,29.47,29.57,7421467
2011-03-29,29.84,30.47,29.29,30.44,9692612
2011-03-30,30.85,30.96,30.13,30.73,11645638
2011-03-31,30.19,30.68,29.8,29.82,11223611
2011-04-01,30.06,30.27,29.79,30.02,8869453
2011-04-04,30.16,30.28,29.93,30.07,7068335
2011-04-05,30.3,30.7,30.08,30.5,10269612
2011-04-06,30.74,31.12,29.74,29.82,12786915
2011-04-07,29.62,29.67,28.67,28.99,11710351
2011-04-08,29.04,29.2,27.71,28.19,19282959
2011-04-11,28.12,28.56,27.52,27.56,12335218
2011-04-12,27.27,27.89,26.9,27.16,14387793
2011-04-13,27.48,28.12,27.33,27.99,10558766
2011-04-14,27.71,27.78,27.12,27.6,9494287
2011-04-15,27.72,27.81,27.34,27.54,7242188
2011-04-18,27.16,27.29,26.65,27.08,8365184
2011-04-19,26.94,27.79,26.77,27.74,13690334
2011-04-20,28.12,28.45,27.96,28.37,10334553
2011-04-21,28.53,29.1,28.45,29.03,10018141
2011-04-22,28.53,29.1,28.45,29.03,10018141
2011-04-25,28.9,29.35,28.51,29.11,12288920
2011-04-26,29.31,29.55,27.84,28.02,21238581
2011-04-27,28.62,28.62,27.41,28.01,14134894
2011-04-28,27.95,28.42,27.59,28.14,7558080
2011-04-29,28.12,28.39,28.06,28.3,6688789
2011-05-02,28.42,28.6,27.82,27.98,7309241
2011-05-03,27.99,28.0,26.99,27.21,8081463
2011-05-04,27.19,27.19,26.15,26.69,13388155
2011-05-05,27.19,27.19,26.15,26.69,13388155
2011-05-06,26.71,27.53,26.55,26.79,9180412
2011-05-09,26.85,27.75,26.85,27.68,9448780
2011-05-10,27.99,28.7,27.81,28.48,12929739
2011-05-11,28.21,28.46,27.0,27.06,14741294
2011-05-12,26.86,26.9,26.18,26.53,11103637
2011-05-13,26.92,27.28,26.46,26.68,9326342
2011-05-16,26.56,27.04,26.16,26.23,8188141
2011-05-17,26.04,26.43,25.59,25.9,12746413
2011-05-18,26.11,26.81,26.11,26.58,10621864
2011-05-19,26.78,26.85,26.21,26.51,7301075
2011-05-20,26.51,26.56,25.91,26.05,10211033
2011-05-23,25.71,25.96,25.21,25.93,7458020
2011-05-24,26.26,26.57,25.73,25.84,7346913
2011-05-25,25.62,26.51,25.6,26.26,9439998
2011-05-26,26.23,26.63,25.93,26.42,8235712
2011-05-27,26.57,27.17,26.54,26.92,6988935
2011-05-31,27.4,27.58,26.85,27.5,8190871
2011-06-01,27.34,27.65,26.95,27.09,14430433
2011-06-02,27.06,27.23,26.39,26.46,9066955
2011-06-03,26.04,26.69,25.82,26.33,5861013
2011-06-06,26.17,26.37,24.91,25.1,11731819
2011-06-07,25.27,25.92,25.24,25.57,8062644
2011-06-08,25.55,25.84,25.05,25.16,6708673
2011-06-09,25.18,25.81,25.14,25.4,7485810
2011-06-10,25.19,25.32,24.78,24.96,6928882
2011-06-13,24.99,25.39,24.14,24.33,10064479
2011-06-14,24.68,25.57,24.68,25.26,15855707
2011-06-15,24.95,25.13,24.2,24.34,9833443
2011-06-16,24.3,24.7,23.85,24.17,7562648
2011-06-17,24.45,24.62,23.76,24.1,10531761
2011-06-20,23.93,24.34,23.8,24.24,6247210
2011-06-21,24.45,24.97,24.38,24.89,7446934
2011-06-22,24.91,25.41,24.75,24.95,8376434
2011-06-23,24.53,24.81,23.87,24.76,13551242
2011-06-24,24.71,24.87,22.96,23.18,16849873
2011-06-27,23.17,23.84,23.12,23.7,8867124
2011-06-28,23.92,24.73,23.87,24.6,9864861
2011-06-29,24.84,25.2,24.24,24.95,10819115
2011-06-30,25.08,25.63,25.07,25.57,8322838
2011-07-01,25.57,25.91,25.02,25.79,8948310
2011-07-05,25.64,25.74,25.2,25.49,7752698
2011-07-06,25.46,25.66,25.19,25.3,6460672
2011-07-07,25.69,26.38,25.61,26.32,9936326
2011-07-08,25.9,26.21,25.74,26.18,9345665
2011-07-11,25.61,25.76,25.18,25.32,6421605
2011-07-12,25.06,25.6,24.94,25.24,8170544
2011-07-13,25.61,26.1,25.43,25.5,8677097
2011-07-14,25.74,25.85,24.73,24.82,11972891
2011-07-15,25.03,25.41,24.99,25.26,7787210
2011-07-18,25.07,25.16,24.68,25.12,8007553
2011-07-19,25.37,25.73,25.26,25.65,8327125
2011-07-20,25.82,25.94,25.67,25.74,5637135
2011-07-21,25.97,27.0,25.83,26.89,13669196
2011-07-22,26.95,26.95,26.43,26.71,7008118
2011-07-25,26.19,27.1,26.11,26.68,10421598
2011-07-26,26.27,26.83,25.33,26.48,14445601
2011-07-27,26.21,26.47,25.34,25.44,11484457
2011-07-28,25.53,25.79,24.78,24.84,9457960
2011-07-29,24.47,25.23,24.11,25.12,13806829
2011-08-01,25.41,25.55,24.53,24.94,11021154
2011-08-02,24.63,25.02,23.55,23.56,13928835
2011-08-03,23.6,23.66,22.55,23.26,16466483
2011-08-04,22.8,22.86,20.88,21.0,24347491
2011-08-05,21.3,21.73,19.31,20.71,18464491
2011-08-08,19.26,19.59,17.87,18.32,21402904
2011-08-09,19.0,20.09,18.56,20.04,20523596
2011-08-10,19.67,20.3,19.2,19.26,21552617
2011-08-11,19.52,21.12,19.43,20.76,15318294
2011-08-12,21.02,21.3,20.62,20.9,11706452
2011-08-15,21.14,21.62,21.05,21.53,8700450
2011-08-16,21.24,21.32,20.72,20.97,11343882
2011-08-17,21.25,21.57,20.76,20.95,7973545
2011-08-18,19.77,19.85,19.06,19.26,16149343
2011-08-19,18.93,19.65,18.75,18.82,12670503
2011-08-22,19.49,19.62,18.78,18.94,15928544
2011-08-23,19.17,20.23,18.95,20.13,12547778
