date,open,high,low,close,volume
2026-06-10,82.1,83.9,81.9,82.5,509100
2026-06-11,83.3,84.5,82.5,82.5,530400
2026-06-12,82.5,87.1,82.0,85.1,1976800
2026-06-15,83.3,84.3,81.8,82.6,1531900
2026-06-16,82.6,83.7,79.7,81.8,1617400
2026-06-17,81.6,82.8,80.0,80.9,1031800
2026-06-18,80.0,82.6,80.0,81.8,949100
2026-06-19,81.7,81.8,80.5,81.2,478800
2026-06-22,81.6,82.6,81.1,81.7,702900
2026-06-23,81.4,82.1,78.7,78.9,2252100
2026-06-24,78.2,80.5,76.4,79.3,2046800
2026-06-25,78.5,79.3,77.5,77.5,868700
2026-06-26,77.8,78.5,77.0,77.0,618600
2026-06-29,77.2,78.7,77.0,77.7,606800
2026-06-30,77.7,78.4,77.1,77.4,510400
2026-07-01,77.7,78.4,77.1,77.4,510400
2026-07-02,78.0,78.2,77.3,77.3,453500
2026-07-03,77.4,77.7,75.3,75.3,1649400
2026-07-06,75.5,75.5,73.0,74.0,1615900
2026-07-07,74.1,75.4,73.3,73.8,648400
2026-07-08,74.8,75.9,74.7,74.8,648000
2026-07-09,75.1,78.5,75.1,77.0,1998200
2026-07-10,77.0,77.2,75.2,75.2,512700
2026-07-13,76.5,77.5,74.5,75.4,909400
2026-07-14,76.5,78.8,76.0,78.5,2251800
2026-07-15,78.8,78.8,77.2,77.6,946200
2026-07-16,77.6,78.0,75.7,77.4,988000
2026-07-17,77.4,77.4,76.0,76.2,569800
2026-07-20,76.6,77.6,72.0,73.1,870100
2026-07-21,73.1,74.3,68.0,68.0,4293300
2026-07-22,68.0,69.0,64.4,64.4,2734100
2026-07-23,64.7,66.8,64.7,66.8,1510800
2026-07-24,67.0,68.8,67.0,67.2,1050700
2026-07-27,67.0,68.5,66.2,66.9,850800
2026-07-28,66.7,67.3,66.1,67.0,619600
2026-07-29,66.9,68.5,66.9,67.9,993000
2026-07-30,69.0,69.3,68.0,68.7,945900
2026-07-31,69.8,69.8,68.1,68.6,968600
2026-08-03,68.6,71.2,68.1,71.2,1150500
2026-08-04,71.2,71.2,69.2,69.9,852900
2026-08-05,69.8,70.5,68.9,70.5,1138300
2026-08-06,70.5,71.4,69.8,69.8,674200
2026-08-07,70.5,74.6,70.4,74.6,2114300
2026-08-10,76.9,79.8,76.1,79.8,2997200
2026-08-11,80.5,80.6,77.4,77.5,1554300
2026-08-12,77.5,80.1,77.2,80.0,1433600
2026-08-13,79.2,80.0,77.6,77.9,1360200
2026-08-14,77.8,79.2,74.9,76.0,1668000
