date,open,high,low,close,volume
2026-06-10,25.2,25.45,25.1,25.3,7331700
2026-06-11,25.25,25.35,25.05,25.1,4989700
2026-06-12,25.35,25.4,25.0,25.2,8151600
2026-06-15,25.4,25.4,25.1,25.2,8187000
2026-06-16,25.35,25.35,25.1,25.25,9770800
2026-06-17,25.25,25.4,25.0,25.25,9778100
2026-06-18,25.3,25.4,25.1,25.15,6607400
2026-06-19,25.15,25.2,24.95,25.15,8990000
2026-06-22,25.1,25.3,25.0,25.25,6448700
2026-06-23,25.3,26.1,25.2,25.65,18110700
2026-06-24,25.65,25.75,25.4,25.7,8182000
2026-06-25,25.7,26.0,25.6,25.6,9201800
2026-06-26,25.55,25.65,25.25,25.4,7697500
2026-06-29,25.4,25.8,25.4,25.8,8446300
2026-06-30,25.9,26.0,25.8,25.85,9491800
2026-07-01,25.9,26.0,25.8,25.85,9491800
2026-07-02,26.65,26.7,26.45,26.6,7855100
2026-07-03,26.7,26.95,26.5,26.95,16241300
2026-07-06,26.9,27.4,26.75,27.2,17386600
2026-07-07,27.1,27.8,27.1,27.7,18795400
2026-07-08,27.7,27.75,27.4,27.55,7623800
2026-07-09,27.4,27.5,27.15,27.3,7072900
2026-07-10,27.1,27.45,27.0,27.0,11150500
2026-07-13,26.8,26.85,26.0,26.7,15616400
2026-07-14,26.55,26.8,26.25,26.8,9627000
2026-07-15,27.0,27.0,26.25,26.35,8384000
2026-07-16,26.3,27.15,26.05,27.15,13607200
2026-07-17,27.1,27.4,26.85,27.25,9883200
2026-07-20,27.15,27.25,26.5,26.85,15270800
2026-07-21,26.85,27.0,26.6,26.95,11346700
2026-07-22,27.0,27.1,25.4,25.8,20862800
2026-07-23,25.8,25.95,25.15,25.95,11625200
2026-07-24,25.75,25.85,25.45,25.85,7790800
2026-07-27,25.8,26.0,25.3,25.3,8996000
2026-07-28,25.15,25.3,24.45,25.1,11492300
2026-07-29,25.05,25.55,24.5,25.5,12884000
2026-07-30,25.4,25.9,25.15,25.7,8988900
2026-07-31,25.7,25.8,25.2,25.2,8862700
2026-08-03,25.3,26.0,25.25,26.0,7651800
2026-08-04,26.1,26.75,25.9,26.7,11276100
2026-08-05,26.75,26.75,26.2,26.55,9378200
2026-08-06,26.55,26.65,26.25,26.55,7703200
2026-08-07,26.5,26.9,26.3,26.55,9863000
2026-08-10,26.65,27.0,26.35,26.95,10622700
2026-08-11,26.95,27.1,26.8,26.9,8298300
2026-08-12,26.9,27.4,26.65,27.2,12857900
2026-08-13,27.3,27.6,26.7,26.7,10389500
2026-08-14,26.75,26.9,26.2,26.45,8262000
