date,open,high,low,close,volume
2026-06-10,24.65,24.85,24.65,24.7,10782285
2026-06-11,24.65,24.75,24.55,24.75,5232155
2026-06-12,25.0,25.2,24.85,24.85,23486680
2026-06-15,25.05,25.35,25.05,25.2,18012450
2026-06-16,25.25,25.3,25.1,25.1,13397845
2026-06-17,25.15,25.3,25.1,25.2,13358860
2026-06-18,25.2,25.3,25.15,25.25,8011705
2026-06-19,25.25,25.25,25.0,25.0,8166150
2026-06-22,25.05,25.1,24.8,24.8,8887430
2026-06-23,24.95,25.3,24.75,24.8,21351935
2026-06-24,24.85,24.95,24.65,24.8,14501040
2026-06-25,24.8,24.9,24.7,24.7,8718840
2026-06-26,24.7,24.8,24.65,24.75,7941900
2026-06-29,24.85,25.25,24.8,25.1,18183225
2026-06-30,25.1,25.25,25.05,25.2,15561570
2026-07-01,25.1,25.25,25.05,25.2,15561570
2026-07-02,25.8,25.9,25.6,25.65,11489535
2026-07-03,25.8,25.8,25.4,25.6,15584800
2026-07-06,25.7,25.8,25.25,25.3,14815220
2026-07-07,25.4,25.75,25.3,25.75,14224120
2026-07-08,25.75,26.15,25.7,26.0,23234600
2026-07-09,25.948,26.0,25.584,25.584,12899435
2026-07-10,25.584,26.0,25.532,25.636,12083740
2026-07-13,25.584,25.636,24.96,25.428,18590210
2026-07-14,24.96,25.532,24.96,25.532,14109005
2026-07-15,25.22,25.428,24.908,24.908,14633865
2026-07-16,24.908,25.22,24.44,25.116,16832550
2026-07-17,25.012,25.064,24.7,24.7,11959540
2026-07-20,24.544,24.648,23.712,23.712,23771535
2026-07-21,23.608,23.972,23.504,23.608,12984880
2026-07-22,23.712,24.128,23.244,23.244,24327100
2026-07-23,23.192,23.608,22.464,22.932,24129760
2026-07-24,22.932,22.984,22.568,22.776,11885710
2026-07-27,22.828,23.088,22.516,22.516,15841480
2026-07-28,22.36,23.036,22.204,23.036,19946750
2026-07-29,23.088,23.088,22.828,22.984,10151855
2026-07-30,22.932,23.504,22.932,23.4,12882415
2026-07-31,23.764,24.076,23.4,23.4,13857730
2026-08-03,23.66,25.012,23.66,24.96,26145365
2026-08-04,25.064,25.428,24.96,25.376,19535050
2026-08-05,25.48,25.48,25.012,25.272,16145655
2026-08-06,25.272,25.324,24.752,24.856,10961110
2026-08-07,24.856,25.324,24.804,25.116,10893490
2026-08-10,25.116,25.428,24.908,25.22,32717730
2026-08-11,24.518,24.5778,24.3386,24.3386,18715600
2026-08-12,24.3984,24.518,24.3386,24.4582,8937200
2026-08-13,24.518,24.5778,24.0994,24.0994,11662400
2026-08-14,24.0994,24.219,23.92,23.92,11904400
