date,open,high,low,close,volume
2026-06-10,40.9,40.95,39.85,40.05,2594400
2026-06-11,40.6,40.95,39.85,39.85,1687000
2026-06-12,39.85,41.0,39.65,40.05,2261400
2026-06-15,39.4,39.45,38.4,38.5,4536400
2026-06-16,38.75,39.0,38.3,38.6,1880400
2026-06-17,38.6,39.4,38.25,38.65,1724200
2026-06-18,38.7,39.25,38.6,39.0,1549000
2026-06-19,39.1,39.15,38.6,38.65,1532600
2026-06-22,38.8,39.3,38.65,38.65,1872100
2026-06-23,38.9,38.9,37.45,37.7,4318200
2026-06-24,37.75,38.2,36.85,37.8,1914700
2026-06-25,37.75,37.8,37.0,37.25,907100
2026-06-26,37.4,37.55,36.8,36.8,1716200
2026-06-29,36.9,37.75,36.85,37.25,1256200
2026-06-30,37.3,37.6,36.9,36.95,1153800
2026-07-01,37.3,37.6,36.9,36.95,1153800
2026-07-02,37.45,37.45,37.1,37.2,803400
2026-07-03,37.45,37.45,36.55,36.55,2066900
2026-07-06,36.6,36.9,34.15,35.1,3251400
2026-07-07,35.25,35.6,34.55,34.9,2616200
2026-07-08,35.5,35.95,35.05,35.25,2210100
2026-07-09,35.8,36.8,35.7,36.0,2889900
2026-07-10,36.6,36.95,36.0,36.0,2471800
2026-07-13,36.5,36.55,35.0,35.55,1660600
2026-07-14,36.15,37.35,35.55,36.8,3602800
2026-07-15,36.95,36.95,36.05,36.05,1498800
2026-07-16,36.1,36.55,34.5,35.9,2072000
2026-07-17,35.9,36.0,35.1,35.2,1001700
2026-07-20,35.55,35.85,34.3,34.3,1701400
2026-07-21,33.4,34.3,31.9,32.65,3064500
2026-07-22,32.65,33.65,32.55,32.75,1759600
2026-07-23,33.0,33.6,32.7,33.4,1465900
2026-07-24,33.8,34.45,33.75,33.8,1713700
2026-07-27,33.75,33.75,32.8,32.8,1329000
2026-07-28,31.9,33.2,31.9,32.7,1710200
2026-07-29,32.95,33.2,32.8,32.95,984000
2026-07-30,33.15,34.0,33.15,33.85,1455300
2026-07-31,34.65,34.65,33.3,33.3,3143900
2026-08-03,33.85,35.0,33.85,34.7,2576600
2026-08-04,34.959,35.1143,34.3893,34.6482,1207400
2026-08-05,34.5446,35.6322,34.2857,35.4769,2306500
2026-08-06,35.6322,36.2537,34.9072,34.9072,1507900
2026-08-07,35.4251,37.3413,35.1143,37.2378,7027000
2026-08-10,37.8075,39.3612,37.0824,38.8433,4962500
2026-08-11,39.1022,39.2576,37.8075,37.911,3508600
2026-08-12,37.9628,38.2218,37.4967,37.9628,2718700
2026-08-13,37.9628,38.17,36.5645,36.8752,2349400
2026-08-14,36.8752,37.4967,36.0466,36.3055,3459500
