date,open,high,low,close,volume
2026-06-10,47.3,47.55,47.15,47.55,284900
2026-06-11,47.5,49.2,47.45,48.6,1436400
2026-06-12,48.7,49.35,48.5,48.6,850800
2026-06-15,48.5,49.3,48.15,48.5,567600
2026-06-16,48.5,49.85,48.15,49.1,1268100
2026-06-17,49.1,49.4,48.65,48.8,423500
2026-06-18,48.6,48.7,48.2,48.2,563100
2026-06-19,48.2,48.45,48.1,48.15,318800
2026-06-22,48.1,48.4,48.05,48.2,310900
2026-06-23,48.95,48.95,47.6,47.8,602600
2026-06-24,47.8,48.05,47.5,47.8,266600
2026-06-25,47.95,48.95,47.95,48.6,642500
2026-06-26,48.65,48.9,48.5,48.7,485600
2026-06-29,48.75,48.95,47.8,48.0,753400
2026-06-30,48.1,48.7,48.1,48.5,653200
2026-07-01,48.1,48.7,48.1,48.5,653200
2026-07-02,48.35,48.8,48.2,48.6,650500
2026-07-03,48.8,48.8,47.9,47.9,800100
2026-07-06,47.9,48.15,46.8,47.15,863000
2026-07-07,47.15,47.45,47.0,47.25,398900
2026-07-08,47.25,47.4,47.05,47.2,485900
2026-07-09,47.2,47.65,47.1,47.15,302100
2026-07-10,47.2,47.4,46.8,47.15,377800
2026-07-13,47.15,47.2,45.9,46.15,900100
2026-07-14,46.15,46.9,45.9,46.8,400600
2026-07-15,46.95,46.95,46.0,46.05,311700
2026-07-16,46.1,46.6,45.75,46.35,515200
2026-07-17,46.3,46.9,46.05,46.9,341400
2026-07-20,47.05,47.9,46.8,47.3,609300
2026-07-21,47.1,47.55,47.0,47.0,492300
2026-07-22,47.3,47.3,46.9,46.95,518500
2026-07-23,47.25,47.25,45.0,47.0,875600
2026-07-24,46.9,46.9,46.05,46.5,618600
2026-07-27,46.7,47.15,46.45,46.6,892500
2026-07-28,45.9587,46.4931,45.6381,46.119,567000
2026-07-29,46.3862,46.3862,45.9053,45.9587,547800
2026-07-30,46.4931,47.0275,45.9587,46.3862,677700
2026-07-31,46.9741,47.0275,46.5466,46.5466,518400
2026-08-03,46.9206,47.8826,46.5466,47.8826,1227400
2026-08-04,47.7222,48.2567,47.2947,48.2032,643600
2026-08-05,48.0963,48.2032,47.455,47.455,488100
2026-08-06,47.4016,47.455,46.7069,46.7069,580800
2026-08-07,46.7069,48.417,46.7069,47.8291,782500
2026-08-10,48.2032,49.753,47.936,49.6995,2429700
2026-08-11,49.2186,49.5392,48.7911,48.7911,549400
2026-08-12,49.0583,49.5392,48.4704,49.4858,965700
2026-08-13,49.4323,49.4858,48.6842,49.0048,687300
2026-08-14,49.0048,49.6995,48.417,48.417,812400
