date,open,high,low,close,volume
2026-06-10,15.85,16.05,15.8,15.9,3935600
2026-06-11,15.9,16.2,15.85,15.95,6151000
2026-06-12,16.1,16.4,16.05,16.15,11899900
2026-06-15,16.35,16.4,16.15,16.25,7054700
2026-06-16,16.3,16.35,16.15,16.2,8329400
2026-06-17,16.2,16.55,16.2,16.4,15864700
2026-06-18,16.45,16.5,16.2,16.25,8557800
2026-06-19,16.3,16.3,16.0,16.05,5775200
2026-06-22,16.1,16.15,16.0,16.05,5763400
2026-06-23,16.1,16.5,16.0,16.1,13121600
2026-06-24,16.15,16.2,15.9,16.05,5675600
2026-06-25,16.05,16.1,15.95,16.0,5190400
2026-06-26,16.05,16.15,16.0,16.15,5703200
2026-06-29,16.2,16.7,16.15,16.55,21050000
2026-06-30,16.6,16.65,16.45,16.5,6740000
2026-07-01,16.6,16.65,16.45,16.5,6740000
2026-07-02,16.65,16.7,16.5,16.65,7979300
2026-07-03,16.7,16.8,16.35,16.45,14213400
2026-07-06,16.55,16.6,16.0,16.1,13853700
2026-07-07,16.05,16.25,16.05,16.25,5997000
2026-07-08,16.2,16.45,16.15,16.25,10532600
2026-07-09,16.15,16.3,16.1,16.1,4104700
2026-07-10,16.15,16.25,15.95,15.95,6370600
2026-07-13,15.95,16.0,15.3,15.5,12072100
2026-07-14,15.5,15.75,15.3,15.75,6137200
2026-07-15,15.75,15.75,15.45,15.45,5628500
2026-07-16,15.35,15.6,15.1,15.45,7446700
2026-07-17,15.5,15.55,15.35,15.4,3222900
2026-07-20,15.35,15.4,14.85,14.95,13146400
2026-07-21,14.9,15.1,14.9,15.0,6390800
2026-07-22,15.05,15.1,14.45,14.45,15407300
2026-07-23,14.4,14.7,14.15,14.6,7522200
2026-07-24,14.4,14.65,14.35,14.4,4944800
2026-07-27,14.45,14.65,14.15,14.15,4189600
2026-07-28,14.05,14.45,14.05,14.4,4913400
2026-07-29,14.4,14.45,14.25,14.4,5469600
2026-07-30,14.4,14.8,14.25,14.75,6386300
2026-07-31,14.8,14.95,14.5,14.5,8266600
2026-08-03,14.55,14.85,14.55,14.85,8086300
2026-08-04,14.85,14.9,14.65,14.8,3425700
2026-08-05,14.9,15.2,14.7,14.8,13606400
2026-08-06,14.8,14.85,14.55,14.55,3997200
2026-08-07,14.6,14.75,14.55,14.65,2940000
2026-08-10,14.75,14.95,14.65,14.85,4419000
2026-08-11,14.9,15.05,14.8,14.8,4511500
2026-08-12,14.85,14.95,14.75,14.8,2939200
2026-08-13,14.85,14.9,14.55,14.55,5415000
2026-08-14,14.5,14.65,14.4,14.4,4421500
