ticker,existing_last,fetched_last,n_overlap,scale_med,scale_cv,n_gap,status
ACB,2026-06-09,2026-08-14,27,1.16477,0.0,48,OK
BCM,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
BID,2026-06-09,2026-08-14,27,1.01083,0.0,48,OK
BVH,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
CTG,2026-06-09,2026-08-14,27,1.01538,0.0,48,OK
FPT,2026-06-09,2026-08-14,27,1.0,3e-05,48,OK
GAS,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
GVR,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
HDB,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
HPG,2026-06-09,2026-08-14,27,1.0,0.00011,48,OK
LPB,2026-08-10,2026-08-14,71,1.0,0.00089,4,OK
MBB,2026-06-09,2026-08-14,27,1.196,0.0,48,OK
MSN,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
MWG,2026-06-09,2026-08-14,27,1.01558,0.0,48,OK
NVL,2026-06-09,2026-08-14,27,1.075,0.03175,48,OK
PDR,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
PLX,2026-06-09,2026-08-14,27,1.03582,0.0,48,OK
POW,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
SAB,2026-06-09,2026-08-14,27,1.06881,0.0,48,OK
SHB,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
SSB,2026-06-09,2026-08-14,27,1.0,0.00014,48,OK
SSI,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
STB,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
TCB,2026-06-09,2026-08-14,27,1.0,5e-05,48,OK
TPB,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
VCB,2026-06-09,2026-08-14,27,1.00833,0.0,48,OK
VHM,2026-06-09,2026-08-14,27,2.07692,0.0,48,OK
VIB,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
VIC,2026-06-09,2026-08-14,27,1.0,0.0,48,OK
VJC,2026-06-09,2026-08-14,27,1.3,0.0,48,OK
VNM,2026-06-09,2026-08-14,27,1.03277,0.0,48,OK
VPB,2026-06-19,2026-08-14,36,1000.0,0.0,40,OK
VRE,2026-06-19,2026-08-14,36,1035.46098,0.0,40,OK
