symbol,start_date,end_date,total_days,file
ACB,2020-12-09 00:00:00+07:00,2026-06-19 00:00:00+07:00,1443,data\raw\vn30_enhanced\ACB_ohlcv.csv
BCM,2021-03-15 00:00:00+07:00,2026-06-19 00:00:00+07:00,1366,data\raw\vn30_enhanced\BCM_ohlcv.csv
BID,2014-01-24 00:00:00+07:00,2026-06-19 00:00:00+07:00,3204,data\raw\vn30_enhanced\BID_ohlcv.csv
BVH,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30_enhanced\BVH_ohlcv.csv
CTG,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4237,data\raw\vn30_enhanced\CTG_ohlcv.csv
FPT,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4237,data\raw\vn30_enhanced\FPT_ohlcv.csv
GAS,2012-05-21 00:00:00+07:00,2026-06-19 00:00:00+07:00,3652,data\raw\vn30_enhanced\GAS_ohlcv.csv
GVR,2020-03-17 00:00:00+07:00,2026-06-19 00:00:00+07:00,1625,data\raw\vn30_enhanced\GVR_ohlcv.csv
HDB,2018-01-05 00:00:00+07:00,2026-06-19 00:00:00+07:00,2202,data\raw\vn30_enhanced\HDB_ohlcv.csv
HPG,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4237,data\raw\vn30_enhanced\HPG_ohlcv.csv
MBB,2011-11-01 00:00:00+07:00,2026-06-19 00:00:00+07:00,3796,data\raw\vn30_enhanced\MBB_ohlcv.csv
MSN,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30_enhanced\MSN_ohlcv.csv
MWG,2014-07-14 00:00:00+07:00,2026-06-19 00:00:00+07:00,3083,data\raw\vn30_enhanced\MWG_ohlcv.csv
PLX,2017-04-21 00:00:00+07:00,2026-06-19 00:00:00+07:00,2376,data\raw\vn30_enhanced\PLX_ohlcv.csv
POW,2019-01-14 00:00:00+07:00,2026-06-19 00:00:00+07:00,1936,data\raw\vn30_enhanced\POW_ohlcv.csv
SAB,2016-12-06 00:00:00+07:00,2026-06-19 00:00:00+07:00,2467,data\raw\vn30_enhanced\SAB_ohlcv.csv
SSI,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30_enhanced\SSI_ohlcv.csv
STB,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30_enhanced\STB_ohlcv.csv
TCB,2018-06-04 00:00:00+07:00,2026-06-19 00:00:00+07:00,2087,data\raw\vn30_enhanced\TCB_ohlcv.csv
TPB,2018-04-19 00:00:00+07:00,2026-06-19 00:00:00+07:00,2128,data\raw\vn30_enhanced\TPB_ohlcv.csv
VCB,2010-02-22 00:00:00+07:00,2026-06-19 00:00:00+07:00,4228,data\raw\vn30_enhanced\VCB_ohlcv.csv
VHM,2018-05-17 00:00:00+07:00,2026-06-19 00:00:00+07:00,2099,data\raw\vn30_enhanced\VHM_ohlcv.csv
VIB,2020-11-10 00:00:00+07:00,2026-06-19 00:00:00+07:00,1464,data\raw\vn30_enhanced\VIB_ohlcv.csv
VIC,2012-04-03 00:00:00+07:00,2026-06-19 00:00:00+07:00,3686,data\raw\vn30_enhanced\VIC_ohlcv.csv
VJC,2017-02-28 00:00:00+07:00,2026-06-19 00:00:00+07:00,2422,data\raw\vn30_enhanced\VJC_ohlcv.csv
VNM,2012-04-03 00:00:00+07:00,2026-06-19 00:00:00+07:00,3677,data\raw\vn30_enhanced\VNM_ohlcv.csv
VPB,2017-08-17 00:00:00+07:00,2026-06-19 00:00:00+07:00,2294,data\raw\vn30_enhanced\VPB_ohlcv.csv
VRE,2017-11-06 00:00:00+07:00,2026-06-19 00:00:00+07:00,2237,data\raw\vn30_enhanced\VRE_ohlcv.csv
