,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,0.1886919788230632,-0.06049197978408046,0.020456145802700033,-0.0966839439647455,0.030431566161253747,-0.007869722040473476,-0.112956071673747,-0.031413816217617525,0.030331007363050298,0.05457679053069105,0.061012891933624296,0.13522043438589296,0.025689388049015053,-0.019507104480911572,-0.10115019329391586,-0.06952764141856324,-0.13696359749141263,-0.015586499393201642,-0.08056449727852193,0.11296968172415248,0.1330218771270077,-0.013884941232549292,-0.02341668074947924,0.020082061126950847,0.09629438534292833,0.02602204510168771,-0.14546888482390927,0.07042555017188634,-0.15999545374391327,-0.09863691839485073,-0.07372184923497045,-0.02405968254676065,-0.10315337647925156
BCM,-0.05202142353522324,0.23041782537603356,0.1127260467578067,0.09035033573692122,0.017365830956560933,0.03690075883825539,0.15701149347571317,0.035263438937129056,0.06913139470908133,-0.07988165415161678,-0.0378063891813637,-0.008725923557666403,0.019760533495712652,-0.06098663351943194,-0.15179513135584063,-0.11400249809131995,0.06260779596236508,0.17266491684049323,0.09790439851880602,0.018766078156138014,0.008334810105491322,-0.047521413274661625,0.006294750799329808,-0.11259240401434166,0.01880379136570624,0.07068196447828767,-0.11173973775287063,0.10123798825022723,-0.041763222029387474,-0.09168228683114507,0.011660346587090411,-0.06585054970532138,-0.016189803041939767
BID,-0.029285286749388212,0.08527779905093351,0.2125235778860761,0.03668125534604163,-0.00466284579777895,-0.01677976971547937,0.12585203610172294,0.12401890778075414,0.017144009102823057,0.0014552569255020787,-0.0280338235034615,0.054979389959224044,-0.006913349782403782,-0.024078479852414514,-0.08800534768954095,-0.013159285557715113,0.12038786638237439,0.04847647286806775,0.08654539245185629,-0.08212069155140543,-0.024431549169401278,-0.0445577866397194,-0.028785234497509863,-0.11860254058339438,-0.03914715992643652,0.12099567529705704,-0.13249977986793302,0.022175978767841473,-0.10268504448888051,-0.09851504237438631,-0.0019513464832315826,-0.055838341251084625,-0.07703784618642702
BVH,-0.09973928155802977,0.15915103823287458,0.018882760491594888,0.3830961422200066,-0.08067900212932402,0.09393298358063815,0.26347462145135403,0.06284844911490713,0.005315673685257531,-0.1389373810283322,-0.030610387623552258,-0.09345462675651985,-0.09078935210449608,-0.09251428835989872,-0.08067563439758374,-0.12074742639983521,0.19877581419656967,0.14241753968931656,0.052452182070556796,-0.04413243379683771,-0.024350337159196312,-0.1127290016346538,0.02365500538035439,-0.1179471898827122,-0.05742215878043121,0.005830734558556026,0.107507798513738,-0.038692122578174434,0.08773410846565641,0.017965090782274467,0.05260164611188789,-0.0779834837176757,0.03652199832301404
CTG,0.06705881590801056,0.009934344071869144,0.07764157082200024,-0.05268206135961418,0.12263825485375336,0.007780132553916469,-0.10300295041958635,0.031779877672349306,0.01473983446782618,0.036478821654320585,-0.003707562326019771,0.10314746434221324,0.04635259290680963,0.033186784337389516,-0.1308512055642257,-0.05694732445905516,-0.0952699836033943,-0.02638212970905163,-0.02220676554528611,-0.01863395570671264,0.05980121197755683,-0.011795355787756048,-0.04166986097018032,0.03560681536564629,0.008632829043215396,0.046388276596083626,-0.11511738386404015,0.07060983627302721,-0.12179061127566594,-0.11361052442643742,-0.010470832477141584,-0.02259630234096852,-0.03511481678966396
FPT,-0.009658575509198427,0.07706322878739978,-0.01437800749916586,0.11686271926880606,-0.07605626627485183,0.18645553373890555,0.05943942698354914,0.08975988871420273,-0.06215982281907427,-0.07109933968492883,-0.009383492139850859,-0.050986313335428295,0.024346907582587958,0.05836219503098159,0.009439068305604,-0.040431674152310956,0.05244330721772017,-0.00994521062767226,0.017815875680661796,-0.020886986913088816,0.024704259390020158,-0.05070675418043487,-0.02560090520321,-0.0034708984251514245,-0.05609303786191622,-0.07927323998450382,0.03455201277952491,-0.054336848037033154,0.0832658557247577,0.03417136772834556,0.057102325417819774,-0.03001100905623054,0.01992246461981607
GAS,-0.04864756782980387,0.1546152874335323,0.1378137959664326,0.24210847981115002,-0.05704349612165262,0.11160978063319218,0.4420257309122818,0.13472549514894872,-0.04230209564088798,-0.14058161046820966,-0.04623263643292341,-0.10281853531127692,-0.019073378763490266,-0.07891701941141402,-0.053740067677343496,-0.08841755899116463,0.3297160577099396,0.11395102077656573,0.11392021504997069,-0.08924317640663548,-0.0812055480659146,-0.05069808586723979,0.05554103741113645,-0.15391018143802093,-0.11248282887554541,0.07667957760892023,0.0723013255686107,-0.03374946074343095,0.07802506533597461,0.013698221685270705,0.06280112825516064,-0.18063563153334725,-0.02061708203805412
GVR,0.002520362352440031,-0.032183339729315245,0.07471189266990645,0.02218845555903822,0.0028102474165203487,-0.047265142038087266,0.14594746535468764,0.1130069675847456,-0.05677471167590384,0.016792231669120056,0.026450089272901538,0.003625250749375463,-0.030858795772250407,-0.016988147994757233,0.03915072246270154,-0.01806717850723024,0.18726570846248247,0.017258885018532143,0.05896066860343542,-0.04605523992596347,-0.07911029493819373,-0.060568969644651485,-0.021467763924833693,0.013348085400629331,-0.09118801196513521,0.0497314242617697,-0.021466829612320677,-0.024765589355097584,0.008034386559558423,-0.03150938071838699,0.017914785902779222,-0.07508367567612213,0.005519440803029504
HDB,-0.016848165832729987,0.07195333714238943,0.040135233362978515,-0.025780366722295448,0.04078043633961916,-0.06302211344686214,-0.0242158422641771,-0.0061586757293935,0.1110887166536518,-0.07287166396241873,-0.052720180981422435,-0.0020810449202995447,-0.044882291740484116,-0.10253527507916667,-0.11085403502470394,-0.030692251926595762,-0.028030038788433728,0.07755125259180987,-0.0405907054114375,0.0395128405133459,0.1406079510625484,0.028927755150387723,0.040429910638414834,-0.035604874199637614,0.07875297281054588,0.008562975468483686,-0.05549037886196658,0.05762715451701158,-0.05275005951748253,-0.01541312184388036,-0.02830065720117154,0.03198896148194493,0.011604862636950961
HPG,0.06435062929285705,-0.12427583596904929,-0.012194878704553548,-0.1932396946530305,0.03227843403464381,-0.11272705825907249,-0.08386243151338585,-0.06692179249802042,-0.07350936955826566,0.17445046678102977,0.014899703166348382,-0.03146023262338532,0.11983879227690307,0.08187346901009547,0.019911472145288166,0.06478904079588858,-0.08330738070581464,-0.060229722208498704,-0.019539610961620137,-0.020318910502518425,-0.08710469989850021,0.059240154244623575,-0.01752049887276239,0.02489754469502331,-0.03568897603502027,0.03138717694967951,-0.0911439431192929,-0.0008331849387572049,-0.07982423067191691,-0.037671141320040326,-0.004096468098292546,0.04081975533045309,-0.07876422742309827
