,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,1.0,0.23000842710431132,0.560189134147099,0.3817255703496862,0.6407355593027663,0.4464081171657878,0.322115309673969,0.4237855081792063,0.5870593784891093,0.5415671320785667,0.5800868855748174,0.7165022321672269,0.4752088656981099,0.4487545464926843,0.09272867206047367,0.18555035342637474,0.36323883090526027,0.45854159311636156,0.2587701234367894,0.5775150760717899,0.37580026845110565,0.5477605598870451,0.6027424305615505,0.6901352020623966,0.6364990482060684,0.5476084059247083,0.2814710324105882,0.6196888815660357,0.25828858391729054,0.2969147941504223,0.3622314734812592,0.5673064917249397,0.3387924570766084
BCM,0.23000842710431132,1.0,0.37501720884231526,0.4061990893583768,0.34507772739920195,0.3534005012341752,0.43554793775331413,0.42547927015426873,0.34090705948757266,0.282078402217574,0.2678787922611107,0.3335839526120453,0.37186280957056506,0.2654610343098786,-0.043045350982456466,0.08596055015934861,0.3425129731456099,0.45378288684812357,0.27881816352414807,0.25779852424974037,0.18499380084663986,0.3666992887920427,0.3514742856123432,0.2788396884163096,0.327773358664916,0.2877229135113231,0.2012414696672169,0.36842912545984174,0.17851834042443934,0.12068428569833381,0.2497230063507789,0.291263322247549,0.2820185538504794
BID,0.560189134147099,0.37501720884231526,1.0,0.4393698408378929,0.6660859576080107,0.42940456816694783,0.47661094674523624,0.5109975687243283,0.519634378549449,0.48028983176395534,0.5033261566407444,0.6415668639352964,0.44038849080395354,0.4123254940976461,0.10795799859772971,0.1729453463658028,0.5170171201733407,0.517322475096817,0.3205012679304818,0.42960629293468533,0.23028976582800917,0.5119016262788739,0.5804927615734576,0.5416929601882885,0.5224748889850391,0.58862574076061,0.28893183529324734,0.5541252161154734,0.26679969307173096,0.24834363595251255,0.4407205290900124,0.46987612628112063,0.37806175544343806
BVH,0.3817255703496862,0.4061990893583768,0.4393698408378929,1.0,0.4086192509785509,0.46430362465234964,0.5531700676068608,0.4448259276885621,0.428535430133626,0.32279312357343054,0.40829180503717777,0.4715465030278905,0.34197606618183474,0.33917023085066583,0.08361903747495915,0.11312121955577055,0.5230925095681976,0.4840053958537887,0.306559531397885,0.362574466507184,0.14350914023586558,0.3741538962650828,0.43415881587398636,0.41875417939544124,0.3938497468454408,0.37548135932865445,0.36268896166945763,0.3831270107402521,0.3263770937509446,0.29430556915651185,0.4008971902715276,0.39551669530798855,0.359353826703875
CTG,0.6407355593027663,0.34507772739920195,0.6660859576080107,0.4086192509785509,1.0,0.4401500023495365,0.37220997973867714,0.4870005599128123,0.5723673787672144,0.5305705299272293,0.571291112069864,0.7368602382469507,0.4807495131725816,0.45989386488911094,0.09753148574476943,0.1910812047229233,0.377879201482123,0.48952004444971087,0.2796762249175862,0.5483204691456741,0.30573991775330145,0.5680622204485335,0.6135354165588204,0.6590080424621089,0.6134903469826778,0.5256576008116424,0.324376200147327,0.6085870680297976,0.2885282970707169,0.2872908595719678,0.4025378129243372,0.5642486072333568,0.4055748027430694
FPT,0.4464081171657878,0.3534005012341752,0.42940456816694783,0.46430362465234964,0.4401500023495365,1.0,0.42905833334456484,0.4242048506472752,0.4137375281240309,0.40697387131709006,0.40944973890066877,0.4856236604152558,0.40833855314118284,0.4956182172615089,0.10995664456349241,0.16080408584391329,0.4047442316010414,0.4141916278056469,0.31310839255836465,0.37903113713256203,0.21562168321254443,0.4275057156151604,0.41705159173310014,0.4514551408386061,0.4047402856497898,0.4151082858173284,0.349066134664824,0.38279752342134576,0.33756577464521687,0.28036668314552127,0.46280337131940436,0.4198959144663477,0.35719710557604323
GAS,0.322115309673969,0.43554793775331413,0.47661094674523624,0.5531700676068608,0.37220997973867714,0.42905833334456484,1.0,0.45343003615933636,0.35663967737049934,0.3502546435025521,0.3631652761092299,0.39198009840357023,0.39005018925954904,0.30960084171041696,0.0887189932600487,0.07846125055170675,0.6457227430064585,0.4739836711717666,0.37867098250230563,0.284645762343489,0.10854931870839708,0.3582415023813635,0.423990724516273,0.3393917606666056,0.3395286954231827,0.4331059660155593,0.355040820710528,0.37009474673903203,0.3189093984716847,0.25677688262495,0.39901065461289853,0.316142936898479,0.31464948664766546
GVR,0.4237855081792063,0.42547927015426873,0.5109975687243283,0.4448259276885621,0.4870005599128123,0.4242048506472752,0.45343003615933636,1.0,0.39319276154045596,0.4745310482570542,0.42845865381409565,0.5064803166054207,0.4521754731568954,0.4506018698704213,0.15788018309917018,0.2819757691472466,0.5143245155781271,0.45414809976264814,0.3019751288950369,0.4002893352574727,0.16314650811327025,0.5226517096737666,0.4680931395127632,0.4858747124613575,0.4261313420532567,0.36723531436873547,0.3431830028446227,0.42983980899983293,0.28636123824334314,0.21732697591075956,0.35635371874095,0.4010587825367858,0.36753226139627
HDB,0.5870593784891093,0.34090705948757266,0.519634378549449,0.428535430133626,0.5723673787672144,0.4137375281240309,0.35663967737049934,0.39319276154045596,1.0,0.4488322428337636,0.543854831080816,0.6245752061698618,0.4072312304420141,0.37488806290622484,0.08097836385099204,0.19335517483831055,0.3551033142350673,0.4774642163715053,0.28702839893480686,0.5154047301457366,0.3558980284120748,0.5378983740438004,0.5888007741520197,0.6036627103276458,0.5884895375646024,0.48313961333711897,0.29671670725140087,0.5763856385204348,0.28987113332304887,0.3992444588117276,0.36448002832795084,0.5260940434492422,0.38191564044476906
HPG,0.5415671320785667,0.282078402217574,0.48028983176395534,0.32279312357343054,0.5305705299272293,0.40697387131709006,0.3502546435025521,0.4745310482570542,0.4488322428337636,1.0,0.5164266551053964,0.566700322633434,0.5396841598839399,0.4974631229429153,0.18300519736659124,0.2933259891135696,0.34641263535478983,0.43508288917978943,0.2609222647934137,0.4974437744272581,0.2025386212174799,0.6583773374433551,0.5435841345528675,0.5510122111551256,0.5360936995511676,0.4691468032236675,0.31282590023610324,0.5258589607322636,0.26864310775733596,0.28851345385725696,0.4183208798705232,0.5178407678718667,0.3491979384267152
