,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,0.34694217585229914,0.17538712552772717,0.24954698400401437,0.14098596935035493,0.2635846831046045,0.1962981858813241,0.14923101707340758,0.20772181810073528,0.25571737513122306,0.33056231904108047,0.2632877021173937,0.3132609738110085,0.3030449084350482,0.19109977691966365,0.018701664522322154,0.08231533572505781,0.11786531392086634,0.21752374100198052,0.11244864968953559,0.31314123921876935,0.18107199760481696,0.2809819195813384,0.2816559407685249,0.2770689471773702,0.2882994855471312,0.2484540539787194,0.11886449623147213,0.29644726188626647,0.1203782701322579,0.14643932055626172,0.17934110258693617,0.26166860182659546,0.1805202105056893
BCM,0.19973896138318964,0.35280493517364553,0.2760567234192299,0.23367378917352727,0.23018670543138195,0.20242303341807874,0.2895733012881918,0.21837121122525432,0.2525741809245258,0.20577806495663098,0.18210309845099593,0.22876110015037793,0.25108405467582406,0.13444867184915546,-0.06459365849096793,0.0035976906164245765,0.20991363083515321,0.30922045090464884,0.21132035162608648,0.23352572910511032,0.09655499081443873,0.2141696596801502,0.24869829765580095,0.17404938450678398,0.22472938403314255,0.2440161975831464,0.0799820902041358,0.2885015448182816,0.13549264228424115,0.08563913474411838,0.1882218308231881,0.1897744257852792,0.18377365853789573
BID,0.23331882385747174,0.2453731198744579,0.3256564666179644,0.1976045667581049,0.23029020722287685,0.17630269050725367,0.2653365328603249,0.27313378659400306,0.23190815990155353,0.281913867714369,0.2029360963722109,0.2659380526845557,0.26272623631889436,0.1728121668045188,0.015452279274468073,0.10527868591370684,0.24508795336428768,0.23325349174503143,0.201697430265234,0.19713802338479197,0.07766997178533477,0.2433225515200547,0.25505874030762293,0.19815090790050072,0.20903885193615546,0.2805180104276738,0.10371352212372674,0.25555266165414325,0.1301224771323028,0.12379584687698565,0.19919113442373768,0.22381164759089042,0.1719548989066923
BVH,0.17988520639923777,0.29250715570044616,0.21893548573891394,0.4124243953184103,0.17821159741853398,0.23369102315717835,0.35434784787508744,0.23303658708554714,0.21332597385989596,0.18593752721754467,0.18703702071483114,0.18784324915533218,0.19394913037005257,0.11761386423739936,0.0073998330511113285,0.014770124904733749,0.2959811949313864,0.28083136804820075,0.1753974390163205,0.19879765854993944,0.07024774632163418,0.18736586813919245,0.26384218396082615,0.17679201871571934,0.18315803756926224,0.2064634236494782,0.24527306285214276,0.20942335928913702,0.2426271538776918,0.1848884316482415,0.2215493128076602,0.19211859425365618,0.22683205241711552
CTG,0.29019380506279246,0.21307740188688834,0.27035868961598947,0.1599296730382843,0.2949510481385549,0.1996587865258085,0.15281230192119408,0.23435799500894364,0.24380947070563322,0.3179182940434213,0.22786520975186342,0.2947122775183076,0.30944040668554346,0.21304152106485186,0.0010602637885962795,0.08993942325102322,0.13750801462920606,0.20821408429358526,0.1448817562954859,0.24649055612865292,0.1338826139833504,0.27754278207873495,0.26995411469807434,0.27740759767943374,0.24518193382142203,0.25462577524444624,0.1346413352175711,0.291114428831129,0.1424197571149151,0.13836973136764238,0.21025488319640356,0.25831528242883767,0.21433360540424876
FPT,0.22372229486468898,0.23191196992380778,0.19763153892067153,0.23708140375296144,0.17766007967786188,0.2855787202766491,0.2169963665312427,0.2452020924154313,0.17308391719572325,0.22216279705127567,0.19588276441920183,0.20343663344426613,0.26148558100949687,0.2078556809627624,0.07713113063465438,0.07596953635136505,0.19671330222485287,0.18685246370215736,0.14874691365705967,0.20982967046899156,0.10463632759194692,0.2184338428082083,0.2356407163839093,0.228915922799721,0.1812927250358624,0.15433203839057744,0.19325061668942073,0.19847548105131912,0.23775712624146783,0.19610986055249066,0.22220875812069643,0.21633603687710112,0.21378395980562018
GAS,0.21919306149066697,0.2971166167297517,0.299839047305371,0.3410705690400912,0.20566433446731938,0.2608601078641961,0.48777286382188784,0.29303773417796236,0.19950215240105074,0.19158202704060218,0.19273728441188134,0.20077834078696935,0.24214783528710726,0.13776228128647292,0.02742779944674614,0.03665546989679876,0.39882371792392485,0.2785459165142377,0.22700909088891016,0.18244976046572373,0.03347822284235923,0.23077688520646342,0.29175448878419885,0.17331713108103747,0.1654813437290804,0.2579306194373915,0.2272991066681724,0.22467755099181752,0.23683956105936826,0.17902911184325498,0.2342752653631484,0.1427720761770381,0.19483038739142794
GVR,0.22888841149260586,0.1577807344365936,0.2447818290808239,0.17570912456460114,0.21464960730938634,0.14159213149500158,0.27168333032685893,0.2567042561914697,0.17519889104700706,0.270414423415123,0.2140056010821402,0.22516814491834836,0.23073135563072475,0.16046936204887174,0.1000046668380751,0.094090356200933,0.28040185912679705,0.201375737166649,0.17766424306228892,0.19522030852163852,0.02903123154461895,0.21363941137159959,0.23806466736291892,0.23501039010894845,0.16220062965671786,0.23019236548049912,0.15663723470878055,0.21334439349162704,0.18785002354049243,0.153511837486124,0.19795856968213618,0.19255434408552094,0.20508206618251917
HDB,0.26075739247000296,0.2528839726114404,0.2609350647207866,0.17923478660626788,0.27184369775742834,0.16819641877084604,0.19470127014982747,0.22178670647853566,0.2982071916262234,0.26903064195181287,0.2103692889821802,0.26600692813735793,0.2640061588415798,0.14695559330481767,0.005479367045974012,0.10217968311487313,0.17549231606341073,0.26723455468506635,0.13307043820262876,0.2803975022832213,0.19416376472495622,0.3003643034280344,0.3095930271306345,0.25620527068558063,0.2851945708426437,0.2393761618875087,0.16487082436741035,0.29398600725326623,0.1756146052216976,0.18914957099233676,0.2003908461757431,0.2876685804602335,0.24120490748641424
HPG,0.29269107462420163,0.1309287418426647,0.2308603428442796,0.0800981385746605,0.26137667714105434,0.13565731468596756,0.15864056091493492,0.1840665845602516,0.20238820335155375,0.38668747811356324,0.23842729567431323,0.2467023791901173,0.3501656130059748,0.24227194434473456,0.09505779881011364,0.16623423818088232,0.1401349450691028,0.19028372712576908,0.1453920631067835,0.24551439022816773,0.042799266316617346,0.31079234656401084,0.27973534567384745,0.275559803443146,0.22579359995445944,0.2492204357905159,0.14273307709645464,0.26141171313090444,0.16082548280770712,0.17828338154173948,0.21331642499177947,0.2883784428543791,0.18740534968430902
