,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,1.0,-0.21664189562221195,0.03820263000280155,-0.13990233413771702,0.13083959171861229,-0.0524945411175989,-0.19769484955708408,-0.12286977012545112,0.10194662039029109,-0.00742284826872715,0.12316276142235402,0.25117077829523676,-0.04148401442119061,-0.049767318701651804,-0.13589381934833536,-0.12126687357250068,-0.1313036752295471,-0.09117411717223069,-0.10058290370057082,0.14345477544514107,0.16274845430265783,-0.03458411612824614,0.0770349831628814,0.22576123285486763,0.17409576612592909,0.09640137151874013,-0.19043393093076827,0.1402357175658548,-0.15677595599925206,-0.08497728674010742,-0.1464704581100644,0.041853018575526826,-0.1590652867165527
BCM,-0.21664189562221195,1.0,0.06301131076991932,0.17775936040372728,-0.0308010340872906,0.08889617541010947,0.23273436202729814,0.1859659040114905,0.011406231120317422,-0.08683106487610957,-0.08308818168075752,-0.10111921101938341,0.09875435731685225,-0.039736606558722236,-0.1802687886934956,-0.09246376045506724,0.10233656603738926,0.2162729219907035,0.10163210831024565,-0.08406957510404166,0.015808604300619082,0.03277229126654516,-0.000484900223913946,-0.1689485245457605,-0.03086031916858378,-0.03415026254794276,-0.05182096694733624,0.04059811168318286,-0.04870811259342595,-0.12104099107815541,-0.032857974479373726,-0.07798450057291738,0.02741934060935992
BID,0.03820263000280155,0.06301131076991932,1.0,0.01664380926251734,0.2529344938259106,-0.03254232227764565,0.12700474812288975,0.09612863867757093,0.01908728734287528,-0.07376364887612996,0.01794713504900815,0.1316402604099695,-0.05336011314898997,-0.0646431990809229,-0.086200638079449,-0.10459623169614529,0.18900152047140384,0.08107399706446765,0.032879090303051556,-0.09879670913689918,-0.045649475447491636,-0.043094879293713736,0.09223439576009312,-0.06045920350316615,-0.01226938710491782,0.22508408332853508,-0.1271286296494084,0.05677787666748628,-0.09846715123999432,-0.11999163012984342,0.04789989302219509,-0.0992245902131496,-0.04078879497655357
BVH,-0.13990233413771702,0.17775936040372728,0.01664380926251734,1.0,-0.10976012668471367,0.14398770447509968,0.32291120401362433,0.09943032608979843,0.0015021288100804052,-0.19335782781665806,-0.006749949035232095,-0.0468299336978065,-0.0826461729462326,-0.0576898092824202,-0.07580493966321006,-0.12487327440092537,0.2736210444414747,0.14347747668190552,0.07465309176683331,-0.06550388151778491,-0.10222675662844284,-0.13248316655055206,-0.03133772251684347,-0.11407999855949374,-0.0916628265244307,-0.03534981102878158,0.07983871151768986,-0.1069807969415432,0.0693484592717803,0.025800878476559316,0.07883091099456405,-0.06980898551321582,0.035451003130990554
CTG,0.13083959171861229,-0.0308010340872906,0.2529344938259106,-0.10976012668471367,1.0,-0.08668979058239079,-0.12490953290990056,-0.017499340895451965,0.04647914263949667,-0.05841441357579186,0.08400974721567411,0.27899004004008865,-0.05277591488200125,-0.04875233256420685,-0.13820178298696614,-0.1246925655272805,-0.12446750403539068,-0.050688618703888244,-0.07878077176933908,0.06309562257911716,0.03907790786264374,-0.015490717054219784,0.0766800662812547,0.11968480687996837,0.09801276657985197,0.0314858914641628,-0.1321871803243822,0.09136661364640283,-0.12067434287820927,-0.1172149840055342,-0.0906661017438472,0.00989760800463074,-0.0534347343144062
FPT,-0.0524945411175989,0.08889617541010947,-0.03254232227764565,0.14398770447509968,-0.08668979058239079,1.0,0.11756097162363575,0.04128730190908681,-0.05702483062423527,-0.07598682231130675,-0.03483633817144149,-0.061458786534479476,0.0005682362418727525,0.17263765024398883,-0.049931663326387564,-0.07358299124500167,0.07428090746134718,1.1977424430786888e-06,0.07159631177451169,-0.06716693744657191,-0.017432132489812995,-0.0684137304276496,-0.10067269794854193,-0.08894821385335601,-0.10705127114273501,0.004663257160004679,0.04336198704383364,-0.14414174257896403,0.07153613208785238,-0.008283592141035356,0.15639363810821172,-0.05880185228229366,0.011781954354656135
GAS,-0.19769484955708408,0.23273436202729814,0.12700474812288975,0.32291120401362433,-0.12490953290990056,0.11756097162363575,1.0,0.14247542017406262,-0.07985461695634125,-0.10053696405521517,-0.045868571261791426,-0.15604500057300535,0.03180065472900937,-0.06793895896736535,-0.05237750472207599,-0.14291060339625553,0.477103112737227,0.16027394194796468,0.18988375828017612,-0.15556940173817704,-0.12517159281537443,-0.11215733593890075,-0.001432889766723542,-0.21585325730863802,-0.13903556987649315,0.10080971383536064,0.09432721845031303,-0.0828927430025944,0.08236056520806748,0.0034248448344147077,0.10873241836221548,-0.1624699615544719,-0.003945509005828428
GVR,-0.12286977012545112,0.1859659040114905,0.09612863867757093,0.09943032608979843,-0.017499340895451965,0.04128730190908681,0.14247542017406262,1.0,-0.11752108589473918,0.02864616560602772,-0.020028499414981416,-0.044505699938546826,0.05820745544375819,0.08352708840954744,0.006671332842737147,0.08205711766610173,0.23401322945761277,0.05076244187141039,0.04646653735078616,-0.04906376505256789,-0.10017637105366164,0.09241980047290066,-0.02558754872382266,-0.04359810454037589,-0.09103435462895525,-0.09812739325735399,0.021759898177114396,-0.07852782746367527,-0.01428910789723447,-0.11328796648221717,-0.027272762732904663,-0.1174530666703706,0.014425983590730633
HDB,0.10194662039029109,0.011406231120317422,0.01908728734287528,0.0015021288100804052,0.04647914263949667,-0.05702483062423527,-0.07985461695634125,-0.11752108589473918,1.0,-0.13059576110556964,0.10416805970008108,0.09629225823567736,-0.11108689933799876,-0.1295912420755229,-0.1275836518401079,-0.07698885655958267,-0.09118823510799803,0.008463274091626685,-0.01919332682192212,0.07209009320687491,0.14638619887564855,0.018155120480725512,0.1148831223152807,0.09150782731429118,0.1310844747697146,0.02463441414640029,-0.11319053826115087,0.10913854904911727,-0.06144707263944558,0.11746152161722574,-0.08603066493647986,0.02137501001176038,-0.030214430783526064
HPG,-0.00742284826872715,-0.08683106487610957,-0.07376364887612996,-0.19335782781665806,-0.05841441357579186,-0.07598682231130675,-0.10053696405521517,0.02864616560602772,-0.13059576110556964,1.0,0.04613416221481228,-0.05953292630270815,0.1331878047743857,0.08786411353107013,0.015469897758893878,0.06430229446263014,-0.11480561003615238,-0.08078225485194943,-0.06652486515621361,0.03280653036684636,-0.09508748110750602,0.2682970741328721,0.007551357051312694,-0.040474192418126775,0.00956692954793185,-0.015067158577914441,-0.0948811166066923,-0.005227597825060312,-0.10411448507656525,-0.07115060025844364,-0.00323571964024526,-0.005176614954860335,-0.09175199086710527
LPB,0.12316276142235402,-0.08308818168075752,0.01794713504900815,-0.006749949035232095,0.08400974721567411,-0.03483633817144149,-0.045868571261791426,-0.020028499414981416,0.10416805970008108,0.04613416221481228,1.0,0.09433037804592359,-0.017690870678596985,-0.07353380829009272,-0.04858069089347012,-0.11506084155168976,-0.08173213002085039,-0.02721021573936885,0.0031614219693018256,0.16735748272586576,0.047881424417121884,0.06300120036909562,0.12103131323518251,0.0321530457874281,0.04938514345073284,-0.07333547876366246,-0.06854011988069353,0.1069899439039184,-0.044185270538970506,-0.060798522838297,-0.10286758313217391,-0.03375652474562255,-0.03589592430201115
MBB,0.25117077829523676,-0.10111921101938341,0.1316402604099695,-0.0468299336978065,0.27899004004008865,-0.061458786534479476,-0.15604500057300535,-0.044505699938546826,0.09629225823567736,-0.05953292630270815,0.09433037804592359,1.0,-0.08491506920340049,-0.026438903856152232,-0.16464426435520824,-0.10275682408789272,-0.1273738266668678,-0.06924416980802887,-0.06562215777856074,0.12021752611102467,0.0855735713103971,-0.016088437129252994,0.06389424353520656,0.2588054782417627,0.1541413676279229,-0.04556928885570731,-0.1973638254110017,0.15993863122408045,-0.16874482144217973,-0.13650026406358065,-0.10540769226604411,0.004830584367954245,-0.1571413631628002
MSN,-0.04148401442119061,0.09875435731685225,-0.05336011314898997,-0.0826461729462326,-0.05277591488200125,0.0005682362418727525,0.03180065472900937,0.05820745544375819,-0.11108689933799876,0.1331878047743857,-0.017690870678596985,-0.08491506920340049,1.0,0.11995689407504187,-0.027288530040834327,0.003275783416079192,-0.10878156637484432,0.008841849745101701,0.09658342543975038,0.018939034471924954,-0.019587486284804407,0.037167274104678,-0.054184709356530796,-0.06843912092783969,-0.022932514591945133,0.022748384463487602,-0.03650409555032764,0.009075541615977154,-0.09300063798401322,0.013060553006779586,0.059218201156947176,-0.05507771952647062,-0.02528287038291785
MWG,-0.049767318701651804,-0.039736606558722236,-0.0646431990809229,-0.0576898092824202,-0.04875233256420685,0.17263765024398883,-0.06793895896736535,0.08352708840954744,-0.1295912420755229,0.08786411353107013,-0.07353380829009272,-0.026438903856152232,0.11995689407504187,1.0,0.06680724890277469,0.0781485648382956,-0.052935971035146044,-0.12446034299724215,0.029776296273786976,-0.08252023028769503,-0.17325506584548905,0.08460001430908645,-0.096079621795851,0.08142901163148948,-0.10807654092733672,-0.10369041822380624,-0.023632816695215223,-0.02060923508725759,-0.09701194614752912,-0.04790684608222854,0.030632502368912688,-0.037616421307150635,-0.05030718728866133
