,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,1.0,0.27507379633080603,0.5071324640949825,0.3413806773114989,0.5763888050985302,0.4103654317583121,0.23849014397030172,0.39211638588153147,0.5410090557030112,0.4489634005426567,0.4431908615168049,0.6716840206123907,0.3195319600494706,0.3841482242557149,0.23186081206416084,0.31246967581493756,0.2826263104273837,0.29305161691479104,0.19591052750006108,0.5106533632430057,0.3861546159207156,0.49795340603781024,0.5231405806166477,0.6300383401359173,0.5741498259122105,0.40191090997907203,0.282108054110877,0.5775486774399827,0.1752529380623432,0.2662379323736824,0.2812598624437167,0.49235538598894013,0.2736475303954135
BCM,0.27507379633080603,1.0,0.28832270482107225,0.31171939522958314,0.309497601875361,0.28269978538575813,0.3221334744669907,0.42020506584680406,0.2671769767381832,0.28372886969420436,0.19641320299540962,0.30631693971871937,0.31779328425448333,0.3378832342478987,0.21717113554415968,0.22239631259896225,0.28978286277475834,0.33868155444915804,0.207948258390789,0.24597752331432948,0.16856561076374071,0.29565615205428986,0.25118921964056623,0.29427526406662985,0.2962744387466309,0.25314999623155154,0.2514793921474212,0.2934895323865314,0.21630131912818684,0.2109149211708102,0.25134475091223335,0.2636994341429791,0.23768429463815705
BID,0.5071324640949825,0.28832270482107225,1.0,0.35324412723942994,0.6234094081389104,0.3472619540468636,0.3034542687039779,0.38363719753208053,0.4704181890818022,0.3969409807766452,0.41193669619297885,0.5770461638291584,0.3198957914501107,0.35652445576019604,0.202457244438905,0.3173908230747974,0.32472352454405434,0.36216732153211006,0.228695015036969,0.4140962481487149,0.29992310460067756,0.45635259879042184,0.4976994154531915,0.5092147129493451,0.4670570275645203,0.5012043575572185,0.23807165611637293,0.49223011020445095,0.1931186903359289,0.22777168277713286,0.3374402582501539,0.4275045910695507,0.2857805567721256
BVH,0.3413806773114989,0.31171939522958314,0.35324412723942994,1.0,0.3335859924466748,0.3279010619931773,0.3378428577728395,0.44618936048256275,0.29047820309230077,0.3417213268689305,0.25686584035197835,0.3425242137649397,0.31963531368893217,0.33990188649080516,0.17289920521256003,0.24312259225068003,0.37701815216576906,0.40594723614326716,0.26250492408107357,0.3254299992300026,0.22756203146951876,0.3850709400560178,0.3117546971839852,0.3220656569901467,0.32555698925402377,0.262932504388202,0.24853020555089528,0.331501224262481,0.17849648854848404,0.2306851183905081,0.33094119453432025,0.2872787696623809,0.23829933046003157
CTG,0.5763888050985302,0.309497601875361,0.6234094081389104,0.3335859924466748,1.0,0.3634205578962536,0.28131075045018983,0.3746861723350965,0.5333594211189528,0.4304659902573913,0.4508431621286098,0.6708575149327939,0.3544950306059828,0.3871468783143641,0.23057158244876247,0.2999934881201597,0.2903071418405925,0.33041918267212655,0.23010298531101867,0.46098215202993126,0.3706255048943382,0.5289029592780738,0.5353403387954088,0.5898768795928567,0.5603561295375935,0.4596214580227375,0.28917785955075526,0.5502914056327033,0.21145491717261858,0.20560882140475428,0.2808335432524197,0.47107467034737416,0.3222497349168783
FPT,0.4103654317583121,0.28269978538575813,0.3472619540468636,0.3279010619931773,0.3634205578962536,1.0,0.32175747352050366,0.37504783155175925,0.33215626700848727,0.40810156143222676,0.3080386854391894,0.37710460797668627,0.3409425942799516,0.43608629848166724,0.17452149502142952,0.2525778909574375,0.30205876555517286,0.28606446979627376,0.2144137011300182,0.28364524336549796,0.2742263584381244,0.40330053671370875,0.3276410875609122,0.37919075388080026,0.354019528124809,0.31989576037608747,0.23963535965454236,0.3427128635967721,0.16803105653607667,0.19858080840950693,0.283247177006143,0.30762791682636503,0.21884088095242363
GAS,0.23849014397030172,0.3221334744669907,0.3034542687039779,0.3378428577728395,0.28131075045018983,0.32175747352050366,1.0,0.4069203317386256,0.21265938045609203,0.2694923440863978,0.18537816559527492,0.2791979241100745,0.3421406965137624,0.29043799604320575,0.15612264440954154,0.17341356692930612,0.5178908502757504,0.3663119163466499,0.2068709037500365,0.2009849335417075,0.1330613097965895,0.29279035411518733,0.2502319597318179,0.24330372034593123,0.26204116922501425,0.2679659323953012,0.18255348008850533,0.22847849655124866,0.15837080841670928,0.16894839019133961,0.2877126745033264,0.20752274234420032,0.21524789858447205
GVR,0.39211638588153147,0.42020506584680406,0.38363719753208053,0.44618936048256275,0.3746861723350965,0.37504783155175925,0.4069203317386256,1.0,0.32967994615271157,0.40368421759699796,0.3002746495888972,0.39057716495753936,0.3475346048029474,0.3677061491143915,0.2598358894450819,0.3564219578015435,0.4838039004258465,0.4792987421151414,0.1756768986170334,0.37534473192050505,0.20804729477673745,0.47006774986818,0.34717514228544727,0.38210598894517667,0.3904273683856797,0.23842329124764866,0.2455863146208077,0.3761056337379139,0.18159565928732016,0.22567226187050388,0.3035872047402089,0.3219112759839877,0.2761145486659314
HDB,0.5410090557030112,0.2671769767381832,0.4704181890818022,0.29047820309230077,0.5333594211189528,0.33215626700848727,0.21265938045609203,0.32967994615271157,1.0,0.4287081759692276,0.3932706162787401,0.5697380651928663,0.3226516693329278,0.39561125649202955,0.26732142953873117,0.32337476551183275,0.2797044393879923,0.28501172120420704,0.20732195318386287,0.45307678717420713,0.32237367324024013,0.46354428639512774,0.48363214319840653,0.5545411937579131,0.5060898591756058,0.4105847649900223,0.3002224973588112,0.5211484213357317,0.2243044665874367,0.3324293024858556,0.2534760072876686,0.4472102465362166,0.3062444898580211
HPG,0.4489634005426567,0.28372886969420436,0.3969409807766452,0.3417213268689305,0.4304659902573913,0.40810156143222676,0.2694923440863978,0.40368421759699796,0.4287081759692276,1.0,0.3470262591926584,0.500750498580567,0.4028370660580588,0.41775327507696836,0.2872509783565325,0.36827125390938853,0.32006625098147445,0.343185645465869,0.18580027637178012,0.3870090748733583,0.32291512218429086,0.5464078894850355,0.4342010355324465,0.4692889278599918,0.4485726701653701,0.3272670890799288,0.26584309037902576,0.4438159035071524,0.17818822543329368,0.22884385047681916,0.27097368077461687,0.393179393268559,0.2352440559863203
