,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,1.0,0.17716063845862895,0.37132188494033913,0.2593461487539935,0.4685094609872448,0.34137509248172737,0.2539250366784181,0.24994674077368575,0.40232207867336645,0.375979488211721,0.32580588721847525,0.608306139761146,0.3039442237733386,0.3573268587646772,0.20787429472206762,0.1665319823380067,0.23991849118483946,0.2725339112117685,0.20619923829839423,0.3734558831796191,0.1203183538209035,0.38775128188094093,0.45573554576412484,0.5589462576456303,0.40134308911191025,0.3931637992795044,0.23683854377826163,0.4516089787022604,0.2678681377203996,0.2403559650772544,0.3063505317042482,0.06747120637534915,0.036797290256641246
BCM,0.17716063845862895,1.0,0.1819276942469189,0.15717308377947403,0.1927089574457914,0.15329259731611478,0.1826660562354922,0.2382675310883866,0.11430263274098028,0.1379179422886493,0.09304505315930262,0.2023894860332791,0.17340567500948553,0.18545178319019723,0.08887774363526851,0.14561167006456982,0.16038451376143306,0.16901545165661136,0.11072710118918981,0.12339065696473558,0.022089790159473884,0.23124906113391375,0.1766519730259047,0.19907923823884072,0.1518358539520372,0.14607101688124735,0.11937504386519415,0.11264988483901583,0.13778695359972273,0.08433211257889331,0.10560947074034288,-0.04464426911278868,-0.05004108002594178
BID,0.37132188494033913,0.1819276942469189,1.0,0.2218404782141212,0.5110511181211138,0.23920756488505868,0.2563562939374639,0.22696401714439227,0.3438136567364192,0.273663592799809,0.2962174678020009,0.44721012094712603,0.2580478825046644,0.27009339766092577,0.18747532061264444,0.22781105837622076,0.24109739260821472,0.27421013780795955,0.17313985197125578,0.3128944396227462,0.059725255392521874,0.2943195124126807,0.3571696640255017,0.3574669401644272,0.2657981732157607,0.39716512236332446,0.2316827446619646,0.3691610566310794,0.21482005757232084,0.10686581104143904,0.2080989833571186,0.04386977434899014,0.03412382515432194
BVH,0.2593461487539935,0.15717308377947403,0.2218404782141212,1.0,0.2516284476990907,0.24936854127145808,0.2474351037110026,0.1904350841322934,0.26461643829056514,0.2554124252224386,0.2280223446957366,0.2816890471938425,0.2625451977110947,0.2069182108180448,0.18848588078414694,0.1658343458730931,0.2575806252454261,0.2851146884024532,0.14212247033738795,0.28564362899688706,0.07727401193659544,0.28101631969057045,0.29620442152815235,0.2616994744991926,0.2114860516037092,0.22453344434712558,0.16428220650104333,0.23028625289773375,0.12751419818558435,0.16989964783559505,0.23673461649088717,0.03264849223805698,0.031083297465475574
CTG,0.4685094609872448,0.1927089574457914,0.5110511181211138,0.2516284476990907,1.0,0.27572268939712324,0.22980226292867603,0.264827128149044,0.35279922273566605,0.3361800450613619,0.3436081583915833,0.5652363945935533,0.24392129085556574,0.31555653515908116,0.18928615946197438,0.20570145557213207,0.23473774393532004,0.3012578615165912,0.19269396920377882,0.387998327887977,0.06283175610279937,0.37570709341364283,0.4520838881414861,0.48798858745564194,0.37851864842704536,0.38082047692310295,0.23827186713609586,0.4255785113261957,0.23495816043487167,0.13740029138639678,0.22977122569943953,0.018904821022354405,0.010957177099093015
FPT,0.34137509248172737,0.15329259731611478,0.23920756488505868,0.24936854127145808,0.27572268939712324,1.0,0.2253452699703651,0.243329258768457,0.23121572285007308,0.30848217015104795,0.19983680285616573,0.3207024082096055,0.3039627435587025,0.33562778827098244,0.17499308121268084,0.1574345208833458,0.20292308887995011,0.2596151548095095,0.1839939000797051,0.26905378441674166,0.04878851944591527,0.33936598224846165,0.32324218875957544,0.3477179817009663,0.24346507604311832,0.28836212236880915,0.2207800926774071,0.2629558773730426,0.13787781567484617,0.26195781172518734,0.26438914459889884,0.027063576066866244,0.019293106770060135
GAS,0.2539250366784181,0.1826660562354922,0.2563562939374639,0.2474351037110026,0.22980226292867603,0.2253452699703651,1.0,0.22953259505504353,0.2545032296404121,0.26982844839857806,0.17602310028130905,0.30962060165769384,0.25001266414259,0.25446213234616644,0.16874777166534535,0.12557326497270857,0.4226005036855197,0.3200565083646379,0.2244233605705768,0.15222300962662416,0.029758594456554543,0.28976707306244087,0.3021139862804221,0.29661089446222094,0.16363489167627146,0.28186747598848244,0.22580737884310734,0.23264991322232673,0.15617150256869472,0.21704980709403743,0.22638971874212427,-0.005571324239430912,-0.014071165184709654
GVR,0.24994674077368575,0.2382675310883866,0.22696401714439227,0.1904350841322934,0.264827128149044,0.243329258768457,0.22953259505504353,1.0,0.18556615730055245,0.26185905902547146,0.20836460394823056,0.29923360964866813,0.2431092054313006,0.20583165274576395,0.1276844409472483,0.1824801875596877,0.24303817227034633,0.2749178969177836,0.1540553812011053,0.2701714237540587,0.026309515283765558,0.31213655023241177,0.2209491168942754,0.24903544695136018,0.1983337682754872,0.1536398094560864,0.1465514739656884,0.23944219919992651,0.15217583935772333,0.07365189266516971,0.15196538047269778,0.01555790873537602,0.01582509106147637
HDB,0.40232207867336645,0.11430263274098028,0.3438136567364192,0.26461643829056514,0.35279922273566605,0.23121572285007308,0.2545032296404121,0.18556615730055245,1.0,0.30274623439041626,0.2813136522522589,0.47496596348137743,0.2573776009555389,0.27746368848188296,0.17731993975797597,0.14088538482997853,0.28454542203700933,0.2385506546665289,0.20988885498010934,0.29411909078880033,0.11309389085494008,0.3138164623144433,0.40876549122106703,0.459954180942938,0.3158096633959618,0.32553054023317374,0.2777335591408854,0.3407233326497145,0.18500139236546506,0.25807502653385017,0.2567951009139638,0.023358931909452065,0.013917300758142445
HPG,0.375979488211721,0.1379179422886493,0.273663592799809,0.2554124252224386,0.3361800450613619,0.30848217015104795,0.26982844839857806,0.26185905902547146,0.30274623439041626,1.0,0.26607479799372474,0.3964429986905787,0.33886892910340355,0.2921093445644279,0.23580034999217117,0.21094944570773408,0.2837441205921281,0.29720812669728247,0.24290519999841387,0.3163465790484316,0.049582094698119604,0.4461402195407837,0.3532268896773907,0.38307077719639715,0.23169893806850622,0.3538266532135932,0.2903179188926677,0.3258363218546773,0.20139505496056662,0.2113986564686073,0.30263600633445664,-0.0036064874376587758,-0.012092024050231081
LPB,0.32580588721847525,0.09304505315930262,0.2962174678020009,0.2280223446957366,0.3436081583915833,0.19983680285616573,0.17602310028130905,0.20836460394823056,0.2813136522522589,0.26607479799372474,1.0,0.4155041319614675,0.21818597836327175,0.19463807383303722,0.19686031420614047,0.1586778124355131,0.22106359067410677,0.16927661811938385,0.1951511906233108,0.30514965392965016,0.09235192991412827,0.22252711549710721,0.3413737075510449,0.38317001895040004,0.2734135861912778,0.2088154292127273,0.17849675094564324,0.3611387178172834,0.17398081624227432,0.1748295920533877,0.1985403707181869,0.02930056706488741,0.013977969470580791
MBB,0.608306139761146,0.2023894860332791,0.44721012094712603,0.2816890471938425,0.5652363945935533,0.3207024082096055,0.30962060165769384,0.29923360964866813,0.47496596348137743,0.3964429986905787,0.4155041319614675,1.0,0.31209120337447144,0.3725003873439051,0.2548788452721777,0.23684380326999557,0.2951955079614732,0.3282976637775463,0.23038420184870656,0.46637476025273,0.10792291242678095,0.43527839386008227,0.5228825107359252,0.6126057686831685,0.4231774029442986,0.4206077628406104,0.3092403829637725,0.5459717526534559,0.2686784704580142,0.23795474376904788,0.3089212761552289,0.04916939090215337,0.004002223948913014
MSN,0.3039442237733386,0.17340567500948553,0.2580478825046644,0.2625451977110947,0.24392129085556574,0.3039627435587025,0.25001266414259,0.2431092054313006,0.2573776009555389,0.33886892910340355,0.21818597836327175,0.31209120337447144,1.0,0.30208347556600834,0.2379638872778346,0.20876474196811726,0.25767860769750633,0.266926725814795,0.2843680323042703,0.25899342391833724,0.07583705872860562,0.34561758728205566,0.2865675804090491,0.28792617955582384,0.19282171126582667,0.29842144180146757,0.2584877053197299,0.25711516688322716,0.23780134054394908,0.279143295662134,0.27137210094506453,0.017465799758764035,0.04052891317393567
MWG,0.3573268587646772,0.18545178319019723,0.27009339766092577,0.2069182108180448,0.31555653515908116,0.33562778827098244,0.25446213234616644,0.20583165274576395,0.27746368848188296,0.2921093445644279,0.19463807383303722,0.3725003873439051,0.30208347556600834,1.0,0.17147531057963233,0.16616913722672733,0.23657175901218067,0.30865946857884086,0.15237741502040714,0.25485572691479524,0.08860177676494353,0.3732017543074883,0.27281685515212606,0.32511586507911167,0.2574546411561401,0.25883530066815835,0.1855162724323978,0.3019339988871782,0.1473878586107762,0.26136290284903096,0.23213116338442608,0.022563891451482035,0.017186134512414197
NVL,0.20787429472206762,0.08887774363526851,0.18747532061264444,0.18848588078414694,0.18928615946197438,0.17499308121268084,0.16874777166534535,0.1276844409472483,0.17731993975797597,0.23580034999217117,0.19686031420614047,0.2548788452721777,0.2379638872778346,0.17147531057963233,1.0,0.4365338932656707,0.18996586340175362,0.21542903909020908,0.14910729968032138,0.17243343463946012,0.015242430264189696,0.267367984663182,0.2182219123095573,0.24166466405861387,0.17294893862005245,0.195995331915289,0.21250856783101435,0.19604424985657426,0.1337092500061357,0.19390790578597009,0.13650111388129554,-0.00448853254258318,-0.008336012947962813
PDR,0.1665319823380067,0.14561167006456982,0.22781105837622076,0.1658343458730931,0.20570145557213207,0.1574345208833458,0.12557326497270857,0.1824801875596877,0.14088538482997853,0.21094944570773408,0.1586778124355131,0.23684380326999557,0.20876474196811726,0.16616913722672733,0.4365338932656707,1.0,0.14244235332180533,0.17935195047211858,0.12301913730303128,0.18074620544180012,0.06612932166165547,0.29290568792814525,0.1327613877347844,0.20241832173610766,0.18406927202869464,0.18845283382316327,0.12828262622710507,0.21708071879988713,0.12505907385035933,0.11389497115265157,0.11775744236010208,0.011325365106356495,0.0014795103486360379
PLX,0.23991849118483946,0.16038451376143306,0.24109739260821472,0.2575806252454261,0.23473774393532004,0.20292308887995011,0.4226005036855197,0.24303817227034633,0.28454542203700933,0.2837441205921281,0.22106359067410677,0.2951955079614732,0.25767860769750633,0.23657175901218067,0.18996586340175362,0.14244235332180533,1.0,0.32510362774479484,0.1731740032591398,0.20431192635653056,0.05033528670610859,0.2869065961847797,0.2753153912670509,0.27313866563806355,0.18145954884569024,0.2367646136796063,0.19559872884647667,0.20324542269543677,0.11598468756723287,0.22860156487090535,0.22400908549239332,0.006205919808802879,0.0059510439832991075
POW,0.2725339112117685,0.16901545165661136,0.27421013780795955,0.2851146884024532,0.3012578615165912,0.2596151548095095,0.3200565083646379,0.2749178969177836,0.2385506546665289,0.29720812669728247,0.16927661811938385,0.3282976637775463,0.266926725814795,0.30865946857884086,0.21542903909020908,0.17935195047211858,0.32510362774479484,1.0,0.17109270221211098,0.24305940737065174,0.02780154834965483,0.3501939966670104,0.2926783681017118,0.2562480982840734,0.21747550593383339,0.2766518886015863,0.18167168646196688,0.20731725300421217,0.13425700792232215,0.2342586198377803,0.21768862177600443,0.0011229338886029928,0.011914912311500705
SAB,0.20619923829839423,0.11072710118918981,0.17313985197125578,0.14212247033738795,0.19269396920377882,0.1839939000797051,0.2244233605705768,0.1540553812011053,0.20988885498010934,0.24290519999841387,0.1951511906233108,0.23038420184870656,0.2843680323042703,0.15237741502040714,0.14910729968032138,0.12301913730303128,0.1731740032591398,0.17109270221211098,1.0,0.1939858380257847,0.050184220118259765,0.21113302517736443,0.1930278140921072,0.24008979155744253,0.11388436838236088,0.29512730209650756,0.21246218347320983,0.1982327151155895,0.1955917474799049,0.1877846876869611,0.3028261682646966,0.015229973438254529,0.018952788008827014
