,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
ACB,1.0,0.12794041179354754,0.4236024864033316,0.2901999176138368,0.5165224483179734,0.3232244105903117,0.2527108228709317,0.2950968192260053,0.35401633056624915,0.35812375553226833,0.35548813734709817,0.6054114235967364,0.28515067193971105,0.31000981693920576,0.15505901060967947,0.17457106656044122,0.29463579135903045,0.2803230966239086,0.22966231215106886,0.3781687523199001,0.1570124745940163,0.366415200086369,0.37674835864162565,0.5502492277552153,0.4272978621349107,0.3732039878433347,0.21545455432085128,0.4695161600973887,0.22048892437519305,0.15809592487329927,0.292173266283479,0.33501474971163164,0.20065514522372258
BCM,0.12794041179354754,1.0,0.19329894678772103,0.19838404737850596,0.20258033099481948,0.18137974310213847,0.2010334572876147,0.27797414086234207,0.09558082853295179,0.20377631486529987,0.060065818166936104,0.1974559067729079,0.19073572736395128,0.1184152480984744,0.08042783128441575,0.14396492017061668,0.18251769804888288,0.14590552776713064,0.18665726319545148,0.15591799877033963,0.08650108949053582,0.24762210088788952,0.08643449986333873,0.17300702885452018,0.14009082800056283,0.1713311579899046,0.12258121137317433,0.1088869882440182,0.06313970093701816,-0.011740259423346468,0.1898229103233879,0.20916737150829007,0.10908242015680919
BID,0.4236024864033316,0.19329894678772103,1.0,0.27486999633225906,0.5113837168205756,0.2255526625254406,0.25063443959923803,0.262059625211519,0.3189440112616312,0.27474763724793044,0.3836951593665465,0.49216432951821826,0.2531743824689275,0.2651477945379844,0.14209281115682457,0.24124753347707797,0.2791586058363308,0.26200070194445046,0.15302171928177435,0.3205266709867123,0.11889362878866742,0.3185966561649628,0.3486332926125873,0.3915064375812365,0.32552991860983554,0.4001927150126921,0.20611576140593543,0.39503875426260227,0.1948980347167413,0.0714832347741338,0.24952900939582504,0.22494042040896495,0.15107084720924027
BVH,0.2901999176138368,0.19838404737850596,0.27486999633225906,1.0,0.3006888772332656,0.2748314841143328,0.3168631100678114,0.3235068363606986,0.1820503119692078,0.27764909399615123,0.2128037202566463,0.3087246775437562,0.22124759209095285,0.22019143917146766,0.17289452164035599,0.1925237926056542,0.302628869184776,0.3144781708468512,0.19432064378596778,0.2705248940840572,0.10287976905947686,0.26755329652075627,0.20389000335592308,0.28627917453803065,0.21040576797806343,0.22467562009739364,0.1682998312606213,0.24184534604383667,0.16272030605982163,0.10551426908027746,0.29049366882619515,0.19961942947870748,0.19134761840648098
CTG,0.5165224483179734,0.20258033099481948,0.5113837168205756,0.3006888772332656,1.0,0.2555535402942667,0.2698893678073817,0.2642323994460594,0.33686921261201236,0.36794610006243056,0.36466274954678757,0.601024660180082,0.26609097340400495,0.293665601409891,0.15100673049561963,0.19955223834568803,0.276733740104453,0.2728740178777343,0.19485787650506045,0.3810561566932299,0.11005277376501743,0.38961416706031565,0.45695583404992535,0.5003963612533125,0.40424890008874775,0.3808921922808886,0.2654547517200212,0.44637936979529286,0.21507371768464723,0.111412972165646,0.2643946082381605,0.24164913438115324,0.20797614748596205
FPT,0.3232244105903117,0.18137974310213847,0.2255526625254406,0.2748314841143328,0.2555535402942667,1.0,0.2554927483297272,0.2776247927780148,0.21085966470648057,0.30860232235970075,0.19407516343598236,0.2863613667226419,0.26310359669374594,0.302245650535375,0.11344618540568253,0.14897487768426307,0.19388886388110146,0.24839398783486888,0.21933473061940723,0.21039443878954123,0.11381415005825066,0.3365440022207244,0.2076342315095946,0.3129593221792774,0.25047802315593576,0.30098247871571576,0.22904621547365106,0.1916185624659816,0.16093001898931905,0.17476040498737508,0.2771668031268878,0.22995810749706844,0.17516626197176177
GAS,0.2527108228709317,0.2010334572876147,0.25063443959923803,0.3168631100678114,0.2698893678073817,0.2554927483297272,1.0,0.31054845079450716,0.15662353184330763,0.28553526168623966,0.12924159398604115,0.30386050361327566,0.21768119027777375,0.22222680615991283,0.1258615922617542,0.2015308053948541,0.4151322889749313,0.29088838281832674,0.2813731745149226,0.19157337611850014,0.022539147262484883,0.29448030232298045,0.21220155692715606,0.268302769319212,0.17013152501682774,0.2762468302500527,0.1953091599442878,0.1834172761955295,0.16820845313822289,0.1253746730209875,0.2703210335480989,0.17847200251064882,0.09871642705541744
GVR,0.2950968192260053,0.27797414086234207,0.262059625211519,0.3235068363606986,0.2642323994460594,0.2776247927780148,0.31054845079450716,1.0,0.206848906148586,0.27986696408769085,0.20038555632224517,0.36157565860948276,0.23136254590710778,0.208336958831775,0.12369273987511131,0.19371708724680045,0.34078000114848295,0.3604504982294354,0.16764864179657218,0.30472115708177433,0.10349027693650178,0.35916518811586196,0.16774983003096844,0.28202122766785326,0.24109540303079863,0.18388192132877082,0.150011313030937,0.25646694159064337,0.08888059625166954,0.10299110658885677,0.18126278074323304,0.1859934017213814,0.14244530848396134
HDB,0.35401633056624915,0.09558082853295179,0.3189440112616312,0.1820503119692078,0.33686921261201236,0.21085966470648057,0.15662353184330763,0.206848906148586,1.0,0.26768132522019034,0.272759716486893,0.42749024323510676,0.15194005786370834,0.2198039581526696,0.08196803241344582,0.14735802116809243,0.2207665863801029,0.15689651227454957,0.1381353779317946,0.30978445774357893,0.2028106353551715,0.28303365460016505,0.2629757151460548,0.4048277935769595,0.2853219500228318,0.24275089032797742,0.2075192514336177,0.34467097570782135,0.17051350479093488,0.1976764610873502,0.15751858806491714,0.2784211600317708,0.1640566824835131
HPG,0.35812375553226833,0.20377631486529987,0.27474763724793044,0.27764909399615123,0.36794610006243056,0.30860232235970075,0.28553526168623966,0.27986696408769085,0.26768132522019034,1.0,0.24522049194665596,0.40839142087142777,0.32195602662045525,0.2991932107946492,0.18131709179734692,0.23347990742955302,0.2909431853399246,0.2883452109269498,0.26029663345674936,0.3754157443552166,0.11814463374746645,0.47234436832722365,0.3139627560958823,0.3970668983703484,0.30463003193889965,0.3509551661010626,0.25938579546825163,0.36046149399236777,0.23132087348964353,0.16960294770607143,0.33701884323623166,0.25551402072626866,0.2090674332161473
LPB,0.35548813734709817,0.060065818166936104,0.3836951593665465,0.2128037202566463,0.36466274954678757,0.19407516343598236,0.12924159398604115,0.20038555632224517,0.272759716486893,0.24522049194665596,1.0,0.4179815925703923,0.17048729571475388,0.20453324814375776,0.08155439369553566,0.11841765567021552,0.20317168354937934,0.18346300524601689,0.13428928823202346,0.32753770896011686,0.0842621002880137,0.27694384761666585,0.3456879963229369,0.3879837224834109,0.31641440001163496,0.242691887816689,0.18952650449976813,0.36666706057389736,0.1764865747422035,0.11193404206558097,0.1663856973689093,0.19162612593104897,0.16967485100733912
MBB,0.6054114235967364,0.1974559067729079,0.49216432951821826,0.3087246775437562,0.601024660180082,0.2863613667226419,0.30386050361327566,0.36157565860948276,0.42749024323510676,0.40839142087142777,0.4179815925703923,1.0,0.255987013796754,0.3684489582458545,0.21563867769853046,0.24947285446075465,0.3296461785328124,0.27281467878756327,0.21235803245906432,0.4962224360933159,0.14070443022276694,0.4534088184511675,0.44768541455912525,0.6002877117081744,0.46323304004692434,0.39054116873529965,0.28466492829581513,0.5557710831877143,0.25491943726017585,0.18358756579644936,0.2812563488593493,0.3594986184764333,0.22227014470190196
MSN,0.28515067193971105,0.19073572736395128,0.2531743824689275,0.22124759209095285,0.26609097340400495,0.26310359669374594,0.21768119027777375,0.23136254590710778,0.15194005786370834,0.32195602662045525,0.17048729571475388,0.255987013796754,1.0,0.2696239163969838,0.19857969506978815,0.19068029536715042,0.19951825326293046,0.2727011997123061,0.2915643537919418,0.22872315649480668,0.1031372585189409,0.3008636512742917,0.2025241100125313,0.2946850071390656,0.2277715847443505,0.3001807643832033,0.314052468706048,0.22223097407043155,0.21749101840054155,0.16909658778186354,0.2893174942544016,0.17255114309476305,0.23621232313275004
MWG,0.31000981693920576,0.1184152480984744,0.2651477945379844,0.22019143917146766,0.293665601409891,0.302245650535375,0.22222680615991283,0.208336958831775,0.2198039581526696,0.2991932107946492,0.20453324814375776,0.3684489582458545,0.2696239163969838,1.0,0.15075145316882593,0.1419454516724712,0.16587976478266248,0.2059034834296847,0.12905859953515406,0.24909985640419205,0.08670638604798231,0.3139352331555095,0.20116120097588525,0.32700276864158395,0.24707522939983564,0.2207982956344286,0.15970383110030548,0.3054285548674737,0.13820133590108022,0.16447680187243324,0.23147049972693517,0.24333411368621388,0.14906389936108777
NVL,0.15505901060967947,0.08042783128441575,0.14209281115682457,0.17289452164035599,0.15100673049561963,0.11344618540568253,0.1258615922617542,0.12369273987511131,0.08196803241344582,0.18131709179734692,0.08155439369553566,0.21563867769853046,0.19857969506978815,0.15075145316882593,1.0,0.39496745969963576,0.14855160912244045,0.23215568473422935,0.14427048610452112,0.20883911501813818,0.09952189468858505,0.21103710278848942,0.14177372736085503,0.22898865580333533,0.1584726725049874,0.13971709313023445,0.20450069190420864,0.19495407148031593,0.21842744401713485,0.16306472346752782,0.15365929585891855,0.12029389218521216,0.12844723217660217
PDR,0.17457106656044122,0.14396492017061668,0.24124753347707797,0.1925237926056542,0.19955223834568803,0.14897487768426307,0.2015308053948541,0.19371708724680045,0.14735802116809243,0.23347990742955302,0.11841765567021552,0.24947285446075465,0.19068029536715042,0.1419454516724712,0.39496745969963576,1.0,0.1966817220906669,0.19452146180982427,0.18582359019672912,0.26650078957976364,0.1142650193852165,0.313985649631898,0.10724452760467834,0.2342405776732042,0.21820871188749164,0.20637161451618627,0.14135637124445238,0.2573090696517273,0.17094054341029633,0.16754431584803015,0.17739139162755013,0.18147629743205354,0.1337716899853785
PLX,0.29463579135903045,0.18251769804888288,0.2791586058363308,0.302628869184776,0.276733740104453,0.19388886388110146,0.4151322889749313,0.34078000114848295,0.2207665863801029,0.2909431853399246,0.20317168354937934,0.3296461785328124,0.19951825326293046,0.16587976478266248,0.14855160912244045,0.1966817220906669,1.0,0.30676338874459097,0.20664428980244776,0.2234776353549977,0.040868131967887196,0.2970358256110676,0.23312541569454961,0.27486285546111405,0.19889816373084032,0.20074971656965032,0.14445326530273675,0.2222587184408779,0.12219788556380326,0.12307263723937525,0.228088072002268,0.20399666020519375,0.11707434262616818
POW,0.2803230966239086,0.14590552776713064,0.26200070194445046,0.3144781708468512,0.2728740178777343,0.24839398783486888,0.29088838281832674,0.3604504982294354,0.15689651227454957,0.2883452109269498,0.18346300524601689,0.27281467878756327,0.2727011997123061,0.2059034834296847,0.23215568473422935,0.19452146180982427,0.30676338874459097,1.0,0.21597055683307115,0.286723136622259,0.10492085256280291,0.317429345427557,0.21826950192595101,0.23119312556523136,0.24466649144966765,0.28877607046368126,0.17813951056212357,0.2305675475725712,0.1424052801271886,0.1712522196503708,0.20284141559318522,0.18257780873395157,0.20614161758569105
SAB,0.22966231215106886,0.18665726319545148,0.15302171928177435,0.19432064378596778,0.19485787650506045,0.21933473061940723,0.2813731745149226,0.16764864179657218,0.1381353779317946,0.26029663345674936,0.13428928823202346,0.21235803245906432,0.2915643537919418,0.12905859953515406,0.14427048610452112,0.18582359019672912,0.20664428980244776,0.21597055683307115,1.0,0.17486279994992882,0.10399249320489173,0.246906564008083,0.15004802647770377,0.2347494411224927,0.1636381031472347,0.2860428256376629,0.1798032761772408,0.17462711492883365,0.21112588576217758,0.15344654475597744,0.3174386222196148,0.17799573187339163,0.16703291859450894
SHB,0.3781687523199001,0.15591799877033963,0.3205266709867123,0.2705248940840572,0.3810561566932299,0.21039443878954123,0.19157337611850014,0.30472115708177433,0.30978445774357893,0.3754157443552166,0.32753770896011686,0.4962224360933159,0.22872315649480668,0.24909985640419205,0.20883911501813818,0.26650078957976364,0.2234776353549977,0.286723136622259,0.17486279994992882,1.0,0.18470310462911985,0.393405999200987,0.3675239900621651,0.45090115801881864,0.40248525776598115,0.286478294667757,0.22776345541952897,0.4172585984873945,0.211653379182419,0.16720735999402953,0.22168742006420136,0.27352786723735817,0.1949359899012813
SSB,0.1570124745940163,0.08650108949053582,0.11889362878866742,0.10287976905947686,0.11005277376501743,0.11381415005825066,0.022539147262484883,0.10349027693650178,0.2028106353551715,0.11814463374746645,0.0842621002880137,0.14070443022276694,0.1031372585189409,0.08670638604798231,0.09952189468858505,0.1142650193852165,0.040868131967887196,0.10492085256280291,0.10399249320489173,0.18470310462911985,1.0,0.10249700222039468,0.016536265311309417,0.17066897831610417,0.2098243830707389,0.11546564966971007,0.10865284072820137,0.15255268453209592,0.08237270422399397,0.10230753924174767,0.07993232236210261,0.11380608435330136,0.04997150154704799
