ticker,event_index,actual_date,predicted_date,abs_err_days,signed_err_days
A,3,2002-11-18,2002-11-18,0,0
A,4,2003-02-21,2003-02-19,2,-2
A,5,2003-05-19,2003-05-23,4,4
A,6,2003-08-18,2003-08-18,0,0
A,7,2003-11-17,2003-11-17,0,0
A,8,2004-02-17,2004-02-16,1,-1
A,9,2004-05-17,2004-05-18,1,1
A,10,2004-08-12,2004-08-16,4,4
A,11,2004-11-11,2004-11-11,0,0
A,12,2005-02-14,2005-02-10,4,-4
A,13,2005-05-16,2005-05-16,0,0
A,14,2005-08-15,2005-08-15,0,0
A,15,2005-11-14,2005-11-14,0,0
A,16,2006-02-13,2006-02-13,0,0
A,17,2006-05-15,2006-05-15,0,0
A,18,2006-08-14,2006-08-14,0,0
A,19,2006-11-14,2006-11-13,1,-1
A,20,2007-02-15,2007-02-13,2,-2
A,21,2007-05-14,2007-05-17,3,3
A,22,2007-08-14,2007-08-13,1,-1
A,23,2007-11-15,2007-11-13,2,-2
A,24,2008-02-13,2008-02-14,1,1
A,25,2008-05-14,2008-05-14,0,0
A,26,2008-08-14,2008-08-13,1,-1
A,27,2008-11-14,2008-11-13,1,-1
A,28,2009-02-17,2009-02-13,4,-4
A,29,2009-05-14,2009-05-19,5,5
A,30,2009-08-17,2009-08-13,4,-4
A,31,2009-11-13,2009-11-16,3,3
A,32,2010-02-12,2010-02-12,0,0
A,33,2010-05-17,2010-05-14,3,-3
A,34,2010-08-16,2010-08-16,0,0
A,35,2010-11-12,2010-11-15,3,3
A,36,2011-02-14,2011-02-11,3,-3
A,37,2011-05-13,2011-05-16,3,3
A,38,2011-08-15,2011-08-12,3,-3
A,39,2011-11-15,2011-11-14,1,-1
A,40,2012-02-15,2012-02-14,1,-1
A,41,2012-05-14,2012-05-16,2,2
A,42,2012-08-15,2012-08-13,2,-2
A,43,2012-11-19,2012-11-14,5,-5
A,44,2013-02-14,2013-02-18,4,4
A,45,2013-05-14,2013-05-16,2,2
A,46,2013-08-14,2013-08-13,1,-1
A,47,2013-11-14,2013-11-13,1,-1
A,48,2014-02-13,2014-02-13,0,0
